batch_faq_id,master_faq_id,batch_intent,master_intent,batch_language,master_language,similarity,batch_question,master_question
FAQ0593,FAQ0433,INT005,INT005,Arabic,Arabic,0.580645,متى يجب عادةً تسجيل المغادرة من الغرفة؟,ما الموعد المعتاد الذي يجب فيه إنهاء المغادرة من الغرفة؟
FAQ0594,FAQ0135,INT005,INT005,English,English,0.637168,What is the usual time by which guests should check out?,What is the usual deadline for guests to leave their rooms?
FAQ0594,FAQ0133,INT005,INT005,English,English,0.626866,What is the usual time by which guests should check out?,What is the designated time by which I need to check out by at Nile Pearl Hotel?
FAQ0594,FAQ0498,INT005,INT005,English,English,0.581197,What is the usual time by which guests should check out?,What is the usual time to leave the hotel on the departure day?
FAQ0595,FAQ0403,INT005,INT005,French,French,0.61157,Je prépare mon départ : quelle est l'heure normale de sortie ?,"Le jour de mon départ, à quelle heure dois-je quitter la chambre ?"
FAQ0595,FAQ0515,INT005,INT001,French,French,0.594203,Je prépare mon départ : quelle est l'heure normale de sortie ?,Je prépare mon voyage en Égypte : dans quelle ville se trouve le Nile Pearl Hotel ?
FAQ0595,FAQ0379,INT005,INT007,French,French,0.57971,Je prépare mon départ : quelle est l'heure normale de sortie ?,Puis-je prolonger mon séjour dans la chambre au-delà de l'heure normale de départ ?
FAQ0596,FAQ0564,INT005,INT005,Russian,Russian,0.653465,Какое обычное время установлено для выезда из отеля?,Во сколько наступает обычное время выезда из отеля?
FAQ0596,FAQ0436,INT005,INT005,Russian,Russian,0.576577,Какое обычное время установлено для выезда из отеля?,Какое обычное время является крайним для освобождения номера?
FAQ0596,FAQ0496,INT005,INT004,Russian,Russian,0.504854,Какое обычное время установлено для выезда из отеля?,Какое время считается обычным временем начала заезда?
FAQ0597,FAQ0505,INT006,INT007,Arabic,Arabic,0.740741,إذا وصلت مبكرًا، هل يمكنني طلب تسجيل الدخول قبل الموعد المعتاد؟,هل يمكنني طلب تسجيل المغادرة بعد الموعد المعتاد؟
FAQ0597,FAQ0341,INT006,INT006,Arabic,Arabic,0.690265,إذا وصلت مبكرًا، هل يمكنني طلب تسجيل الدخول قبل الموعد المعتاد؟,هل أستطيع تقديم طلب لتسجيل الوصول قبل الموعد المعتاد؟
FAQ0597,FAQ0437,INT006,INT006,Arabic,Arabic,0.607143,إذا وصلت مبكرًا، هل يمكنني طلب تسجيل الدخول قبل الموعد المعتاد؟,هل أستطيع طلب تسجيل الوصول المبكر قبل الموعد الرسمي؟
FAQ0598,FAQ0342,INT006,INT006,English,English,0.784,Is it possible to request early check-in before the standard time?,Can I submit a request for check-in before the standard time?
FAQ0598,FAQ0438,INT006,INT006,English,English,0.728814,Is it possible to request early check-in before the standard time?,Can I request early check-in before the official time?
FAQ0598,FAQ0470,INT006,INT006,English,English,0.6875,Is it possible to request early check-in before the standard time?,Can I request an early check-in before the normal check-in time?
FAQ0599,FAQ0535,INT006,INT006,French,French,0.704225,Peut-on demander à arriver avant l'heure habituelle d'enregistrement ?,Puis-je demander à accéder à ma chambre avant l'heure normale d'enregistrement ?
FAQ0599,FAQ0343,INT006,INT006,French,French,0.645161,Peut-on demander à arriver avant l'heure habituelle d'enregistrement ?,Puis-je demander un enregistrement avant l'heure habituelle ?
FAQ0599,FAQ0347,INT006,INT007,French,French,0.510638,Peut-on demander à arriver avant l'heure habituelle d'enregistrement ?,Est-il possible de rester dans la chambre après l'heure habituelle de départ ?
FAQ0600,FAQ0568,INT006,INT006,Russian,Russian,0.629032,"Можно ли заранее попросить ранний заезд, если я прибуду раньше?",Можно ли запросить ранний заезд до обычного времени регистрации?
FAQ0600,FAQ0284,INT006,INT007,Russian,Russian,0.588235,"Можно ли заранее попросить ранний заезд, если я прибуду раньше?",Можно ли запросить поздний выезд из отеля?
FAQ0600,FAQ0344,INT006,INT006,Russian,Russian,0.5,"Можно ли заранее попросить ранний заезд, если я прибуду раньше?",Можно ли подать запрос на заселение раньше обычного времени?
FAQ0601,FAQ0505,INT007,INT007,Arabic,Arabic,0.68,هل أستطيع طلب المغادرة في وقت متأخر عن الموعد المعتاد؟,هل يمكنني طلب تسجيل المغادرة بعد الموعد المعتاد؟
FAQ0601,FAQ0281,INT007,INT007,Arabic,Arabic,0.638298,هل أستطيع طلب المغادرة في وقت متأخر عن الموعد المعتاد؟,هل يمكنني طلب تسجيل المغادرة في وقت متأخر؟
FAQ0601,FAQ0341,INT007,INT006,Arabic,Arabic,0.628571,هل أستطيع طلب المغادرة في وقت متأخر عن الموعد المعتاد؟,هل أستطيع تقديم طلب لتسجيل الوصول قبل الموعد المعتاد؟
FAQ0602,FAQ0470,INT007,INT006,English,English,0.646154,Can guests request a later check-out than the normal departure time?,Can I request an early check-in before the normal check-in time?
FAQ0602,FAQ0438,INT007,INT006,English,English,0.6,Can guests request a later check-out than the normal departure time?,Can I request early check-in before the official time?
FAQ0602,FAQ0342,INT007,INT006,English,English,0.598425,Can guests request a later check-out than the normal departure time?,Can I submit a request for check-in before the standard time?
FAQ0603,FAQ0411,INT007,INT007,French,French,0.683871,"Si je souhaite partir plus tard, puis-je demander un départ tardif ?","Si j'ai besoin de rester plus longtemps le jour du départ, puis-je demander un départ tardif ?"
FAQ0603,FAQ0216,INT007,INT007,French,French,0.621762,"Si je souhaite partir plus tard, puis-je demander un départ tardif ?","Si je dois quitter le Nile Pearl Hotel plus tard que prévu, puis-je demander un départ tardif et quelles règles dois-je respecter?"
FAQ0603,FAQ0283,INT007,INT007,French,French,0.611111,"Si je souhaite partir plus tard, puis-je demander un départ tardif ?",Puis-je demander un départ tardif de l'hôtel ?
FAQ0604,FAQ0348,INT007,INT007,Russian,Russian,0.747826,Можно ли попросить выехать из номера позже обычного времени?,Можно ли остаться в номере после обычного времени выезда?
FAQ0604,FAQ0344,INT007,INT006,Russian,Russian,0.644068,Можно ли попросить выехать из номера позже обычного времени?,Можно ли подать запрос на заселение раньше обычного времени?
FAQ0604,FAQ0568,INT007,INT006,Russian,Russian,0.622951,Можно ли попросить выехать из номера позже обычного времени?,Можно ли запросить ранний заезд до обычного времени регистрации?
FAQ0605,FAQ0317,INT008,INT008,Arabic,Arabic,0.650794,عند الوصول إلى الفندق، هل يجب علي تقديم إثبات هوية ساري المفعول؟,عند وصولي إلى الفندق لتسجيل الدخول، ماذا يجب أن أقدم لإثبات هويتي؟
FAQ0605,FAQ0236,INT008,INT008,Arabic,Arabic,0.595745,عند الوصول إلى الفندق، هل يجب علي تقديم إثبات هوية ساري المفعول؟,عند وصولي إلى Nile Pearl Hotel، هل يجب أن أقدم وثيقة هوية سارية قبل تسجيل الدخول?
FAQ0605,FAQ0235,INT008,INT008,Arabic,Arabic,0.564885,عند الوصول إلى الفندق، هل يجب علي تقديم إثبات هوية ساري المفعول؟,هل يجب علي تقديم إثبات هوية ساري عند تسجيل الوصول في Nile Pearl Hotel?
FAQ0606,FAQ0542,INT008,INT008,English,English,0.816,Do guests have to show valid identification when they check in?,Do guests need to present valid identification when checking in?
FAQ0606,FAQ0350,INT008,INT008,English,English,0.715447,Do guests have to show valid identification when they check in?,Do I need to show an identification document when checking in?
FAQ0606,FAQ0227,INT008,INT008,English,English,0.70073,Do guests have to show valid identification when they check in?,Do I need to show valid identification when checking in at Nile Pearl Hotel?
FAQ0607,FAQ0351,INT008,INT008,French,French,0.909091,Dois-je présenter une pièce d'identité valide lors de mon enregistrement ?,Dois-je présenter une pièce d'identité lors de l'enregistrement ?
FAQ0607,FAQ0575,INT008,INT008,French,French,0.805556,Dois-je présenter une pièce d'identité valide lors de mon enregistrement ?,Faut-il présenter une pièce d'identité valide au moment de l'enregistrement ?
FAQ0607,FAQ0243,INT008,INT008,French,French,0.787097,Dois-je présenter une pièce d'identité valide lors de mon enregistrement ?,Dois-je présenter une pièce d'identité valide lors de mon arrivée au Nile Pearl Hotel?
FAQ0608,FAQ0544,INT008,INT008,Russian,Russian,0.876404,"Требуется ли гостям предъявить действительный документ, удостоверяющий личность, при регистрации?","Нужно ли предъявлять действительный документ, удостоверяющий личность, при регистрации?"
FAQ0608,FAQ0251,INT008,INT008,Russian,Russian,0.791878,"Требуется ли гостям предъявить действительный документ, удостоверяющий личность, при регистрации?","Нужно ли предъявлять действительный документ, удостоверяющий личность, при регистрации в Nile Pearl Hotel?"
FAQ0608,FAQ0253,INT008,INT008,Russian,Russian,0.78,"Требуется ли гостям предъявить действительный документ, удостоверяющий личность, при регистрации?","Требуется ли гостям предъявлять документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel?"
