faq_id,intent,language,question_type,question,status,ground_truth,category,source,source_type,metadata,difficulty,answer
FAQ0014,hotel_location,Arabic,Paraphrased,كيف يمكنني الوصول إلى موقع فندق Nile Pearl Hotel؟,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0015,hotel_location,Arabic,Scenario,أنا مهتم بزيارة مصر وحجز غرفة في Nile Pearl Hotel، فهل يمكنك معرفة موقعه في القاهرة؟,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0016,hotel_location,Arabic,Scenario,أنا أخطط لزيارة مصر وقمت بالبحث عن فندق Nile Pearl Hotel، هل يمكنني أن أعرف موقع هذا الفندق في القاهرة؟,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0017,hotel_location,French,Direct,Où se trouve l'hôtel Nile Pearl Hotel?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0018,hotel_location,French,Direct,Quelle est l'adresse de l'hôtel Nile Pearl Hotel ?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0019,hotel_location,French,Direct,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0020,hotel_location,French,Paraphrased,Quel est le nom de la ville où se trouve l'hôtel Nile Pearl Hotel ?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0021,hotel_location,French,Paraphrased,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0022,hotel_location,French,Paraphrased,Où est situé exactement l'hôtel Nile Pearl Hotel?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0023,hotel_location,French,Scenario,Je prépare ma voyage à Cairo et j'hésite entre plusieurs hôtels. J'aimerais savoir où se trouve l'hôtel Nile Pearl Hotel?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0024,hotel_location,French,Scenario,Vous préparez votre voyage à l'étranger et vous vous demandez où se situe l'hôtel Nile Pearl Hotel?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0025,hotel_location,Russian,Direct,По какому адресу находится отель Nile Pearl Hotel?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0026,hotel_location,Russian,Direct,Каков точный адрес отеля Nile Pearl Hotel в городе?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0027,hotel_location,Russian,Direct,Где расположен отель Nile Pearl Hotel?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0028,hotel_location,Russian,Paraphrased,"Как называется город, в котором расположен отель Nile Pearl Hotel?",gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0029,hotel_location,Russian,Paraphrased,В какой части города расположен Nile Pearl Hotel?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0030,hotel_location,Russian,Paraphrased,В каком районе Каира расположен Nile Pearl Hotel?,gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0031,hotel_location,Russian,Scenario,"Если я планирую поездку в Египет, где находится отель Nile Pearl Hotel?",gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0032,hotel_location,Russian,Scenario,"Вы планируете поездку в Египет и интересуетесь, в каком городе находится Nile Pearl Hotel?",gold,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0033,hotel_category,English,Direct,How many stars is Nile Pearl Hotel rated?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0034,hotel_category,English,Direct,What star rating does Nile Pearl Hotel have?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0035,hotel_category,English,Direct,What category of hotel is Nile Pearl Hotel classified as?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0036,hotel_category,English,Paraphrased,What is the star classification of Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0037,hotel_category,English,Paraphrased,How is Nile Pearl Hotel classified within the hotel rating system?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0038,hotel_category,English,Paraphrased,What star classification is assigned to Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0039,hotel_category,English,Scenario,"If I am choosing Nile Pearl Hotel for my stay in Cairo, what star rating does the hotel have?",gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0040,hotel_category,English,Scenario,"While choosing a hotel for my trip to Cairo, I'm considering Nile Pearl Hotel. How many stars is this hotel rated?",gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0041,hotel_category,Arabic,Direct,كم نجمة مُصنَّف بها Nile Pearl Hotel؟,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0042,hotel_category,Arabic,Direct,ما هو عدد النجوم التي يتم تقييم فندق Nile Pearl Hotel بها؟,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0043,hotel_category,Arabic,Direct,كيف يتم تصنيف Nile Pearl Hotel ضمن فئات الفنادق؟,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0044,hotel_category,Arabic,Paraphrased,كم عدد النجوم التي يُصنَّف بها فندق Nile Pearl Hotel؟,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0045,hotel_category,Arabic,Paraphrased,ما فئة النجوم التي ينتمي إليها Nile Pearl Hotel؟,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0046,hotel_category,Arabic,Paraphrased,كيف يُصنَّف Nile Pearl Hotel من حيث مستوى النجوم؟,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0047,hotel_category,Arabic,Scenario,إذا كنت أختار Nile Pearl Hotel للإقامة في القاهرة، فما هو تصنيف الفندق من حيث عدد النجوم؟,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0048,hotel_category,Arabic,Scenario,أثناء التخطيط لرحلتي إلى مصر واختيار مكان للإقامة، أفكر في Nile Pearl Hotel. ما تصنيف الفندق من حيث عدد النجوم؟,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0049,hotel_category,French,Direct,Quel est le nombre d'étoiles attribué au Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0050,hotel_category,French,Direct,Combien d'étoiles a l'hôtel Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0051,hotel_category,French,Direct,Quel niveau de classement hôtelier est attribué au Nile Pearl Hotel ?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0052,hotel_category,French,Paraphrased,Quel est le classement du Nile Pearl Hotel en nombre d'étoiles?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0053,hotel_category,French,Paraphrased,Quelle est la categorisation étoile du Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0054,hotel_category,French,Paraphrased,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0055,hotel_category,French,Scenario,"Si je choisis le Nile Pearl Hotel pour mon séjour au Caire, combien d'étoiles compte cet hôtel?",gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0056,hotel_category,French,Scenario,"Pour choisir mon hôtel lors de mon voyage en Égypte, j'envisage le Nile Pearl Hotel. Combien d'étoiles lui sont attribuées?",gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0057,hotel_category,Russian,Direct,Сколько звезд у отеля Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0058,hotel_category,Russian,Direct,Какая категория отеля является для Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0059,hotel_category,Russian,Direct,В каком классе отеля находится Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0060,hotel_category,Russian,Paraphrased,Какой официальный звездный рейтинг у Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0061,hotel_category,Russian,Paraphrased,К какому уровню или категории относится Nile Pearl Hotel?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0062,hotel_category,Russian,Paraphrased,Какой класс отеля принадлежит «Nile Pearl Hotel»?,gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0063,hotel_category,Russian,Scenario,"Если я выбираю Nile Pearl Hotel для проживания в Каире, сколько звезд имеет этот отель?",gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0064,hotel_category,Russian,Scenario,"Планируя поездку в Египет и выбирая отель, я рассматриваю Nile Pearl Hotel. Сколько звезд у этого отеля?",gold,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,Hotel_Information/hotel_information.txt,Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0065,reception_availability,English,Direct,What are the operating hours for the reception at Nile Pearl Hotel?,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0066,reception_availability,English,Direct,What are the hours of operation for the reception desk at Nile Pearl Hotel?,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0067,reception_availability,English,Direct,What are the availability hours for the reception desk at Nile Pearl Hotel?,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0068,reception_availability,English,Paraphrased,How can I contact the reception at Nile Pearl Hotel at any time?,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0069,reception_availability,English,Paraphrased,"If you need assistance at the reception desk at Nile Pearl Hotel anytime, what should you know about their operating hours?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0070,reception_availability,English,Paraphrased,"If you need to speak to someone at Nile Pearl Hotel anytime, what are their reception hours?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0071,reception_availability,English,Scenario,"If you need to check in or out at any time of the day, what are the reception hours at Nile Pearl Hotel?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0072,reception_availability,English,Scenario,"If you need to reach the reception at Nile Pearl Hotel at 3 AM, would they be available?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0073,reception_availability,Arabic,Direct,إذا كنت تحتاج إلى التواصل مع مكتب الاستقبال في Nile Pearl Hotel في أي وقت من اليوم، فما هي ساعات عملهم؟,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0074,reception_availability,Arabic,Direct,إذا كنت في Nile Pearl Hotel وتحتاج إلى المساعدة في أي وقت، هل يمكنك التواصل مع مكتب الاستقبال على مدار الساعة؟,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0075,reception_availability,Arabic,Direct,إذا كنت في Nile Pearl Hotel وتحتاج إلى مساعدة فورية في أي وقت من اليوم، هل يمكنني الاتصال بمكتب الاستقبال؟,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0076,reception_availability,Arabic,Paraphrased,في حالة الحاجة إلى التواصل مع مكتب الاستقبال في Nile Pearl Hotel في منتصف الليل، هل سيكونون متاحين؟,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0077,reception_availability,Arabic,Paraphrased,في حالة الطوارئ في Nile Pearl Hotel، هل يمكنني الاتصال بمكتب الاستقبال في أي وقت؟,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0078,reception_availability,Arabic,Paraphrased,في حالة حدوث مشكلة خلال منتصف الليل في Nile Pearl Hotel، هل يمكنني الاتصال بمكتب الاستقبال مباشرة؟,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0079,reception_availability,Arabic,Scenario,إذا كنت في Nile Pearl Hotel ورغبتم في الاستفسار عن خدمة الغرف في منتصف الليل، هل يمكن التواصل مع مكتب الاستقبال؟,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0080,reception_availability,Arabic,Scenario,كيف يمكنني الاتصال بمكتب الاستقبال في Nile Pearl Hotel في حالة حدوث مشكلة في الساعة 4 صباحاً؟,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0081,reception_availability,French,Direct,"Si j'ai un problème en pleine nuit, est-ce que je peux joindre le service d'accueil à l'hôtel Nile Pearl Hotel?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0082,reception_availability,French,Direct,"Si j'ai besoin d'aide en pleine nuit à l'hôtel Nile Pearl Hotel, est-ce que je peux contacter le service d'accueil à tout moment?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0083,reception_availability,French,Direct,Puis-je contacter la réception du Nile Pearl Hotel à tout moment si j'ai besoin d'aide ?,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0084,reception_availability,French,Paraphrased,La réception du Nile Pearl Hotel reste-t-elle accessible aux clients lorsqu'ils ont besoin d'assistance ?,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0085,reception_availability,French,Paraphrased,"Si vous avez besoin d'aide urgente à l'hôtel Nile Pearl Hotel en pleine nuit, quelles sont les heures d'ouverture du service d'accueil?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0086,reception_availability,French,Paraphrased,"Si vous avez besoin d'assistance tout au long de la journée ou de la nuit à l'hôtel Nile Pearl Hotel, quelles sont les heures d'ouverture du service d'accueil?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0087,reception_availability,French,Scenario,"Si j'ai un problème de dernière minute en pleine nuit, quelles sont les heures d'ouverture du service d'accueil à l'hôtel Nile Pearl Hotel?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0088,reception_availability,French,Scenario,"Si j'ai besoin d'une assistance urgente à l'hôtel Nile Pearl Hotel à 3 heures du matin, puis-je contacter la réception?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0089,reception_availability,Russian,Direct,"Если у меня возникнут проблемы ночью в Nile Pearl Hotel, смогу ли я связаться с рецепцией в любое время?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0090,reception_availability,Russian,Direct,На весь день и ночь работает рецепция Nile Pearl Hotel?,gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
FAQ0091,reception_availability,Russian,Direct,"Если мне нужно будет обратиться к рецепции в Nile Pearl Hotel в любое время суток, всегда ли они будут доступны?",gold,Hotel reception operates 24/7.,Reception,Hotel_Information/contact_information.txt,Hotel_Information/contact_information.txt,0,Easy,Hotel reception operates 24/7.
