faq_id,language,ground_truth,answer,gt_fee_detected,answer_fee_detected
FAQ0210,French,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",False,True
FAQ0211,French,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",False,True
FAQ0212,French,Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, un départ tardif est possible selon la disponibilité, mais il peut engendrer des frais supplémentaires.",False,True
FAQ0213,French,Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, un décalage pour un départ tardif est possible selon la disponibilité, mais peut engendrer des frais supplémentaires.",False,True
FAQ0214,French,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez obtenir un séjour prolongé ou un départ tardif au Nile Pearl Hotel, selon la disponibilité. Cela peut toutefois engendrer des frais supplémentaires.",False,True
FAQ0215,French,Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer.",False,True
FAQ0216,French,Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",False,True
FAQ0217,Russian,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel при наличии свободных номеров, но это может быть с дополнительной оплатой. Пожалуйста, уточните этот вопрос за день до планируемого позднего выезда.",False,True
FAQ0218,Russian,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,False,True
FAQ0219,Russian,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",False,True
FAQ0220,Russian,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,False,True
FAQ0221,Russian,Late check-out is subject to availability and may incur an additional fee.,"Чтобы получить поздний выезд из Nile Pearl Hotel, необходимо уточнить наличие мест и возможные дополнительные расходы. Поздний выезд предоставляется при наличии свободных номеров и может потребовать дополнительную плату.",False,True
FAQ0222,Russian,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,False,True
FAQ0223,Russian,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если имеется свободное место. Однако это может быть за дополнительную плату. Для бронирования позднего выезда свяжитесь с нашей ресепшн.",False,True
FAQ0224,Russian,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",False,True
FAQ0281,Arabic,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,يمكن طلب تسجيل المغادرة المتأخر في Nile Pearl Hotel، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,True,True
FAQ0282,English,Late check-out is subject to availability and may incur an additional fee.,Late check-out at Nile Pearl Hotel is subject to availability and may incur an additional fee.,True,True
FAQ0283,French,Le départ tardif dépend de la disponibilité et peut entraîner des frais supplémentaires.,Le départ tardif au Nile Pearl Hotel dépend de la disponibilité et peut entraîner des frais supplémentaires.,True,True
FAQ0284,Russian,Поздний выезд зависит от наличия и может повлечь дополнительную плату.,Поздний выезд из Nile Pearl Hotel зависит от наличия и может повлечь дополнительную плату.,True,True
FAQ0313,Arabic,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,True,True
FAQ0314,English,Late check-out can be requested and is subject to availability and may incur an additional fee.,Late check-out can be requested and is subject to availability and may incur an additional fee.,True,True
FAQ0315,French,"Un départ tardif peut être demandé et dépend de la disponibilité, avec des frais supplémentaires possibles.","Un départ tardif peut être demandé et dépend de la disponibilité, avec des frais supplémentaires possibles.",True,True
FAQ0316,Russian,"Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.","Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.",True,True
FAQ0345,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,True
FAQ0346,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out can be arranged at Nile Pearl Hotel if room availability permits. Please note that an additional fee may apply.",True,True
FAQ0347,French,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",False,True
FAQ0348,Russian,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,False,True
FAQ0377,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,True
FAQ0378,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out can be arranged at Nile Pearl Hotel if room availability permits. Please note that an additional fee may apply.",True,True
FAQ0379,French,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",False,True
FAQ0380,Russian,Late check-out is subject to availability and may incur an additional fee.,Продление времени проживания в номере после стандартного времени выезда возможно при наличии свободных номеров и может потребовать дополнительную плату.,False,True
FAQ0409,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,True
FAQ0410,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out can be arranged at Nile Pearl Hotel if room availability permits. Please note that an additional fee may apply.",True,True
FAQ0411,French,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",False,True
FAQ0412,Russian,Late check-out is subject to availability and may incur an additional fee.,"Если вам нужно остаться дольше в день выезда, можно запросить поздний выезд. Он зависит от наличия свободных номеров и может потребовать дополнительную плату.",False,True
FAQ0441,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,True
FAQ0442,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out can be arranged at Nile Pearl Hotel if room availability permits. Please note that an additional fee may apply.",True,True
FAQ0443,French,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",False,True
FAQ0444,Russian,Late check-out is subject to availability and may incur an additional fee.,Время выезда из номера можно перенести на более поздний срок при наличии свободных номеров. За поздний выезд может взиматься дополнительная плата.,False,True
FAQ0473,Arabic,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,يمكن طلب تسجيل المغادرة المتأخر، لكنه يعتمد على التوافر وقد تترتب رسوم إضافية.,True,True
FAQ0474,English,Late check-out is subject to availability and may incur an additional fee.,"Late check-out can be requested, but it is subject to availability and may incur an additional fee.",True,True
FAQ0475,French,Le départ tardif dépend de la disponibilité et peut entraîner des frais supplémentaires.,"Le départ tardif peut être demandé, mais il dépend de la disponibilité et peut entraîner des frais supplémentaires.",True,True
FAQ0476,Russian,Поздний выезд зависит от наличия свободных мест и может повлечь дополнительную плату.,"Поздний выезд можно запросить, но он зависит от наличия свободных мест и может повлечь дополнительную плату.",True,True
FAQ0505,Arabic,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,يمكن طلب تسجيل المغادرة المتأخر، لكنه يعتمد على التوافر وقد تترتب رسوم إضافية.,True,True
FAQ0506,English,Late check-out is subject to availability and may incur an additional fee.,Late check-out is subject to availability and may incur an additional fee.,True,True
FAQ0507,French,Le départ tardif dépend de la disponibilité et peut entraîner des frais supplémentaires.,Le départ tardif dépend de la disponibilité et peut entraîner des frais supplémentaires.,True,True
FAQ0508,Russian,Поздний выезд зависит от наличия свободных мест и может повлечь дополнительную плату.,Поздний выезд зависит от наличия свободных мест и может повлечь дополнительную плату.,True,True
FAQ0537,Arabic,Late check-out can be requested and is subject to availability and may incur an additional fee.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,False,True
FAQ0538,English,Late check-out can be requested and is subject to availability and may incur an additional fee.,Late check-out can be requested and is subject to availability and may incur an additional fee.,True,True
FAQ0539,French,"Un départ tardif peut être demandé et dépend de la disponibilité, avec des frais supplémentaires possibles.","Un départ tardif peut être demandé, selon la disponibilité, et des frais supplémentaires peuvent s'appliquer.",True,True
FAQ0540,Russian,"Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.","Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.",True,True
FAQ0569,Arabic,Late check-out can be requested and is subject to availability and may incur an additional fee.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,False,True
FAQ0570,English,Late check-out can be requested and is subject to availability and may incur an additional fee.,"Late check-out can be requested, subject to availability, and may incur an additional fee.",True,True
FAQ0571,French,"Un départ tardif peut être demandé et dépend de la disponibilité, avec des frais supplémentaires possibles.","Oui. Un départ tardif peut être demandé selon la disponibilité, avec des frais supplémentaires possibles.",True,True
FAQ0572,Russian,"Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.","Да. Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.",True,True
FAQ0601,Arabic,Late check-out can be requested and is subject to availability and may incur an additional fee.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,False,True
FAQ0602,English,Late check-out can be requested and is subject to availability and may incur an additional fee.,"Yes. Late check-out can be requested, subject to availability, and may incur an additional fee.",True,True
FAQ0603,French,"Un départ tardif peut être demandé et dépend de la disponibilité, avec des frais supplémentaires possibles.","Oui. Un départ tardif peut être demandé selon la disponibilité, avec des frais supplémentaires possibles.",True,True
FAQ0604,Russian,"Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.","Да. Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.",True,True
FAQ0633,Arabic,Late check-out can be requested and is subject to availability and may incur an additional fee.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,False,True
FAQ0634,English,Late check-out can be requested and is subject to availability and may incur an additional fee.,"Yes. Late check-out can be requested, subject to availability, and may incur an additional fee.",True,True
FAQ0635,French,"Un départ tardif peut être demandé et dépend de la disponibilité, avec des frais supplémentaires possibles.","Oui. Un départ tardif peut être demandé selon la disponibilité, avec des frais supplémentaires possibles.",True,True
FAQ0636,Russian,"Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.","Да. Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.",True,True
