faq_id,intent,language,gt_availability,gt_approval,gt_canonical_ok,answer_availability,answer_approval,answer_canonical_ok,ground_truth,answer,gt_fee,answer_fee,gt_identification,answer_identification
FAQ0175,INT006,Arabic,True,True,True,False,True,False,Early check-in is subject to room availability and hotel approval.,نعم، يمكن للفندق ترتيب دخول الغرفة مبكرًا بناءً على توافر الغرف وموافقة الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,,,,
FAQ0176,INT006,Arabic,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,نعم، يمكن طلب تسجيل الوصول المبكر في Nile Pearl Hotel، ولكن ذلك يعتمد على توفر الغرفة وموافقة الفندق.,,,,
FAQ0177,INT006,French,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,,,,
FAQ0178,INT006,French,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,L'arrivée anticipée au Nile Pearl Hotel dépend de la disponibilité des chambres et de l'approbation de l'hôtel.,,,,
FAQ0179,INT006,French,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,L'enregistrement anticipé au Nile Pearl Hotel est soumis à la disponibilité des chambres et à l'approbation de l'hôtel.,,,,
FAQ0180,INT006,French,True,True,True,False,True,False,Early check-in is subject to room availability and hotel approval.,L'arrivée anticipée au Nile Pearl Hotel est possible si la chambre est disponible et avec l'approbation de l'hôtel.,,,,
FAQ0181,INT006,French,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Oui, il est possible de demander un enregistrement anticipé au Nile Pearl Hotel, mais cela dépend de la disponibilité des chambres et de l'approbation de l'hôtel.",,,,
FAQ0182,INT006,French,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Oui, vous pouvez demander un enregistrement anticipé au Nile Pearl Hotel, sous réserve de la disponibilité des chambres et de l'approbation de l'hôtel.",,,,
FAQ0183,INT006,French,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Madame ou Monsieur, l'arrivée anticipée au Nile Pearl Hotel dépend de la disponibilité des chambres et de l'approbation de l'hôtel.",,,,
FAQ0184,INT006,French,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Madame ou Monsieur, l'arrivée anticipée est possible si la disponibilité des chambres le permet et avec l'approbation de l'hôtel.",,,,
FAQ0185,INT006,Russian,True,True,True,True,False,False,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,,,,
FAQ0186,INT006,Russian,True,True,True,True,False,False,Early check-in is subject to room availability and hotel approval.,Ранний заезд в отель Nile Pearl Hotel возможен при наличии свободных номеров и с согласия отеля.,,,,
FAQ0187,INT006,Russian,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Да, вы можете прибыть в Nile Pearl Hotel заранее и запросить раннюю регистрацию заезда. Это зависит от наличия свободного номера и одобрения отеля.",,,,
FAQ0188,INT006,Russian,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Да, вы можете приехать в Nile Pearl Hotel заранее и запросить раннюю регистрацию заезда при наличии свободного номера и одобрении отеля.",,,,
FAQ0189,INT006,Russian,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Да, вы можете прибыть в Nile Pearl Hotel заранее и запросить раннюю регистрацию заезда, но это зависит от наличия номера и одобрения отеля.",,,,
FAQ0190,INT006,Russian,True,True,True,True,False,False,Early check-in is subject to room availability and hotel approval.,Здравствуйте! Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,,,,
FAQ0191,INT006,Russian,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Если вы приедете раньше стандартного времени заезда, вы можете запросить раннюю регистрацию в Nile Pearl Hotel. Она зависит от наличия свободного номера и одобрения отеля.",,,,
FAQ0192,INT006,Russian,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Да, вы можете попросить о ранней регистрации в Nile Pearl Hotel, но она зависит от наличия свободного номера и одобрения отеля.",,,,
FAQ0193,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out can be arranged at Nile Pearl Hotel if room availability permits. Please note that an additional fee may apply.",True,True,,
FAQ0194,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is available at Nile Pearl Hotel, subject to room availability. Please note that an additional fee may apply. We will do our best to accommodate your request.",True,True,,
FAQ0195,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Late check-out is available at Nile Pearl Hotel, subject to availability, and may incur an additional fee.",True,True,,
FAQ0196,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,Late check-out is subject to availability and may incur an additional fee. Please inquire at the front desk upon check-out for any applicable charges.,True,True,,
FAQ0197,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,Late check-out at Nile Pearl Hotel is subject to availability and may incur an additional fee. Please inquire at the front desk upon check-in for availability.,True,True,,
FAQ0198,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is available at Nile Pearl Hotel, subject to availability. Please note that an additional fee may apply. Thank you for your understanding.",True,True,,
FAQ0199,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is subject to availability and may incur an additional fee. Please let us know your requirements, and we will do our best to accommodate you.",True,True,,
FAQ0200,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Certainly, you can arrange for your luggage to be stored at Nile Pearl Hotel after check-out. However, late check-out may incur an additional fee, subject to availability. Please let us know your requirements, and we will be happy to assist you.",True,True,,
FAQ0201,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,True,False,,
FAQ0202,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,True,True,,
FAQ0203,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية.,True,True,,
FAQ0204,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,True,True,,
FAQ0205,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,True,True,,
FAQ0206,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,True,True,,
FAQ0207,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنك طلب تسجيل خروج متأخر من Nile Pearl Hotel إذا كانت هناك متوفرية، وقد يترتب على ذلك رسوم إضافية.,True,True,,
FAQ0208,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنكم الحصول على تسجيل خروج متأخر إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية. تنطبق هذه المعلومات على Nile Pearl Hotel.,True,True,,
FAQ0209,INT007,French,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",True,False,,
FAQ0210,INT007,French,True,,True,True,,False,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,False,,
FAQ0211,INT007,French,True,,True,True,,False,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,False,,
FAQ0212,INT007,French,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, un départ tardif est possible selon la disponibilité, mais il peut engendrer des frais supplémentaires.",True,True,,
FAQ0213,INT007,French,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, un décalage pour un départ tardif est possible selon la disponibilité, mais peut engendrer des frais supplémentaires.",True,True,,
FAQ0214,INT007,French,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez obtenir un séjour prolongé ou un départ tardif au Nile Pearl Hotel, selon la disponibilité. Cela peut toutefois engendrer des frais supplémentaires.",True,True,,
FAQ0215,INT007,French,True,,True,True,,False,Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer.",True,False,,
FAQ0216,INT007,French,True,,True,True,,False,Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,False,,
FAQ0217,INT007,Russian,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel при наличии свободных номеров, но это может быть с дополнительной оплатой. Пожалуйста, уточните этот вопрос за день до планируемого позднего выезда.",True,True,,
FAQ0218,INT007,Russian,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,True,True,,
FAQ0219,INT007,Russian,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",True,True,,
FAQ0220,INT007,Russian,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,True,True,,
FAQ0221,INT007,Russian,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Чтобы получить поздний выезд из Nile Pearl Hotel, необходимо уточнить наличие мест и возможные дополнительные расходы. Поздний выезд предоставляется при наличии свободных номеров и может потребовать дополнительную плату.",True,True,,
FAQ0222,INT007,Russian,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,True,True,,
FAQ0223,INT007,Russian,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если имеется свободное место. Однако это может быть за дополнительную плату. Для бронирования позднего выезда свяжитесь с нашей ресепшн.",True,True,,
FAQ0224,INT007,Russian,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",True,True,,
FAQ0225,INT008,English,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Yes. Guests are required to provide valid identification documents during check-in at Nile Pearl Hotel.,,,True,True
FAQ0226,INT008,English,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Guests are required to provide valid identification documents during check-in at Nile Pearl Hotel.,,,True,True
FAQ0227,INT008,English,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Yes. You need to provide a valid identification document when checking in at Nile Pearl Hotel.,,,True,True
FAQ0228,INT008,English,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Yes. You should present a valid identification document when checking in at Nile Pearl Hotel.,,,True,True
FAQ0229,INT008,English,,,True,,,False,Guests are required to provide valid identification documents during check-in.,Yes. Identification is required for guests during check-in at Nile Pearl Hotel.,,,True,False
FAQ0230,INT008,English,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Yes. Nile Pearl Hotel requires guests to provide a valid identification document during check-in.,,,True,True
FAQ0231,INT008,English,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Yes. You should bring a valid identification document with you when checking in at Nile Pearl Hotel.,,,True,True
FAQ0232,INT008,English,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Yes. Make sure you have a valid identification document with you when checking in at Nile Pearl Hotel.,,,True,True
FAQ0233,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,نعم، يجب على الضيوف تقديم وثائق إثبات هوية سارية عند تسجيل الوصول في Nile Pearl Hotel.,,,True,True
FAQ0234,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,يجب على الضيوف تقديم وثائق إثبات هوية سارية عند تسجيل الوصول في Nile Pearl Hotel.,,,True,True
FAQ0235,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,نعم، يجب عليك تقديم وثيقة إثبات هوية سارية عند تسجيل الوصول في Nile Pearl Hotel.,,,True,True
FAQ0236,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,نعم، يجب تقديم وثيقة إثبات هوية سارية عند تسجيل الوصول في Nile Pearl Hotel.,,,True,True
FAQ0237,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,نعم، يُطلب من الضيوف تقديم إثبات هوية عند تسجيل الوصول في Nile Pearl Hotel.,,,True,True
FAQ0238,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,نعم، يتطلب Nile Pearl Hotel من الضيوف تقديم وثيقة إثبات هوية سارية أثناء تسجيل الوصول.,,,True,True
FAQ0239,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,نعم، يجب أن تحضر معك وثيقة إثبات هوية سارية عند تسجيل الوصول في Nile Pearl Hotel.,,,True,True
FAQ0240,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,نعم، تأكد من وجود وثيقة إثبات هوية سارية معك عند تسجيل الوصول في Nile Pearl Hotel.,,,True,True
FAQ0241,INT008,French,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Oui. Les clients doivent fournir une pièce d'identité valide lors de l'enregistrement au Nile Pearl Hotel.,,,True,True
FAQ0242,INT008,French,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Les clients doivent fournir une pièce d'identité valide lors de l'enregistrement au Nile Pearl Hotel.,,,True,True
FAQ0243,INT008,French,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Oui. Vous devez présenter une pièce d'identité valide lors de votre enregistrement au Nile Pearl Hotel.,,,True,True
FAQ0244,INT008,French,,,True,,,False,Guests are required to provide valid identification documents during check-in.,Oui. Vous devez présenter un document d'identité valide lors de votre arrivée au Nile Pearl Hotel.,,,True,False
FAQ0245,INT008,French,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Oui. Une pièce d'identité est requise pour les clients lors de l'enregistrement au Nile Pearl Hotel.,,,True,True
FAQ0246,INT008,French,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Oui. Le Nile Pearl Hotel exige que les clients fournissent une pièce d'identité valide lors de l'enregistrement.,,,True,True
FAQ0247,INT008,French,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Oui. Vous devez apporter une pièce d'identité valide avec vous lors de votre enregistrement au Nile Pearl Hotel.,,,True,True
FAQ0248,INT008,French,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Oui. Assurez-vous d'avoir une pièce d'identité valide avec vous lors de votre enregistrement au Nile Pearl Hotel.,,,True,True
FAQ0249,INT008,Russian,,,True,,,True,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",,,True,True
FAQ0250,INT008,Russian,,,True,,,True,Guests are required to provide valid identification documents during check-in.,"Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",,,True,True
FAQ0251,INT008,Russian,,,True,,,True,Guests are required to provide valid identification documents during check-in.,"Да. Вам необходимо предъявить действительный документ, удостоверяющий личность, при регистрации в Nile Pearl Hotel.",,,True,True
FAQ0252,INT008,Russian,,,True,,,True,Guests are required to provide valid identification documents during check-in.,"Да. При прибытии в Nile Pearl Hotel необходимо предоставить действительный документ, удостоверяющий личность.",,,True,True
FAQ0253,INT008,Russian,,,True,,,True,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предъявлять документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",,,True,True
FAQ0254,INT008,Russian,,,True,,,True,Guests are required to provide valid identification documents during check-in.,"Да. Nile Pearl Hotel требует от гостей предоставить действительный документ, удостоверяющий личность, во время регистрации заезда.",,,True,True
FAQ0255,INT008,Russian,,,True,,,True,Guests are required to provide valid identification documents during check-in.,"Да. Вам следует взять с собой действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",,,True,True
FAQ0256,INT008,Russian,,,True,,,True,Guests are required to provide valid identification documents during check-in.,"Да. Убедитесь, что у вас есть действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",,,True,True
FAQ0277,INT006,Arabic,True,True,True,True,True,True,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على توفر الغرفة وموافقة الفندق.,يمكن طلب تسجيل الوصول المبكر في Nile Pearl Hotel، ويعتمد ذلك على توفر الغرفة وموافقة الفندق.,,,,
FAQ0278,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,Early check-in at Nile Pearl Hotel is subject to room availability and hotel approval.,,,,
FAQ0279,INT006,French,True,True,True,True,True,True,L'enregistrement anticipé dépend de la disponibilité de la chambre et de l'approbation de l'hôtel.,L'enregistrement anticipé au Nile Pearl Hotel dépend de la disponibilité de la chambre et de l'approbation de l'hôtel.,,,,
FAQ0280,INT006,Russian,True,True,True,True,True,True,Ранний заезд зависит от наличия свободной комнаты и одобрения отеля.,Ранний заезд в Nile Pearl Hotel зависит от наличия свободной комнаты и одобрения отеля.,,,,
FAQ0281,INT007,Arabic,True,,True,True,,True,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,يمكن طلب تسجيل المغادرة المتأخر في Nile Pearl Hotel، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,True,True,,
FAQ0282,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,Late check-out at Nile Pearl Hotel is subject to availability and may incur an additional fee.,True,True,,
FAQ0283,INT007,French,True,,True,True,,True,Le départ tardif dépend de la disponibilité et peut entraîner des frais supplémentaires.,Le départ tardif au Nile Pearl Hotel dépend de la disponibilité et peut entraîner des frais supplémentaires.,True,True,,
FAQ0284,INT007,Russian,True,,True,True,,True,Поздний выезд зависит от наличия и может повлечь дополнительную плату.,Поздний выезд из Nile Pearl Hotel зависит от наличия и может повлечь дополнительную плату.,True,True,,
FAQ0285,INT008,Arabic,,,True,,,True,يجب على الضيوف تقديم وثيقة إثبات هوية سارية عند تسجيل الوصول، لكن قاعدة المعرفة لا تحدد الأنواع المقبولة بدقة.,يجب على الضيوف تقديم وثيقة إثبات هوية سارية عند تسجيل الوصول. لا تحدد قاعدة المعرفة الحالية الأنواع المقبولة من وثائق الهوية بدقة.,,,True,True
FAQ0286,INT008,English,,,True,,,True,"Guests must provide valid identification during check-in, but the current knowledge base does not specify the exact types of identification documents accepted.",Guests must provide valid identification during check-in. The current knowledge base does not specify the exact types of identification documents accepted.,,,True,True
FAQ0287,INT008,French,,,True,,,True,"Les clients doivent présenter une pièce d'identité valide lors de l'enregistrement, mais la base de connaissances actuelle ne précise pas les types exacts de documents acceptés.",Les clients doivent présenter une pièce d'identité valide lors de l'enregistrement. La base de connaissances actuelle ne précise pas les types exacts de documents d'identité acceptés.,,,True,True
FAQ0288,INT008,Russian,,,True,,,True,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации, но текущая база знаний не указывает точные виды принимаемых документов.","При регистрации гости должны предъявить действительный документ, удостоверяющий личность. Текущая база знаний не указывает точные виды принимаемых документов.",,,True,True
FAQ0309,INT006,Arabic,True,False,False,True,False,False,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,,,,
FAQ0310,INT006,English,True,False,False,True,False,False,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.,,,,
FAQ0311,INT006,French,True,False,False,True,False,False,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,,,,
FAQ0312,INT006,Russian,True,False,False,True,False,False,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",,,,
FAQ0313,INT007,Arabic,True,,False,True,,False,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,False,False,,
FAQ0314,INT007,English,True,,False,True,,False,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.,False,False,,
FAQ0315,INT007,French,True,,False,True,,False,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.,False,False,,
FAQ0316,INT007,Russian,True,,False,True,,False,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия.",False,False,,
FAQ0317,INT008,Arabic,,,True,,,True,يجب تقديم وثيقة هوية سارية عند تسجيل الوصول.,يجب تقديم وثيقة هوية سارية عند تسجيل الوصول.,,,True,True
FAQ0318,INT008,English,,,True,,,True,A valid identification document is required at check-in.,A valid identification document is required at check-in.,,,True,True
FAQ0319,INT008,French,,,True,,,True,Une pièce d'identité valide est requise lors de l'enregistrement.,Une pièce d'identité valide est requise lors de l'enregistrement.,,,True,True
FAQ0320,INT008,Russian,,,True,,,True,"При регистрации необходимо предъявить действительный документ, удостоверяющий личность.","При регистрации необходимо предъявить действительный документ, удостоверяющий личность.",,,True,True
FAQ0341,INT006,Arabic,True,True,True,False,True,False,Early check-in is subject to room availability and hotel approval.,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,,,,
FAQ0342,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,Early check-in at Nile Pearl Hotel is subject to room availability and hotel approval.,,,,
FAQ0343,INT006,French,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,,,,
FAQ0344,INT006,Russian,True,True,True,True,False,False,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,,,,
FAQ0345,INT007,Arabic,True,,True,False,,False,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,True,False,,
FAQ0346,INT007,English,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out can be arranged at Nile Pearl Hotel if room availability permits. Please note that an additional fee may apply.",True,True,,
FAQ0347,INT007,French,True,,True,True,,False,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,False,,
FAQ0348,INT007,Russian,True,,True,True,,True,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,True,True,,
FAQ0349,INT008,Arabic,,,True,,,True,Guests are required to provide valid identification documents during check-in.,نعم، يجب على الضيوف تقديم وثائق إثبات هوية سارية عند تسجيل الوصول في Nile Pearl Hotel.,,,True,True
FAQ0350,INT008,English,,,True,,,True,Guests are required to provide valid identification documents during check-in.,Yes. Guests are required to provide valid identification documents during check-in at Nile Pearl Hotel.,,,True,True
