issue,details,faq_id,intent_id,language,question,ground_truth,answer,source
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0206', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0206,INT007,Arabic,ما الشروط التي قد تحدد الموافقة على تسجيل الخروج المتأخر في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0209', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0209,INT007,French,"Est-il possible d'obtenir un départ tardif au Nile Pearl Hotel, et quelles sont les exigences?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0209', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0209,INT007,French,"Est-il possible d'obtenir un départ tardif au Nile Pearl Hotel, et quelles sont les exigences?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0210', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0210,INT007,French,Est-il possible de quitter la chambre plus tard que l'heure normale au Nile Pearl Hotel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0211', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0211,INT007,French,Quelles conditions faut-il remplir pour bénéficier d'un départ tardif au Nile Pearl Hotel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0215', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0215,INT007,French,"Si je souhaite prolonger mon séjour au Nile Pearl Hotel, puis-je bénéficier d'un départ tardif et quels frais supplémentaires dois-je prévoir?",Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer.",check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0216', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0216,INT007,French,"Si je dois quitter le Nile Pearl Hotel plus tard que prévu, puis-je demander un départ tardif et quelles règles dois-je respecter?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0219', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0219,INT007,Russian,Dans quelles situations un départ après l'heure normale peut-il être accordé ?,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0223', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0223,INT007,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и если да, как это сделать и будут ли дополнительные расходы?",Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если имеется свободное место. Однако это может быть за дополнительную плату. Для бронирования позднего выезда свяжитесь с нашей ресепшн.",check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0224', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0224,INT007,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и если это возможно, под какие условия и будут ли какие-либо дополнительные расходы?",Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",check_in_check_out.txt
INT008_ANSWER_IDENTIFICATION,FAQ0229,FAQ0229,INT008,English,Is identification necessary for guests when checking in at Nile Pearl Hotel?,Guests are required to provide valid identification documents during check-in.,Yes. Identification is required for guests during check-in at Nile Pearl Hotel.,identification_policy.txt
INT008_ANSWER_IDENTIFICATION,FAQ0237,FAQ0237,INT008,Arabic,هل يحتاج الضيوف إلى تقديم وثائق إثبات الهوية عند تسجيل الوصول في Nile Pearl Hotel?,Guests are required to provide valid identification documents during check-in.,نعم، يُطلب من الضيوف تقديم إثبات هوية عند تسجيل الوصول في Nile Pearl Hotel.,identification_policy.txt
INT008_ANSWER_IDENTIFICATION,FAQ0244,FAQ0244,INT008,French,"À mon arrivée au Nile Pearl Hotel, dois-je fournir un document d'identité valide avant de m'enregistrer?",Guests are required to provide valid identification documents during check-in.,Oui. Vous devez présenter un document d'identité valide lors de votre arrivée au Nile Pearl Hotel.,identification_policy.txt
INT008_ANSWER_IDENTIFICATION,FAQ0245,FAQ0245,INT008,French,Une pièce d'identité est-elle nécessaire pour les clients lors de l'enregistrement au Nile Pearl Hotel?,Guests are required to provide valid identification documents during check-in.,Oui. Une pièce d'identité est requise pour les clients lors de l'enregistrement au Nile Pearl Hotel.,identification_policy.txt
INT006_GT_FACT,"{'faq_id': 'FAQ0309', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0309,INT006,Arabic,سأصل قبل موعد تسجيل الوصول، فهل يمكنني الدخول إلى غرفتي مبكرًا؟,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,Generated Batch 03
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0309', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0309,INT006,Arabic,سأصل قبل موعد تسجيل الوصول، فهل يمكنني الدخول إلى غرفتي مبكرًا؟,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,Generated Batch 03
INT006_GT_FACT,"{'faq_id': 'FAQ0310', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0310,INT006,English,I will arrive before the check-in time; can I enter my room early?,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.,Generated Batch 03
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0310', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0310,INT006,English,I will arrive before the check-in time; can I enter my room early?,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.,Generated Batch 03
INT006_GT_FACT,"{'faq_id': 'FAQ0311', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0311,INT006,French,J'arriverai avant l'heure d'arrivée prévue ; puis-je accéder à ma chambre plus tôt ?,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,Generated Batch 03
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0311', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0311,INT006,French,J'arriverai avant l'heure d'arrivée prévue ; puis-je accéder à ma chambre plus tôt ?,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,Generated Batch 03
INT006_GT_FACT,"{'faq_id': 'FAQ0312', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0312,INT006,Russian,Я приеду раньше времени регистрации; смогу ли я заселиться в номер раньше?,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",Generated Batch 03
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0312', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0312,INT006,Russian,Я приеду раньше времени регистрации; смогу ли я заселиться в номер раньше?,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",Generated Batch 03
INT007_GT_FACT,"{'faq_id': 'FAQ0313', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0313,INT007,Arabic,هل يوفر الفندق خيار تمديد وقت تسجيل المغادرة إلى وقت لاحق؟,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,Generated Batch 03
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0313', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0313,INT007,Arabic,هل يوفر الفندق خيار تمديد وقت تسجيل المغادرة إلى وقت لاحق؟,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,Generated Batch 03
INT007_GT_FACT,"{'faq_id': 'FAQ0314', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0314,INT007,English,Does the hotel offer an option to extend the check-out time?,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.,Generated Batch 03
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0314', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0314,INT007,English,Does the hotel offer an option to extend the check-out time?,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.,Generated Batch 03
INT007_GT_FACT,"{'faq_id': 'FAQ0315', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0315,INT007,French,L'hôtel propose-t-il de prolonger l'heure de départ ?,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.,Generated Batch 03
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0315', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0315,INT007,French,L'hôtel propose-t-il de prolonger l'heure de départ ?,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.,Generated Batch 03
INT007_GT_FACT,"{'faq_id': 'FAQ0316', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0316,INT007,Russian,Предлагает ли отель возможность продлить время выезда?,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия.",Generated Batch 03
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0316', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0316,INT007,Russian,Предлагает ли отель возможность продлить время выезда?,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия.",Generated Batch 03
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0344', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0344,INT006,Russian,Можно ли подать запрос на заселение раньше обычного времени?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 04
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0345', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0345,INT007,Arabic,هل توجد إمكانية للبقاء في الغرفة بعد موعد تسجيل المغادرة المعتاد؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 04
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0347', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0347,INT007,French,Est-il possible de rester dans la chambre après l'heure habituelle de départ ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 04
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0376', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0376,INT006,Russian,"Если я приеду раньше времени заезда, могу ли я попросить заселиться в номер раньше?",Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 05
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0377', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0377,INT007,Arabic,هل يمكن تمديد إقامتي في الغرفة إلى ما بعد وقت المغادرة؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 05
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0379', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0379,INT007,French,Puis-je prolonger mon séjour dans la chambre au-delà de l'heure normale de départ ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 05
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0408', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0408,INT006,Russian,"Разрешает ли отель заселение раньше назначенного времени, если номер уже готов?",Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 06
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0409', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0409,INT007,Arabic,إذا احتجت للبقاء لفترة أطول في يوم المغادرة، هل يمكنني طلب خروج متأخر؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 06
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0411', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0411,INT007,French,"Si j'ai besoin de rester plus longtemps le jour du départ, puis-je demander un départ tardif ?",Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 06
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0440', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0440,INT006,Russian,Могу ли я запросить раннюю регистрацию до официального времени заезда?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 07
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0441', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0441,INT007,Arabic,هل يمكنني تأخير وقت مغادرة الغرفة عن الموعد المعتاد؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 07
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0443', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0443,INT007,French,Puis-je repousser l'heure de départ de ma chambre au-delà de l'horaire habituel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 07
