faq_id,intent_id,language,gt_ok,answer_ok,gt_missing,answer_missing,ground_truth,answer
FAQ0254,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Nile Pearl Hotel требует от гостей предоставить действительный документ, удостоверяющий личность, во время регистрации заезда."
FAQ0255,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Вам следует взять с собой действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
FAQ0256,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Убедитесь, что у вас есть действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
FAQ0288,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации, но текущая база знаний не указывает точные виды принимаемых документов.","При регистрации гости должны предъявить действительный документ, удостоверяющий личность. Текущая база знаний не указывает точные виды принимаемых документов."
FAQ0309,INT006,Arabic,False,False,approval,approval,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.
FAQ0310,INT006,English,False,False,approval,approval,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.
FAQ0311,INT006,French,False,False,approval,approval,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.
FAQ0312,INT006,Russian,False,False,approval,approval,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров."
FAQ0313,INT007,Arabic,False,False,additional_fee,additional_fee,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.
FAQ0314,INT007,English,False,False,additional_fee,additional_fee,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.
FAQ0315,INT007,French,False,False,additional_fee,additional_fee,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.
FAQ0316,INT007,Russian,False,False,additional_fee,additional_fee,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия."
FAQ0320,INT008,Russian,False,False,valid_identification,valid_identification,"При регистрации необходимо предъявить действительный документ, удостоверяющий личность.","При регистрации необходимо предъявить действительный документ, удостоверяющий личность."
FAQ0343,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.
FAQ0344,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.
FAQ0345,INT007,Arabic,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.
FAQ0347,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire."
FAQ0352,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
FAQ0375,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.
FAQ0376,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.
FAQ0377,INT007,Arabic,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.
FAQ0379,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire."
FAQ0384,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
FAQ0407,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.
FAQ0408,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.
FAQ0409,INT007,Arabic,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.
FAQ0411,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire."
FAQ0416,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
FAQ0439,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.
FAQ0440,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.
FAQ0441,INT007,Arabic,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.
FAQ0443,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire."
FAQ0448,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
FAQ0480,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.","Да, при заселении необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов."
FAQ0512,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.","При регистрации заезда необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов."
