faq_id_1,faq_id_2,intent_id,language_1,language_2,question_1,question_2,similarity,in_batch_1,in_batch_2
FAQ0259,FAQ0385,INT001,French,Arabic,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,في أي مدينة يوجد Nile Pearl Hotel؟,0.9842871427536011,False,False
FAQ0058,FAQ0262,INT002,Russian,English,Какая категория отеля является для Nile Pearl Hotel?,What hotel category is Nile Pearl Hotel?,0.9841153621673584,False,False
FAQ0290,FAQ0291,INT001,English,French,"If I am looking for the hotel in Cairo, where exactly is Nile Pearl Hotel located?","Si je cherche l'hôtel au Caire, où se trouve exactement le Nile Pearl Hotel ?",0.9838969707489014,False,False
FAQ0009,FAQ0017,INT001,Arabic,French,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Où se trouve l'hôtel Nile Pearl Hotel?,0.9835840463638306,False,False
FAQ0262,FAQ0263,INT002,English,French,What hotel category is Nile Pearl Hotel?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9834699630737305,False,False
FAQ0029,FAQ0260,INT001,Russian,Russian,В какой части города расположен Nile Pearl Hotel?,В каком районе города находится отель Nile Pearl Hotel?,0.9832327365875244,False,False
FAQ0340,FAQ0468,INT005,Russian,Russian,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.983083188533783,False,True
FAQ0003,FAQ0258,INT001,English,English,In which city is Nile Pearl Hotel located?,Which part of the city is Nile Pearl Hotel located in?,0.9826380014419556,False,False
FAQ0223,FAQ0224,INT007,Russian,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и если да, как это сделать и будут ли дополнительные расходы?","Могу ли я получить поздний выезд из Nile Pearl Hotel, и если это возможно, под какие условия и будут ли какие-либо дополнительные расходы?",0.9823395609855652,False,False
FAQ0010,FAQ0019,INT001,Arabic,French,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,0.9823075532913208,False,False
FAQ0052,FAQ0453,INT002,French,Arabic,Quel est le classement du Nile Pearl Hotel en nombre d'étoiles?,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟,0.9822805523872375,False,True
FAQ0008,FAQ0386,INT001,English,English,"For a trip to Egypt, which part of Cairo should I look for Nile Pearl Hotel in?",In which part of Cairo should I look for Nile Pearl Hotel?,0.9820114374160767,False,False
FAQ0003,FAQ0259,INT001,English,French,In which city is Nile Pearl Hotel located?,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,0.9819016456604004,False,False
FAQ0326,FAQ0423,INT002,English,French,What hotel classification does Nile Pearl Hotel have?,Quelle est la classification hôtelière du Nile Pearl Hotel ?,0.9813065528869629,False,False
FAQ0323,FAQ0324,INT001,French,Russian,Quel quartier ou point de repère proche puis-je utiliser pour localiser le Nile Pearl Hotel ?,"Какой ближайший район или ориентир можно использовать, чтобы найти Nile Pearl Hotel?",0.9811220169067383,False,False
FAQ0017,FAQ0022,INT001,French,French,Où se trouve l'hôtel Nile Pearl Hotel?,Où est situé exactement l'hôtel Nile Pearl Hotel?,0.9810110926628113,False,False
FAQ0054,FAQ0263,INT002,French,French,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9809690713882446,False,False
FAQ0257,FAQ0292,INT001,Arabic,Russian,إذا أردت معرفة موقع الفندق بالنسبة لمناطق القاهرة، فأين يوجد Nile Pearl Hotel؟,"Если я ищу отель в Каире, где именно находится Nile Pearl Hotel?",0.9805859327316284,False,False
FAQ0043,FAQ0325,INT002,Arabic,Arabic,كيف يتم تصنيف Nile Pearl Hotel ضمن فئات الفنادق؟,ما فئة Nile Pearl Hotel ضمن تصنيفات الفنادق؟,0.9803048372268677,False,False
FAQ0036,FAQ0038,INT002,English,English,What is the star classification of Nile Pearl Hotel?,What star classification is assigned to Nile Pearl Hotel?,0.9802178144454956,False,False
FAQ0258,FAQ0259,INT001,English,French,Which part of the city is Nile Pearl Hotel located in?,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,0.979727029800415,False,False
FAQ0417,FAQ0418,INT001,Arabic,English,كيف يمكنني معرفة موقع Nile Pearl Hotel داخل القاهرة؟,How can I identify the location of Nile Pearl Hotel within Cairo?,0.9795638918876648,False,False
FAQ0010,FAQ0027,INT001,Arabic,Russian,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,Где расположен отель Nile Pearl Hotel?,0.9794129133224487,False,False
FAQ0450,FAQ0451,INT001,English,French,Which city is home to the Nile Pearl Hotel?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9794088006019592,True,True
FAQ0294,FAQ0296,INT002,English,Russian,I am planning to stay at Nile Pearl Hotel; what category is the hotel?,Я планирую остановиться в Nile Pearl Hotel; к какой категории относится этот отель?,0.9791052341461182,False,False
FAQ0019,FAQ0260,INT001,French,Russian,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,В каком районе города находится отель Nile Pearl Hotel?,0.978533148765564,False,False
FAQ0259,FAQ0260,INT001,French,Russian,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,В каком районе города находится отель Nile Pearl Hotel?,0.9784561395645142,False,False
FAQ0003,FAQ0450,INT001,English,English,In which city is Nile Pearl Hotel located?,Which city is home to the Nile Pearl Hotel?,0.9783709049224854,False,True
FAQ0257,FAQ0290,INT001,Arabic,English,إذا أردت معرفة موقع الفندق بالنسبة لمناطق القاهرة، فأين يوجد Nile Pearl Hotel؟,"If I am looking for the hotel in Cairo, where exactly is Nile Pearl Hotel located?",0.978206992149353,False,False
FAQ0055,FAQ0063,INT002,French,Russian,"Si je choisis le Nile Pearl Hotel pour mon séjour au Caire, combien d'étoiles compte cet hôtel?","Если я выбираю Nile Pearl Hotel для проживания в Каире, сколько звезд имеет этот отель?",0.978193461894989,False,False
FAQ0263,FAQ0455,INT002,French,French,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,Quelle est la catégorie du Nile Pearl Hotel ?,0.978193461894989,False,True
FAQ0001,FAQ0017,INT001,English,French,Where is Nile Pearl Hotel located?,Où se trouve l'hôtel Nile Pearl Hotel?,0.9781736135482788,False,False
FAQ0222,FAQ0223,INT007,Russian,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и какие возможны дополнительные расходы?","Могу ли я получить поздний выезд из Nile Pearl Hotel, и если да, как это сделать и будут ли дополнительные расходы?",0.9780424237251282,False,False
FAQ0385,FAQ0450,INT001,Arabic,English,في أي مدينة يوجد Nile Pearl Hotel؟,Which city is home to the Nile Pearl Hotel?,0.977810800075531,False,True
FAQ0260,FAQ0385,INT001,Russian,Arabic,В каком районе города находится отель Nile Pearl Hotel?,في أي مدينة يوجد Nile Pearl Hotel؟,0.9777690172195435,False,False
FAQ0326,FAQ0424,INT002,English,Russian,What hotel classification does Nile Pearl Hotel have?,Какова гостиничная классификация Nile Pearl Hotel?,0.97773277759552,False,False
FAQ0010,FAQ0017,INT001,Arabic,French,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,Où se trouve l'hôtel Nile Pearl Hotel?,0.9777144193649292,False,False
FAQ0050,FAQ0456,INT002,French,Russian,Combien d'étoiles a l'hôtel Nile Pearl Hotel?,Сколько звёзд у Nile Pearl Hotel?,0.9777073860168457,False,True
FAQ0013,FAQ0388,INT001,Arabic,Russian,في أي جزء من القاهرة يقع فندق Nile Pearl Hotel؟,Где в Каире расположен Nile Pearl Hotel?,0.9774918556213379,False,False
FAQ0303,FAQ0463,INT004,French,French,J'arriverai à l'hôtel le jour de mon arrivée ; à quelle heure puis-je normalement m'enregistrer ?,"Si j'arrive à l'hôtel le jour de mon séjour, à partir de quelle heure puis-je normalement m'enregistrer ?",0.9768353700637817,False,True
FAQ0387,FAQ0388,INT001,French,Russian,Pouvez-vous me préciser où se situe le Nile Pearl Hotel au Caire ?,Где в Каире расположен Nile Pearl Hotel?,0.9767149686813354,False,False
FAQ0025,FAQ0027,INT001,Russian,Russian,По какому адресу находится отель Nile Pearl Hotel?,Где расположен отель Nile Pearl Hotel?,0.9766789674758911,False,False
FAQ0049,FAQ0052,INT002,French,French,Quel est le nombre d'étoiles attribué au Nile Pearl Hotel?,Quel est le classement du Nile Pearl Hotel en nombre d'étoiles?,0.9766592979431152,False,False
FAQ0043,FAQ0421,INT002,Arabic,Arabic,كيف يتم تصنيف Nile Pearl Hotel ضمن فئات الفنادق؟,إلى أي فئة من فئات الفنادق يُنسب Nile Pearl Hotel؟,0.9765605330467224,False,False
FAQ0222,FAQ0224,INT007,Russian,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и какие возможны дополнительные расходы?","Могу ли я получить поздний выезд из Nile Pearl Hotel, и если это возможно, под какие условия и будут ли какие-либо дополнительные расходы?",0.9765523672103882,False,False
FAQ0294,FAQ0295,INT002,English,French,I am planning to stay at Nile Pearl Hotel; what category is the hotel?,Je prévois de séjourner au Nile Pearl Hotel ; quelle est la catégorie de cet hôtel ?,0.9765113592147827,False,False
FAQ0021,FAQ0451,INT001,French,French,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9763766527175903,False,True
FAQ0017,FAQ0025,INT001,French,Russian,Où se trouve l'hôtel Nile Pearl Hotel?,По какому адресу находится отель Nile Pearl Hotel?,0.9763648509979248,False,False
FAQ0417,FAQ0420,INT001,Arabic,Russian,كيف يمكنني معرفة موقع Nile Pearl Hotel داخل القاهرة؟,Как определить местоположение Nile Pearl Hotel в Каире?,0.9763540625572205,False,False
FAQ0021,FAQ0385,INT001,French,Arabic,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,في أي مدينة يوجد Nile Pearl Hotel؟,0.9762149453163147,False,False
FAQ0018,FAQ0026,INT001,French,Russian,Quelle est l'adresse de l'hôtel Nile Pearl Hotel ?,Каков точный адрес отеля Nile Pearl Hotel в городе?,0.9761953353881836,False,False
FAQ0009,FAQ0010,INT001,Arabic,Arabic,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,0.9761643409729004,False,False
FAQ0260,FAQ0451,INT001,Russian,French,В каком районе города находится отель Nile Pearl Hotel?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9761343598365784,False,True
FAQ0019,FAQ0022,INT001,French,French,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,Où est situé exactement l'hôtel Nile Pearl Hotel?,0.976112961769104,False,False
FAQ0262,FAQ0455,INT002,English,French,What hotel category is Nile Pearl Hotel?,Quelle est la catégorie du Nile Pearl Hotel ?,0.9761041402816772,False,True
FAQ0010,FAQ0260,INT001,Arabic,Russian,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,В каком районе города находится отель Nile Pearl Hotel?,0.9759652614593506,False,False
FAQ0035,FAQ0262,INT002,English,English,What category of hotel is Nile Pearl Hotel classified as?,What hotel category is Nile Pearl Hotel?,0.9759151935577393,False,False
FAQ0102,FAQ0104,INT004,English,English,At what time can I normally check in at Nile Pearl Hotel?,"As a guest arriving at Nile Pearl Hotel, what time can I normally check in?",0.975900411605835,False,False
FAQ0022,FAQ0027,INT001,French,Russian,Où est situé exactement l'hôtel Nile Pearl Hotel?,Где расположен отель Nile Pearl Hotel?,0.9757681488990784,False,False
FAQ0257,FAQ0291,INT001,Arabic,French,إذا أردت معرفة موقع الفندق بالنسبة لمناطق القاهرة، فأين يوجد Nile Pearl Hotel؟,"Si je cherche l'hôtel au Caire, où se trouve exactement le Nile Pearl Hotel ?",0.9756795167922974,False,False
FAQ0263,FAQ0424,INT002,French,Russian,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,Какова гостиничная классификация Nile Pearl Hotel?,0.9754706621170044,False,False
FAQ0262,FAQ0424,INT002,English,Russian,What hotel category is Nile Pearl Hotel?,Какова гостиничная классификация Nile Pearl Hotel?,0.9754514694213867,False,False
FAQ0021,FAQ0029,INT001,French,Russian,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,В какой части города расположен Nile Pearl Hotel?,0.9752714037895203,False,False
FAQ0058,FAQ0424,INT002,Russian,Russian,Какая категория отеля является для Nile Pearl Hotel?,Какова гостиничная классификация Nile Pearl Hotel?,0.9752585291862488,False,False
FAQ0213,FAQ0222,INT007,French,Russian,"Est-ce que je peux avoir un décalage pour le départ tardif au Nile Pearl Hotel, et s'il y a des frais supplémentaires?","Могу ли я получить поздний выезд из Nile Pearl Hotel, и какие возможны дополнительные расходы?",0.9749619364738464,False,False
FAQ0017,FAQ0019,INT001,French,French,Où se trouve l'hôtel Nile Pearl Hotel?,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,0.9749048948287964,False,False
FAQ0218,FAQ0224,INT007,Russian,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и под какие условия это возможно?","Могу ли я получить поздний выезд из Nile Pearl Hotel, и если это возможно, под какие условия и будут ли какие-либо дополнительные расходы?",0.9748767614364624,False,False
FAQ0193,FAQ0195,INT007,English,English,"Can I arrange for late check-out at Nile Pearl Hotel, and if so, what conditions apply?","Is late check-out available at Nile Pearl Hotel, and if so, what conditions must be met?",0.9747951030731201,False,False
FAQ0050,FAQ0057,INT002,French,Russian,Combien d'étoiles a l'hôtel Nile Pearl Hotel?,Сколько звезд у отеля Nile Pearl Hotel?,0.9747492074966431,False,False
FAQ0250,FAQ0254,INT008,Russian,Russian,"Какие документы, удостоверяющие личность, необходимы при регистрации заезда в Nile Pearl Hotel?","Какие документы, удостоверяющие личность, могут потребоваться при заселении в Nile Pearl Hotel?",0.9747000336647034,False,False
FAQ0044,FAQ0456,INT002,Arabic,Russian,كم عدد النجوم التي يُصنَّف بها فندق Nile Pearl Hotel؟,Сколько звёзд у Nile Pearl Hotel?,0.9745697379112244,False,True
FAQ0061,FAQ0455,INT002,Russian,French,К какому уровню или категории относится Nile Pearl Hotel?,Quelle est la catégorie du Nile Pearl Hotel ?,0.9743450880050659,False,True
FAQ0003,FAQ0260,INT001,English,Russian,In which city is Nile Pearl Hotel located?,В каком районе города находится отель Nile Pearl Hotel?,0.9743256568908691,False,False
FAQ0021,FAQ0259,INT001,French,French,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,0.9741668701171875,False,False
FAQ0409,FAQ0411,INT007,Arabic,French,إذا احتجت للبقاء لفترة أطول في يوم المغادرة، هل يمكنني طلب خروج متأخر؟,"Si j'ai besoin de rester plus longtemps le jour du départ, puis-je demander un départ tardif ?",0.973949670791626,False,False
FAQ0411,FAQ0412,INT007,French,Russian,"Si j'ai besoin de rester plus longtemps le jour du départ, puis-je demander un départ tardif ?","Если мне нужно остаться подольше в день выезда, могу ли я попросить поздний выезд?",0.9738928079605103,False,False
FAQ0325,FAQ0421,INT002,Arabic,Arabic,ما فئة Nile Pearl Hotel ضمن تصنيفات الفنادق؟,إلى أي فئة من فئات الفنادق يُنسب Nile Pearl Hotel؟,0.9738444089889526,False,False
FAQ0264,FAQ0456,INT002,Russian,Russian,Сколько звёзд или какой класс имеет Nile Pearl Hotel?,Сколько звёзд у Nile Pearl Hotel?,0.9736646413803101,False,True
FAQ0054,FAQ0058,INT002,French,Russian,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,Какая категория отеля является для Nile Pearl Hotel?,0.9733823537826538,False,False
FAQ0025,FAQ0026,INT001,Russian,Russian,По какому адресу находится отель Nile Pearl Hotel?,Каков точный адрес отеля Nile Pearl Hotel в городе?,0.9733085632324219,False,False
FAQ0189,FAQ0191,INT006,Russian,Russian,Могу ли я приехать в Nile Pearl Hotel раньше обычного времени и запросить раннюю регистрацию заезда?,"Если я приеду раньше времени заезда, смогу ли я заранее зарегистрироваться заезда в Nile Pearl Hotel?",0.973082423210144,False,False
FAQ0390,FAQ0391,INT002,English,French,"Before booking a room, how can I tell what category Nile Pearl Hotel belongs to?","Avant de réserver une chambre, comment puis-je savoir à quelle catégorie appartient le Nile Pearl Hotel ?",0.9729951620101929,False,False
FAQ0051,FAQ0357,INT002,French,Arabic,Quel niveau de classement hôtelier est attribué au Nile Pearl Hotel ?,ما مستوى تصنيف Nile Pearl Hotel بين الفنادق؟,0.9729571342468262,False,False
FAQ0259,FAQ0450,INT001,French,English,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,Which city is home to the Nile Pearl Hotel?,0.9728085994720459,False,True
FAQ0010,FAQ0022,INT001,Arabic,French,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,Où est situé exactement l'hôtel Nile Pearl Hotel?,0.9728071689605713,False,False
FAQ0030,FAQ0387,INT001,Russian,French,В каком районе Каира расположен Nile Pearl Hotel?,Pouvez-vous me préciser où se situe le Nile Pearl Hotel au Caire ?,0.9726351499557495,False,False
FAQ0258,FAQ0451,INT001,English,French,Which part of the city is Nile Pearl Hotel located in?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9726210832595825,False,True
FAQ0009,FAQ0022,INT001,Arabic,French,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Où est situé exactement l'hôtel Nile Pearl Hotel?,0.9726099371910095,False,False
FAQ0042,FAQ0044,INT002,Arabic,Arabic,ما هو عدد النجوم التي يتم تقييم فندق Nile Pearl Hotel بها؟,كم عدد النجوم التي يُصنَّف بها فندق Nile Pearl Hotel؟,0.972491443157196,False,False
FAQ0009,FAQ0025,INT001,Arabic,Russian,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,По какому адресу находится отель Nile Pearl Hotel?,0.9724356532096863,False,False
FAQ0218,FAQ0221,INT007,Russian,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и под какие условия это возможно?","Как мне можно получить поздний выезд из Nile Pearl Hotel, и на какие дополнительные условия это может бытьdependent?",0.972328782081604,False,False
FAQ0012,FAQ0388,INT001,Arabic,Russian,أين يقع Nile Pearl Hotel في مصر؟,Где в Каире расположен Nile Pearl Hotel?,0.9721629619598389,False,False
FAQ0402,FAQ0403,INT005,English,French,"When my departure day arrives, what time do I need to leave the room?","Le jour de mon départ, à quelle heure dois-je quitter la chambre ?",0.9720407724380493,False,False
FAQ0001,FAQ0010,INT001,English,Arabic,Where is Nile Pearl Hotel located?,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,0.9720020294189453,False,False
FAQ0029,FAQ0450,INT001,Russian,English,В какой части города расположен Nile Pearl Hotel?,Which city is home to the Nile Pearl Hotel?,0.9718513488769531,False,True
FAQ0009,FAQ0019,INT001,Arabic,French,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,0.9718009233474731,False,False
FAQ0327,FAQ0328,INT002,French,Russian,Comment le Nile Pearl Hotel est-il classé selon son niveau hôtelier ?,Как классифицируется Nile Pearl Hotel по уровню гостиничного сервиса?,0.9717546701431274,False,False
FAQ0054,FAQ0262,INT002,French,English,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,What hotel category is Nile Pearl Hotel?,0.9716439247131348,False,False
FAQ0003,FAQ0004,INT001,English,English,In which city is Nile Pearl Hotel located?,In which city can I find the Nile Pearl Hotel?,0.9716410040855408,False,False
FAQ0263,FAQ0423,INT002,French,French,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,Quelle est la classification hôtelière du Nile Pearl Hotel ?,0.9716200828552246,False,False
FAQ0035,FAQ0043,INT002,English,Arabic,What category of hotel is Nile Pearl Hotel classified as?,كيف يتم تصنيف Nile Pearl Hotel ضمن فئات الفنادق؟,0.9716024398803711,False,False
FAQ0102,FAQ0462,INT004,English,English,At what time can I normally check in at Nile Pearl Hotel?,From what time can guests normally check in at Nile Pearl Hotel?,0.9715440273284912,False,True
FAQ0183,FAQ0184,INT006,French,French,"Si je dois arriver tôt à l'aube sans avoir réservé à l'avance, puis-je demander un enregistrement anticipé au Nile Pearl Hotel?","Si je dois arriver tôt en raison d'un vol matinal, puis-je demander un enregistrement anticipé au Nile Pearl Hotel?",0.9715307950973511,False,False
FAQ0034,FAQ0060,INT002,English,Russian,What star rating does Nile Pearl Hotel have?,Какой официальный звездный рейтинг у Nile Pearl Hotel?,0.9713826775550842,False,False
FAQ0019,FAQ0029,INT001,French,Russian,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,В какой части города расположен Nile Pearl Hotel?,0.9712713360786438,False,False
FAQ0123,FAQ0126,INT004,Russian,Russian,В какое время начинается регистрация заезда в Nile Pearl Hotel?,В какое время обычно доступна регистрация заезда в Nile Pearl Hotel?,0.9712170362472534,False,False
FAQ0019,FAQ0027,INT001,French,Russian,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,Где расположен отель Nile Pearl Hotel?,0.9711186289787292,False,False
FAQ0263,FAQ0421,INT002,French,Arabic,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,إلى أي فئة من فئات الفنادق يُنسب Nile Pearl Hotel؟,0.9711002707481384,False,False
FAQ0003,FAQ0021,INT001,English,French,In which city is Nile Pearl Hotel located?,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,0.9710744619369507,False,False
FAQ0326,FAQ0360,INT002,English,Russian,What hotel classification does Nile Pearl Hotel have?,Какой статус имеет Nile Pearl Hotel в системе гостиничной классификации?,0.9710469841957092,False,False
FAQ0258,FAQ0385,INT001,English,Arabic,Which part of the city is Nile Pearl Hotel located in?,في أي مدينة يوجد Nile Pearl Hotel؟,0.97088223695755,False,False
FAQ0004,FAQ0385,INT001,English,Arabic,In which city can I find the Nile Pearl Hotel?,في أي مدينة يوجد Nile Pearl Hotel؟,0.970726728439331,False,False
FAQ0058,FAQ0421,INT002,Russian,Arabic,Какая категория отеля является для Nile Pearl Hotel?,إلى أي فئة من فئات الفنادق يُنسب Nile Pearl Hotel؟,0.9706124663352966,False,False
FAQ0187,FAQ0191,INT006,Russian,Russian,Могу ли я заранее прибыть в Nile Pearl Hotel и провести регистрацию заезда до обычного времени?,"Если я приеду раньше времени заезда, смогу ли я заранее зарегистрироваться заезда в Nile Pearl Hotel?",0.9705721139907837,False,False
FAQ0214,FAQ0215,INT007,French,French,"Est-ce que je peux obtenir un séjour prolongé ou un départ tardif au Nile Pearl Hotel, et si c'est le cas, quelles frais supplémentaires pourrais-je encourir?","Si je souhaite prolonger mon séjour au Nile Pearl Hotel, puis-je bénéficier d'un départ tardif et quels frais supplémentaires dois-je prévoir?",0.9704633951187134,False,False
FAQ0262,FAQ0423,INT002,English,French,What hotel category is Nile Pearl Hotel?,Quelle est la classification hôtelière du Nile Pearl Hotel ?,0.970251202583313,False,False
FAQ0360,FAQ0423,INT002,Russian,French,Какой статус имеет Nile Pearl Hotel в системе гостиничной классификации?,Quelle est la classification hôtelière du Nile Pearl Hotel ?,0.9702459573745728,False,False
FAQ0054,FAQ0455,INT002,French,French,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,Quelle est la catégorie du Nile Pearl Hotel ?,0.9702358245849609,False,True
