faq_id_1,faq_id_2,intent_1,intent_2,language_1,language_2,question_1,question_2,similarity,in_batch_1,in_batch_2
FAQ0102,FAQ0466,INT004,INT005,English,English,At what time can I normally check in at Nile Pearl Hotel?,What is the standard check-out time at Nile Pearl Hotel?,0.9390791058540344,False,True
FAQ0054,FAQ0385,INT002,INT001,French,Arabic,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,في أي مدينة يوجد Nile Pearl Hotel؟,0.9378787875175476,False,False
FAQ0019,FAQ0058,INT001,INT002,French,Russian,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,Какая категория отеля является для Nile Pearl Hotel?,0.9378540515899658,False,False
FAQ0124,FAQ0468,INT004,INT005,Russian,Russian,В какое время обычно можно заселиться в Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9377655982971191,False,True
FAQ0115,FAQ0158,INT004,INT005,French,Russian,Quelle est l'heure de réservation d'entrée pour le Nile Pearl Hotel?,Какое стандартное время выезда у гостиницы Nile Pearl Hotel?,0.9376802444458008,False,False
FAQ0098,FAQ0466,INT004,INT005,English,English,What time does check-in normally begin at Nile Pearl Hotel?,What is the standard check-out time at Nile Pearl Hotel?,0.9375630021095276,False,True
FAQ0054,FAQ0260,INT002,INT001,French,Russian,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,В каком районе города находится отель Nile Pearl Hotel?,0.9374550580978394,False,False
FAQ0009,FAQ0455,INT001,INT002,Arabic,French,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Quelle est la catégorie du Nile Pearl Hotel ?,0.9366946220397949,False,True
FAQ0122,FAQ0340,INT004,INT005,Russian,Russian,В какое время гости могут зарегистрироваться и заселиться в Nile Pearl Hotel?,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9365792274475098,False,False
FAQ0028,FAQ0054,INT001,INT002,Russian,French,"Как называется город, в котором расположен отель Nile Pearl Hotel?",Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9363880157470703,False,False
FAQ0333,FAQ0340,INT004,INT005,Arabic,Russian,في أي ساعة يمكن للنزلاء بدء إجراءات الوصول إلى Nile Pearl Hotel؟,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9357465505599976,False,False
FAQ0124,FAQ0158,INT004,INT005,Russian,Russian,В какое время обычно можно заселиться в Nile Pearl Hotel?,Какое стандартное время выезда у гостиницы Nile Pearl Hotel?,0.9356906414031982,False,False
FAQ0009,FAQ0424,INT001,INT002,Arabic,Russian,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Какова гостиничная классификация Nile Pearl Hotel?,0.9353529214859009,False,False
FAQ0009,FAQ0262,INT001,INT002,Arabic,English,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,What hotel category is Nile Pearl Hotel?,0.9348270297050476,False,False
FAQ0122,FAQ0468,INT004,INT005,Russian,Russian,В какое время гости могут зарегистрироваться и заселиться в Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9348211288452148,False,True
FAQ0017,FAQ0059,INT001,INT002,French,Russian,Où se trouve l'hôtel Nile Pearl Hotel?,В каком классе отеля находится Nile Pearl Hotel?,0.9346296787261963,False,False
FAQ0021,FAQ0054,INT001,INT002,French,French,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9343591928482056,False,False
FAQ0010,FAQ0054,INT001,INT002,Arabic,French,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9333761930465698,False,False
FAQ0010,FAQ0058,INT001,INT002,Arabic,Russian,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,Какая категория отеля является для Nile Pearl Hotel?,0.933368444442749,False,False
FAQ0130,FAQ0210,INT005,INT007,English,French,By what time must guests leave the room at Nile Pearl Hotel?,Est-il possible de quitter la chambre plus tard que l'heure normale au Nile Pearl Hotel ?,0.933332085609436,False,False
FAQ0097,FAQ0466,INT004,INT005,English,English,At what time does the standard guest check-in begin at Nile Pearl Hotel?,What is the standard check-out time at Nile Pearl Hotel?,0.9330112934112549,False,True
FAQ0111,FAQ0468,INT004,INT005,Arabic,Russian,هل يمكنني معرفة وقت تسجيل الوصول المعتاد في Nile Pearl Hotel؟,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9328951835632324,False,True
FAQ0126,FAQ0340,INT004,INT005,Russian,Russian,В какое время обычно доступна регистрация заезда в Nile Pearl Hotel?,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9324899911880493,False,False
FAQ0101,FAQ0129,INT004,INT005,English,English,Could you tell me the usual time guests are expected to arrive and complete check-in at Nile Pearl Hotel?,At what time must guests normally complete check-out at Nile Pearl Hotel?,0.9313855171203613,False,False
FAQ0115,FAQ0468,INT004,INT005,French,Russian,Quelle est l'heure de réservation d'entrée pour le Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9311434030532837,False,True
FAQ0010,FAQ0059,INT001,INT002,Arabic,Russian,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,В каком классе отеля находится Nile Pearl Hotel?,0.9308574199676514,False,False
FAQ0149,FAQ0210,INT005,INT007,French,French,Jusqu'à quelle heure dois-je quitter ma chambre au Nile Pearl Hotel?,Est-il possible de quitter la chambre plus tard que l'heure normale au Nile Pearl Hotel ?,0.9304413795471191,False,False
FAQ0111,FAQ0133,INT004,INT005,Arabic,English,هل يمكنني معرفة وقت تسجيل الوصول المعتاد في Nile Pearl Hotel؟,What is the designated time by which I need to check out by at Nile Pearl Hotel?,0.9301793575286865,False,False
FAQ0029,FAQ0054,INT001,INT002,Russian,French,В какой части города расположен Nile Pearl Hotel?,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9301227331161499,False,False
FAQ0147,FAQ0333,INT005,INT004,French,Arabic,À quelle heure faut-il effectuer le départ du Nile Pearl Hotel?,في أي ساعة يمكن للنزلاء بدء إجراءات الوصول إلى Nile Pearl Hotel؟,0.9299517869949341,False,False
FAQ0022,FAQ0059,INT001,INT002,French,Russian,Où est situé exactement l'hôtel Nile Pearl Hotel?,В каком классе отеля находится Nile Pearl Hotel?,0.9298290014266968,False,False
FAQ0124,FAQ0155,INT004,INT005,Russian,Russian,В какое время обычно можно заселиться в Nile Pearl Hotel?,Каков стандартный час выселения в отеле Nile Pearl Hotel?,0.9296480417251587,False,False
FAQ0019,FAQ0455,INT001,INT002,French,French,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,Quelle est la catégorie du Nile Pearl Hotel ?,0.929623007774353,False,True
FAQ0027,FAQ0058,INT001,INT002,Russian,Russian,Где расположен отель Nile Pearl Hotel?,Какая категория отеля является для Nile Pearl Hotel?,0.929189145565033,False,False
FAQ0114,FAQ0340,INT004,INT005,French,Russian,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9291839599609375,False,False
FAQ0009,FAQ0423,INT001,INT002,Arabic,French,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Quelle est la classification hôtelière du Nile Pearl Hotel ?,0.9290379285812378,False,False
FAQ0019,FAQ0262,INT001,INT002,French,English,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,What hotel category is Nile Pearl Hotel?,0.9284864664077759,False,False
FAQ0464,FAQ0468,INT004,INT005,Russian,Russian,Во сколько начинается стандартное заселение в Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9280424118041992,True,True
FAQ0104,FAQ0466,INT004,INT005,English,English,"As a guest arriving at Nile Pearl Hotel, what time can I normally check in?",What is the standard check-out time at Nile Pearl Hotel?,0.9279590845108032,False,True
FAQ0296,FAQ0452,INT002,INT001,Russian,Russian,Я планирую остановиться в Nile Pearl Hotel; к какой категории относится этот отель?,"Если я собираюсь остановиться в Nile Pearl Hotel, в каком городе находится отель?",0.927548348903656,False,True
FAQ0333,FAQ0468,INT004,INT005,Arabic,Russian,في أي ساعة يمكن للنزلاء بدء إجراءات الوصول إلى Nile Pearl Hotel؟,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9273589849472046,False,True
FAQ0158,FAQ0333,INT005,INT004,Russian,Arabic,Какое стандартное время выезда у гостиницы Nile Pearl Hotel?,في أي ساعة يمكن للنزلاء بدء إجراءات الوصول إلى Nile Pearl Hotel؟,0.9271193742752075,False,False
FAQ0340,FAQ0464,INT005,INT004,Russian,Russian,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,Во сколько начинается стандартное заселение в Nile Pearl Hotel?,0.9267932176589966,False,True
FAQ0129,FAQ0334,INT005,INT004,English,English,At what time must guests normally complete check-out at Nile Pearl Hotel?,What time are guests first permitted to check in at Nile Pearl Hotel?,0.9267721176147461,False,False
FAQ0010,FAQ0263,INT001,INT002,Arabic,French,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9267609119415283,False,False
FAQ0260,FAQ0263,INT001,INT002,Russian,French,В каком районе города находится отель Nile Pearl Hotel?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9266106486320496,False,False
FAQ0058,FAQ0260,INT002,INT001,Russian,Russian,Какая категория отеля является для Nile Pearl Hotel?,В каком районе города находится отель Nile Pearl Hotel?,0.926588237285614,False,False
FAQ0385,FAQ0455,INT001,INT002,Arabic,French,في أي مدينة يوجد Nile Pearl Hotel؟,Quelle est la catégorie du Nile Pearl Hotel ?,0.9258644580841064,False,True
FAQ0098,FAQ0129,INT004,INT005,English,English,What time does check-in normally begin at Nile Pearl Hotel?,At what time must guests normally complete check-out at Nile Pearl Hotel?,0.9254007339477539,False,False
FAQ0109,FAQ0468,INT004,INT005,Arabic,Russian,متى يمكنني تسجيل الوصول في فندق Nile Pearl Hotel؟,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9253969192504883,False,True
FAQ0154,FAQ0333,INT005,INT004,Russian,Arabic,Во сколько обычно начинается процедура выселения из отеля Nile Pearl Hotel?,في أي ساعة يمكن للنزلاء بدء إجراءات الوصول إلى Nile Pearl Hotel؟,0.9253298044204712,False,False
FAQ0111,FAQ0158,INT004,INT005,Arabic,Russian,هل يمكنني معرفة وقت تسجيل الوصول المعتاد في Nile Pearl Hotel؟,Какое стандартное время выезда у гостиницы Nile Pearl Hotel?,0.9246364235877991,False,False
FAQ0104,FAQ0133,INT004,INT005,English,English,"As a guest arriving at Nile Pearl Hotel, what time can I normally check in?",What is the designated time by which I need to check out by at Nile Pearl Hotel?,0.9246177077293396,False,False
FAQ0059,FAQ0260,INT002,INT001,Russian,Russian,В каком классе отеля находится Nile Pearl Hotel?,В каком районе города находится отель Nile Pearl Hotel?,0.924297571182251,False,False
FAQ0111,FAQ0340,INT004,INT005,Arabic,Russian,هل يمكنني معرفة وقت تسجيل الوصول المعتاد في Nile Pearl Hotel؟,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9241296052932739,False,False
FAQ0133,FAQ0334,INT005,INT004,English,English,What is the designated time by which I need to check out by at Nile Pearl Hotel?,What time are guests first permitted to check in at Nile Pearl Hotel?,0.9241129755973816,False,False
FAQ0028,FAQ0263,INT001,INT002,Russian,French,"Как называется город, в котором расположен отель Nile Pearl Hotel?",À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9240033626556396,False,False
FAQ0461,FAQ0468,INT004,INT005,Arabic,Russian,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9240033626556396,True,True
FAQ0021,FAQ0455,INT001,INT002,French,French,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,Quelle est la catégorie du Nile Pearl Hotel ?,0.9238438010215759,False,True
FAQ0027,FAQ0054,INT001,INT002,Russian,French,Где расположен отель Nile Pearl Hotel?,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9238041639328003,False,False
FAQ0114,FAQ0158,INT004,INT005,French,Russian,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,Какое стандартное время выезда у гостиницы Nile Pearl Hotel?,0.9236541986465454,False,False
FAQ0114,FAQ0150,INT004,INT005,French,French,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,Quel est le temps habituel pour effectuer le départ à l'hôtel Nile Pearl Hotel?,0.9229466915130615,False,False
FAQ0115,FAQ0340,INT004,INT005,French,Russian,Quelle est l'heure de réservation d'entrée pour le Nile Pearl Hotel?,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9227926135063171,False,False
FAQ0334,FAQ0466,INT004,INT005,English,English,What time are guests first permitted to check in at Nile Pearl Hotel?,What is the standard check-out time at Nile Pearl Hotel?,0.9226369261741638,False,True
FAQ0019,FAQ0424,INT001,INT002,French,Russian,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,Какова гостиничная классификация Nile Pearl Hotel?,0.9226229190826416,False,False
FAQ0263,FAQ0385,INT002,INT001,French,Arabic,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,في أي مدينة يوجد Nile Pearl Hotel؟,0.9224277138710022,False,False
FAQ0155,FAQ0336,INT005,INT004,Russian,Russian,Каков стандартный час выселения в отеле Nile Pearl Hotel?,С какого часа гостям разрешается заселение в Nile Pearl Hotel?,0.9223686456680298,False,False
FAQ0054,FAQ0451,INT002,INT001,French,French,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9221524000167847,False,True
FAQ0336,FAQ0339,INT004,INT005,Russian,French,С какого часа гостям разрешается заселение в Nile Pearl Hotel?,Quelle est l'heure habituelle limite pour libérer la chambre au Nile Pearl Hotel ?,0.9220695495605469,False,False
FAQ0114,FAQ0133,INT004,INT005,French,English,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,What is the designated time by which I need to check out by at Nile Pearl Hotel?,0.9219937324523926,False,False
FAQ0022,FAQ0263,INT001,INT002,French,French,Où est situé exactement l'hôtel Nile Pearl Hotel?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9218976497650146,False,False
FAQ0027,FAQ0263,INT001,INT002,Russian,French,Где расположен отель Nile Pearl Hotel?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9217411875724792,False,False
FAQ0116,FAQ0129,INT004,INT005,French,English,Quelle heure est le check-in standard à l'hôtel Nile Pearl Hotel?,At what time must guests normally complete check-out at Nile Pearl Hotel?,0.9217411279678345,False,False
FAQ0017,FAQ0054,INT001,INT002,French,French,Où se trouve l'hôtel Nile Pearl Hotel?,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9215835332870483,False,False
FAQ0126,FAQ0187,INT004,INT006,Russian,Russian,В какое время обычно доступна регистрация заезда в Nile Pearl Hotel?,Могу ли я заранее прибыть в Nile Pearl Hotel и провести регистрацию заезда до обычного времени?,0.92151939868927,False,False
FAQ0116,FAQ0133,INT004,INT005,French,English,Quelle heure est le check-in standard à l'hôtel Nile Pearl Hotel?,What is the designated time by which I need to check out by at Nile Pearl Hotel?,0.9214605093002319,False,False
FAQ0118,FAQ0468,INT004,INT005,French,Russian,À quelle heure les clients peuvent-ils effectuer leur enregistrement au Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9209302663803101,False,True
FAQ0158,FAQ0336,INT005,INT004,Russian,Russian,Какое стандартное время выезда у гостиницы Nile Pearl Hotel?,С какого часа гостям разрешается заселение в Nile Pearl Hotel?,0.9208406209945679,False,False
FAQ0340,FAQ0461,INT005,INT004,Russian,Arabic,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,0.920623779296875,False,True
FAQ0102,FAQ0129,INT004,INT005,English,English,At what time can I normally check in at Nile Pearl Hotel?,At what time must guests normally complete check-out at Nile Pearl Hotel?,0.9206178784370422,False,False
FAQ0118,FAQ0340,INT004,INT005,French,Russian,À quelle heure les clients peuvent-ils effectuer leur enregistrement au Nile Pearl Hotel?,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9205977916717529,False,False
FAQ0100,FAQ0133,INT004,INT005,English,English,What time is check-in usually available at Nile Pearl Hotel?,What is the designated time by which I need to check out by at Nile Pearl Hotel?,0.9204280376434326,False,False
FAQ0115,FAQ0150,INT004,INT005,French,French,Quelle est l'heure de réservation d'entrée pour le Nile Pearl Hotel?,Quel est le temps habituel pour effectuer le départ à l'hôtel Nile Pearl Hotel?,0.9202076196670532,False,False
FAQ0020,FAQ0054,INT001,INT002,French,French,Quel est le nom de la ville où se trouve l'hôtel Nile Pearl Hotel ?,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9199140071868896,False,False
FAQ0021,FAQ0263,INT001,INT002,French,French,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.919718861579895,False,False
FAQ0115,FAQ0147,INT004,INT005,French,French,Quelle est l'heure de réservation d'entrée pour le Nile Pearl Hotel?,À quelle heure faut-il effectuer le départ du Nile Pearl Hotel?,0.9197182655334473,False,False
FAQ0114,FAQ0148,INT004,INT005,French,French,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,À quelle heure dois-je libérer ma chambre au Nile Pearl Hotel le jour du départ ?,0.9194027185440063,False,False
FAQ0113,FAQ0468,INT004,INT005,French,Russian,Quelle est l'heure de début d'arrivée au Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9190729260444641,False,True
FAQ0146,FAQ0333,INT005,INT004,French,Arabic,À quelle heure les clients doivent-ils quitter le Nile Pearl Hotel?,في أي ساعة يمكن للنزلاء بدء إجراءات الوصول إلى Nile Pearl Hotel؟,0.9187407493591309,False,False
FAQ0109,FAQ0139,INT004,INT005,Arabic,Arabic,متى يمكنني تسجيل الوصول في فندق Nile Pearl Hotel؟,متى يجب على الضيوف إتمام تسجيل الخروج المعتاد من فندق Nile Pearl Hotel؟,0.9183672666549683,False,False
FAQ0025,FAQ0059,INT001,INT002,Russian,Russian,По какому адресу находится отель Nile Pearl Hotel?,В каком классе отеля находится Nile Pearl Hotel?,0.9183489680290222,False,False
FAQ0103,FAQ0466,INT004,INT005,English,English,"After arriving at Nile Pearl Hotel, when is the standard time for checking in?",What is the standard check-out time at Nile Pearl Hotel?,0.9178628325462341,False,True
FAQ0105,FAQ0171,INT004,INT006,Arabic,Arabic,عند الوصول إلى Nile Pearl Hotel، متى يُسمح للضيف ببدء إجراءات تسجيل الوصول؟,هل يمكن للضيوف في Nile Pearl Hotel تسجيل الوصول مبكرًا؟,0.9176363348960876,False,False
FAQ0022,FAQ0058,INT001,INT002,French,Russian,Où est situé exactement l'hôtel Nile Pearl Hotel?,Какая категория отеля является для Nile Pearl Hotel?,0.9176316261291504,False,False
FAQ0028,FAQ0455,INT001,INT002,Russian,French,"Как называется город, в котором расположен отель Nile Pearl Hotel?",Quelle est la catégorie du Nile Pearl Hotel ?,0.9176195859909058,False,True
FAQ0113,FAQ0147,INT004,INT005,French,French,Quelle est l'heure de début d'arrivée au Nile Pearl Hotel?,À quelle heure faut-il effectuer le départ du Nile Pearl Hotel?,0.9176072478294373,False,False
FAQ0127,FAQ0468,INT004,INT005,Russian,Russian,"Здравствуйте, я планирую приехать в Nile Pearl Hotel. В какое время обычно можно заселиться?",К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9173359870910645,False,True
FAQ0019,FAQ0423,INT001,INT002,French,French,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,Quelle est la classification hôtelière du Nile Pearl Hotel ?,0.9171015024185181,False,False
FAQ0123,FAQ0468,INT004,INT005,Russian,Russian,В какое время начинается регистрация заезда в Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9166693091392517,False,True
FAQ0126,FAQ0133,INT004,INT005,Russian,English,В какое время обычно доступна регистрация заезда в Nile Pearl Hotel?,What is the designated time by which I need to check out by at Nile Pearl Hotel?,0.9166353344917297,False,False
FAQ0126,FAQ0468,INT004,INT005,Russian,Russian,В какое время обычно доступна регистрация заезда в Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9166039824485779,False,True
FAQ0295,FAQ0452,INT002,INT001,French,Russian,Je prévois de séjourner au Nile Pearl Hotel ; quelle est la catégorie de cet hôtel ?,"Если я собираюсь остановиться в Nile Pearl Hotel, в каком городе находится отель?",0.9163911938667297,False,True
FAQ0054,FAQ0259,INT002,INT001,French,French,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,0.9163486957550049,False,False
FAQ0114,FAQ0146,INT004,INT005,French,French,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,À quelle heure les clients doivent-ils quitter le Nile Pearl Hotel?,0.9158072471618652,False,False
FAQ0017,FAQ0263,INT001,INT002,French,French,Où se trouve l'hôtel Nile Pearl Hotel?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9157928228378296,False,False
FAQ0104,FAQ0129,INT004,INT005,English,English,"As a guest arriving at Nile Pearl Hotel, what time can I normally check in?",At what time must guests normally complete check-out at Nile Pearl Hotel?,0.915590226650238,False,False
FAQ0114,FAQ0151,INT004,INT005,French,French,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,"Si je termine mon séjour au Nile Pearl Hotel aujourd'hui, à quelle heure dois-je effectuer mon départ?",0.9151297807693481,False,False
FAQ0017,FAQ0455,INT001,INT002,French,French,Où se trouve l'hôtel Nile Pearl Hotel?,Quelle est la catégorie du Nile Pearl Hotel ?,0.9149307608604431,False,True
FAQ0058,FAQ0385,INT002,INT001,Russian,Arabic,Какая категория отеля является для Nile Pearl Hotel?,في أي مدينة يوجد Nile Pearl Hotel؟,0.9148997068405151,False,False
FAQ0451,FAQ0455,INT001,INT002,French,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,Quelle est la catégorie du Nile Pearl Hotel ?,0.9148040413856506,True,True
FAQ0022,FAQ0455,INT001,INT002,French,French,Où est situé exactement l'hôtel Nile Pearl Hotel?,Quelle est la catégorie du Nile Pearl Hotel ?,0.9146628975868225,False,True
FAQ0017,FAQ0058,INT001,INT002,French,Russian,Où se trouve l'hôtel Nile Pearl Hotel?,Какая категория отеля является для Nile Pearl Hotel?,0.9146615266799927,False,False
FAQ0126,FAQ0180,INT004,INT006,Russian,French,В какое время обычно доступна регистрация заезда в Nile Pearl Hotel?,Peut-on demander un enregistrement anticipé au Nile Pearl Hotel avant l'heure normale?,0.9146413803100586,False,False
FAQ0029,FAQ0263,INT001,INT002,Russian,French,В какой части города расположен Nile Pearl Hotel?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9141374826431274,False,False
