booking_id,customer_id,room_id,room_type_id,check_in,check_out,nights,adults,children,booking_status,booking_channel,price_per_night,total_amount
B000027,C006903,R231,RT005,2026-07-03,2026-07-10,7,3,1,Completed,Website,4849.05,33943.35
B000028,C001776,R189,RT004,2025-10-13,2025-10-27,14,2,1,Cancelled,Website,3737.98,52331.72
B000029,C006196,R144,RT002,2026-12-30,2027-01-09,10,2,0,Confirmed,Website,2951.51,29515.1
B000030,C003364,R198,RT004,2025-09-10,2025-09-17,7,3,0,Cancelled,Phone,4533.11,31731.77
B000031,C003969,R217,RT005,2026-02-08,2026-02-20,12,1,1,No-show,Booking Platform,4937.85,59254.2
B000032,C003556,R162,RT003,2026-07-09,2026-07-14,5,1,1,Confirmed,Phone,2764.81,13824.05
B000033,C000758,R241,RT006,2026-02-06,2026-02-11,5,3,1,Completed,Mobile App,6502.37,32511.85
B000034,C000620,R237,RT006,2026-12-20,2026-12-26,6,4,0,Confirmed,Booking Platform,6647.51,39885.06
B000035,C001872,R207,RT004,2026-01-05,2026-01-11,6,1,0,Confirmed,Website,3544.77,21268.62
B000036,C007896,R239,RT006,2026-11-29,2026-12-02,3,4,0,Completed,Mobile App,8025.16,24075.48
B000037,C001909,R192,RT004,2027-06-13,2027-06-17,4,3,0,Confirmed,Travel Agent,3540.33,14161.32
B000038,C002205,R230,RT005,2027-04-22,2027-05-06,14,2,2,Completed,Mobile App,4917.98,68851.72
B000039,C007210,R211,RT004,2026-04-05,2026-04-09,4,2,1,No-show,Website,3739.34,14957.36
B000040,C004483,R123,RT002,2026-03-05,2026-03-16,11,2,0,Confirmed,Website,2397.25,26369.75
B000041,C001637,R179,RT003,2026-08-22,2026-08-30,8,1,0,Completed,Website,2995.04,23960.32
B000042,C002733,R178,RT003,2027-07-02,2027-07-12,10,2,0,Completed,Phone,3493.13,34931.3
B000043,C003152,R250,RT006,2027-03-02,2027-03-14,12,1,0,Completed,Website,7466.17,89594.04
B000044,C006449,R201,RT004,2026-05-02,2026-05-14,12,1,0,Confirmed,Mobile App,4842.04,58104.48
B000045,C000897,R143,RT002,2025-08-18,2025-08-22,4,2,0,Confirmed,Mobile App,2717.39,10869.56
B000046,C005913,R203,RT004,2027-03-24,2027-03-30,6,1,1,Confirmed,Website,4126.66,24759.96
B000047,C004469,R224,RT005,2026-11-11,2026-11-16,5,2,0,Cancelled,Website,5008.6,25043.0
B000048,C008260,R141,RT002,2027-02-25,2027-03-03,6,1,0,Confirmed,Mobile App,2343.56,14061.36
B000049,C008677,R216,RT005,2025-10-12,2025-10-21,9,1,0,Cancelled,Mobile App,4464.25,40178.25
B000050,C000894,R189,RT004,2026-01-13,2026-01-16,3,1,2,Cancelled,Phone,3345.85,10037.55
B000051,C004753,R189,RT004,2025-10-23,2025-10-31,8,1,1,Completed,Phone,4666.59,37332.72
B000052,C000330,R197,RT004,2026-10-18,2026-10-29,11,2,1,Confirmed,Website,4732.84,52061.24
B000053,C008218,R131,RT002,2026-04-06,2026-04-16,10,2,0,Confirmed,Website,3164.34,31643.4
B000054,C006119,R195,RT004,2026-03-31,2026-04-08,8,2,0,Completed,Booking Platform,3305.13,26441.04
B000055,C002516,R184,RT003,2025-09-02,2025-09-14,12,2,1,Confirmed,Mobile App,3416.19,40994.28
B000056,C000683,R244,RT006,2027-06-20,2027-06-23,3,2,2,Confirmed,Booking Platform,7951.92,23855.76
B000057,C003444,R131,RT002,2025-09-08,2025-09-12,4,2,1,Cancelled,Website,2298.42,9193.68
B000058,C002796,R122,RT002,2025-09-26,2025-10-02,6,1,0,Confirmed,Phone,3036.02,18216.12
B000059,C001582,R248,RT006,2026-12-05,2026-12-18,13,1,0,Confirmed,Phone,6506.53,84584.89
B000060,C005482,R120,RT001,2026-02-21,2026-03-02,9,1,1,Completed,Website,1657.47,14917.23
B000061,C009246,R146,RT002,2025-12-03,2025-12-06,3,1,0,Completed,Website,3242.05,9726.15
B000062,C002866,R237,RT006,2025-09-01,2025-09-14,13,4,1,Confirmed,Website,8172.43,106241.59
B000063,C001413,R198,RT004,2025-11-21,2025-12-02,11,3,0,Confirmed,Website,4393.95,48333.45
B000064,C001571,R229,RT005,2025-11-11,2025-11-16,5,4,0,Confirmed,Travel Agent,4520.54,22602.7
B000065,C007118,R152,RT002,2026-08-23,2026-09-05,13,1,1,Completed,Booking Platform,2948.35,38328.55
B000066,C002143,R197,RT004,2027-02-26,2027-03-06,8,1,0,Confirmed,Website,4207.68,33661.44
B000067,C008086,R206,RT004,2026-06-24,2026-07-02,8,1,2,Confirmed,Booking Platform,3937.12,31496.96
B000068,C005352,R126,RT002,2025-12-15,2025-12-29,14,2,0,Confirmed,Mobile App,2782.35,38952.9
B000069,C006002,R138,RT002,2025-12-27,2025-12-28,1,2,0,Cancelled,Website,2188.78,2188.78
B000070,C004758,R237,RT006,2025-11-06,2025-11-12,6,1,1,Completed,Website,8335.03,50010.18
B000071,C003293,R135,RT002,2027-01-22,2027-02-02,11,1,0,No-show,Mobile App,2978.06,32758.66
B000072,C007272,R243,RT006,2025-12-11,2025-12-16,5,4,0,Confirmed,Mobile App,6622.46,33112.3
B000073,C009347,R164,RT003,2027-07-09,2027-07-10,1,2,0,Cancelled,Booking Platform,3378.8,3378.8
B000074,C007196,R187,RT004,2027-05-14,2027-05-24,10,3,0,No-show,Website,3959.32,39593.2
B000075,C004883,R120,RT001,2026-02-21,2026-03-01,8,1,0,Completed,Booking Platform,2200.07,17600.56
B000076,C006048,R250,RT006,2026-04-13,2026-04-25,12,2,0,Completed,Phone,5587.32,67047.84
B000077,C004796,R183,RT003,2026-09-28,2026-10-12,14,2,1,Completed,Website,2462.84,34479.76
B000078,C008442,R234,RT005,2026-12-26,2026-12-31,5,4,0,Completed,Website,4815.6,24078.0
B000079,C005857,R122,RT002,2026-08-09,2026-08-10,1,1,1,Cancelled,Booking Platform,3020.39,3020.39
B000080,C005344,R159,RT003,2027-07-12,2027-07-23,11,2,0,Cancelled,Travel Agent,3159.52,34754.72
B000081,C002475,R195,RT004,2027-07-06,2027-07-19,13,3,0,Completed,Mobile App,4057.2,52743.6
B000082,C007424,R224,RT005,2027-07-18,2027-07-24,6,2,0,Confirmed,Website,5460.69,32764.14
B000083,C007361,R109,RT001,2026-01-25,2026-02-03,9,1,0,Confirmed,Booking Platform,1857.66,16718.94
B000084,C008432,R240,RT006,2027-03-05,2027-03-13,8,3,1,Completed,Phone,5917.03,47336.24
B000085,C006651,R168,RT003,2027-03-08,2027-03-19,11,1,0,Completed,Booking Platform,2571.33,28284.63
B000086,C003938,R182,RT003,2027-07-02,2027-07-09,7,1,0,No-show,Phone,2672.52,18707.64
B000087,C001558,R147,RT002,2025-08-28,2025-09-02,5,1,0,Confirmed,Booking Platform,3231.82,16159.1
B000088,C005327,R127,RT002,2027-04-16,2027-04-21,5,2,1,Completed,Website,3057.19,15285.95
B000089,C006903,R167,RT003,2027-05-07,2027-05-19,12,1,0,Cancelled,Mobile App,3244.07,38928.84
B000090,C008976,R114,RT001,2026-04-21,2026-05-03,12,1,0,Completed,Website,2234.89,26818.68
B000091,C007806,R221,RT005,2026-06-26,2026-07-06,10,1,2,Confirmed,Website,4297.08,42970.8
B000092,C002291,R119,RT001,2027-03-26,2027-04-09,14,1,1,Completed,Website,2203.56,30849.84
B000093,C003580,R231,RT005,2027-04-13,2027-04-23,10,3,1,Cancelled,Mobile App,5348.68,53486.8
B000094,C006682,R166,RT003,2027-03-09,2027-03-22,13,1,0,Confirmed,Booking Platform,3078.22,40016.86
B000095,C002256,R115,RT001,2026-11-28,2026-12-01,3,1,0,Confirmed,Mobile App,1562.67,4688.01
B000096,C008970,R216,RT005,2026-09-18,2026-10-02,14,3,2,Completed,Website,3979.27,55709.78
B000097,C003591,R191,RT004,2025-11-07,2025-11-12,5,1,0,Confirmed,Travel Agent,3802.54,19012.7
B000098,C009962,R111,RT001,2026-12-18,2026-12-22,4,1,0,Completed,Mobile App,2138.17,8552.68
B000099,C009400,R118,RT001,2025-10-29,2025-11-07,9,1,0,Completed,Website,1762.93,15866.37
B000100,C002850,R103,RT001,2027-03-11,2027-03-19,8,1,0,Completed,Website,1616.39,12931.12
B000101,C002881,R194,RT004,2025-10-16,2025-10-18,2,2,0,Confirmed,Phone,4494.95,8989.9
B000102,C007457,R240,RT006,2027-05-12,2027-05-13,1,1,0,Cancelled,Booking Platform,6979.67,6979.67
B000103,C009755,R204,RT004,2026-09-29,2026-10-12,13,3,2,Confirmed,Website,4749.25,61740.25
B000104,C003097,R156,RT003,2025-10-28,2025-10-30,2,2,0,Confirmed,Website,2448.27,4896.54
B000105,C009170,R242,RT006,2025-12-23,2026-01-05,13,2,0,Confirmed,Mobile App,7318.33,95138.29
B000106,C000515,R103,RT001,2026-10-18,2026-10-19,1,1,0,No-show,Website,1853.81,1853.81
B000107,C009137,R132,RT002,2025-09-08,2025-09-21,13,1,0,Confirmed,Booking Platform,2667.41,34676.33
B000108,C004626,R174,RT003,2026-03-11,2026-03-13,2,2,0,Cancelled,Mobile App,3234.98,6469.96
B000109,C003062,R187,RT004,2025-09-28,2025-09-29,1,1,0,No-show,Website,4813.6,4813.6
B000110,C001647,R137,RT002,2026-11-18,2026-11-22,4,2,1,Confirmed,Mobile App,3225.79,12903.16
B000111,C005001,R110,RT001,2025-08-28,2025-08-31,3,1,0,Confirmed,Phone,1611.46,4834.38
B000112,C003858,R246,RT006,2027-07-03,2027-07-07,4,1,0,Completed,Website,6523.6,26094.4
B000113,C006404,R238,RT006,2027-01-09,2027-01-15,6,4,0,Confirmed,Mobile App,7457.95,44747.7
B000114,C000493,R201,RT004,2026-06-01,2026-06-09,8,1,0,Completed,Booking Platform,3477.5,27820.0
B000115,C005154,R217,RT005,2025-12-18,2025-12-23,5,2,0,Confirmed,Travel Agent,4687.7,23438.5
B000116,C002631,R134,RT002,2027-05-28,2027-06-02,5,2,0,Cancelled,Mobile App,2839.61,14198.05
B000117,C008812,R144,RT002,2027-08-09,2027-08-18,9,1,0,Confirmed,Booking Platform,3019.9,27179.1
B000118,C007738,R190,RT004,2026-02-05,2026-02-08,3,1,1,Confirmed,Travel Agent,4746.4,14239.2
B000119,C004225,R162,RT003,2025-09-08,2025-09-20,12,1,0,Completed,Website,3136.33,37635.96
B000120,C001416,R167,RT003,2025-08-25,2025-09-02,8,1,1,Confirmed,Phone,2877.57,23020.56
B000121,C004302,R190,RT004,2027-03-11,2027-03-25,14,3,1,Completed,Mobile App,4561.94,63867.16
B000122,C005176,R181,RT003,2027-03-31,2027-04-02,2,2,0,Completed,Booking Platform,3050.39,6100.78
B000123,C005597,R134,RT002,2025-08-23,2025-09-02,10,2,1,Completed,Website,3182.62,31826.2
B000124,C007867,R119,RT001,2026-12-02,2026-12-07,5,1,0,Confirmed,Booking Platform,1654.02,8270.1
B000125,C009383,R131,RT002,2025-08-22,2025-09-02,11,2,0,Confirmed,Website,2798.95,30788.45
B000126,C004397,R200,RT004,2026-04-07,2026-04-12,5,2,1,Cancelled,Booking Platform,3266.24,16331.2
B000127,C008858,R218,RT005,2027-05-05,2027-05-08,3,2,0,Cancelled,Phone,4122.56,12367.68
B000128,C005963,R174,RT003,2026-07-05,2026-07-12,7,2,0,Confirmed,Travel Agent,2633.84,18436.88
B000129,C002185,R151,RT002,2025-11-10,2025-11-13,3,2,0,Completed,Mobile App,2312.41,6937.23
B000130,C005605,R141,RT002,2026-10-27,2026-10-30,3,2,0,Confirmed,Travel Agent,2796.97,8390.91
B000131,C007162,R132,RT002,2026-11-28,2026-11-29,1,1,0,Completed,Website,3130.37,3130.37
B000132,C004038,R121,RT002,2026-02-25,2026-02-28,3,1,0,Confirmed,Booking Platform,2426.89,7280.67
B000133,C007024,R249,RT006,2027-08-05,2027-08-06,1,2,0,Confirmed,Website,6411.85,6411.85
B000134,C005857,R106,RT001,2025-08-19,2025-08-30,11,1,2,Completed,Website,2181.69,23998.59
B000135,C005139,R159,RT003,2027-06-11,2027-06-24,13,2,0,Confirmed,Website,2719.11,35348.43
B000136,C004779,R237,RT006,2026-06-11,2026-06-19,8,2,0,Cancelled,Phone,8441.12,67528.96
B000137,C006229,R109,RT001,2025-12-28,2026-01-09,12,1,0,Cancelled,Travel Agent,1730.13,20761.56
B000138,C006505,R171,RT003,2026-08-05,2026-08-06,1,2,1,Completed,Mobile App,3340.15,3340.15
B000139,C000282,R189,RT004,2027-07-14,2027-07-20,6,1,0,Confirmed,Mobile App,4303.42,25820.52
B000140,C005786,R134,RT002,2027-07-28,2027-08-07,10,2,0,Completed,Travel Agent,3109.05,31090.5
B000141,C007807,R140,RT002,2025-11-01,2025-11-07,6,2,1,Completed,Booking Platform,2320.25,13921.5
B000142,C005451,R115,RT001,2026-07-14,2026-07-17,3,1,1,Cancelled,Website,2019.04,6057.12
B000143,C007380,R238,RT006,2025-10-06,2025-10-14,8,2,2,Confirmed,Phone,7849.42,62795.36
B000144,C009372,R233,RT005,2026-07-03,2026-07-07,4,1,0,No-show,Website,5749.0,22996.0
B000145,C004208,R104,RT001,2026-07-09,2026-07-10,1,1,1,Completed,Booking Platform,2056.07,2056.07
B000146,C003136,R230,RT005,2026-07-02,2026-07-13,11,4,1,Confirmed,Website,5534.01,60874.11
B000147,C004982,R141,RT002,2026-02-14,2026-02-21,7,1,0,Confirmed,Phone,2760.7,19324.9
B000148,C000346,R181,RT003,2026-12-29,2027-01-02,4,1,0,Completed,Website,2598.59,10394.36
B000149,C000684,R196,RT004,2026-09-24,2026-10-05,11,1,0,Cancelled,Website,4480.23,49282.53
B000150,C002915,R203,RT004,2027-02-06,2027-02-11,5,3,2,Completed,Phone,3341.74,16708.7
B000151,C007162,R137,RT002,2027-08-01,2027-08-10,9,1,0,Confirmed,Phone,3241.54,29173.86
B000152,C000550,R108,RT001,2026-09-29,2026-10-03,4,1,0,Completed,Website,1754.57,7018.28
B000153,C009689,R187,RT004,2027-06-16,2027-06-25,9,1,0,Cancelled,Phone,3540.55,31864.95
B000154,C007359,R105,RT001,2026-01-21,2026-01-25,4,1,0,Cancelled,Booking Platform,1636.47,6545.88
B000155,C008238,R115,RT001,2026-02-01,2026-02-12,11,1,1,Completed,Booking Platform,2173.47,23908.17
B000156,C008757,R182,RT003,2027-01-07,2027-01-15,8,1,0,Cancelled,Website,3188.34,25506.72
B000157,C004284,R176,RT003,2026-07-02,2026-07-12,10,2,1,No-show,Booking Platform,2557.51,25575.1
B000158,C005691,R204,RT004,2026-04-10,2026-04-16,6,2,1,Confirmed,Booking Platform,3746.98,22481.88
B000159,C009986,R236,RT006,2027-04-14,2027-04-17,3,1,0,Completed,Booking Platform,5851.03,17553.09
B000160,C001642,R105,RT001,2025-08-28,2025-09-03,6,1,0,Completed,Booking Platform,2027.72,12166.32
B000161,C008120,R240,RT006,2027-06-10,2027-06-13,3,2,0,Confirmed,Phone,6041.97,18125.91
B000162,C003981,R120,RT001,2025-10-09,2025-10-16,7,1,0,Confirmed,Booking Platform,1723.51,12064.57
B000163,C000406,R157,RT003,2025-11-13,2025-11-17,4,2,0,No-show,Booking Platform,2509.88,10039.52
B000164,C009441,R165,RT003,2026-12-09,2026-12-21,12,2,0,Completed,Booking Platform,2864.73,34376.76
B000165,C008070,R221,RT005,2025-09-03,2025-09-11,8,3,0,No-show,Travel Agent,4047.66,32381.28
B000166,C007903,R109,RT001,2027-06-29,2027-07-07,8,1,0,Cancelled,Phone,1610.79,12886.32
B000167,C006136,R225,RT005,2026-01-10,2026-01-23,13,1,1,Completed,Booking Platform,5389.05,70057.65
B000168,C001053,R208,RT004,2026-02-05,2026-02-14,9,1,2,Completed,Travel Agent,4288.17,38593.53
B000169,C007940,R207,RT004,2026-04-19,2026-04-24,5,3,0,Confirmed,Mobile App,4826.44,24132.2
B000170,C008128,R124,RT002,2026-09-19,2026-09-24,5,2,0,Confirmed,Booking Platform,2578.12,12890.6
B000171,C008327,R242,RT006,2026-11-25,2026-12-05,10,3,2,Completed,Website,5726.7,57267.0
B000172,C006223,R159,RT003,2026-05-12,2026-05-15,3,2,0,No-show,Mobile App,3419.37,10258.11
B000173,C005964,R243,RT006,2026-07-27,2026-08-03,7,3,1,Confirmed,Mobile App,7519.25,52634.75
B000174,C006531,R202,RT004,2027-04-29,2027-05-07,8,1,0,Completed,Website,3787.89,30303.12
B000175,C001057,R117,RT001,2026-04-22,2026-04-26,4,1,0,No-show,Travel Agent,1744.43,6977.72
B000176,C000441,R145,RT002,2026-04-10,2026-04-22,12,1,0,Confirmed,Mobile App,2179.58,26154.96
B000177,C002936,R149,RT002,2025-08-24,2025-08-26,2,1,1,Completed,Mobile App,2900.69,5801.38
B000178,C001656,R123,RT002,2027-06-23,2027-06-25,2,1,0,Cancelled,Phone,2931.28,5862.56
B000179,C007140,R149,RT002,2025-09-05,2025-09-06,1,1,0,Completed,Phone,2616.02,2616.02
B000180,C008184,R210,RT004,2027-01-14,2027-01-26,12,3,1,Cancelled,Booking Platform,3237.59,38851.08
B000181,C006770,R221,RT005,2027-03-29,2027-04-04,6,4,0,Confirmed,Mobile App,5064.44,30386.64
B000182,C005147,R109,RT001,2027-06-14,2027-06-20,6,1,0,No-show,Website,1876.73,11260.38
B000183,C006978,R121,RT002,2026-08-17,2026-08-28,11,2,0,Confirmed,Website,2904.63,31950.93
B000184,C002955,R185,RT003,2026-08-16,2026-08-23,7,2,0,Confirmed,Phone,2517.0,17619.0
B000185,C004252,R240,RT006,2026-09-02,2026-09-05,3,4,0,Confirmed,Website,8188.35,24565.05
B000186,C000267,R142,RT002,2025-11-24,2025-11-30,6,1,1,Confirmed,Website,2704.57,16227.42
B000187,C001505,R222,RT005,2026-07-13,2026-07-18,5,3,1,Confirmed,Phone,4279.05,21395.25
B000188,C009124,R211,RT004,2026-03-30,2026-04-10,11,1,0,Completed,Travel Agent,3476.61,38242.71
B000189,C004325,R128,RT002,2026-04-21,2026-04-29,8,1,0,Confirmed,Mobile App,2177.47,17419.76
B000190,C004904,R248,RT006,2025-10-14,2025-10-19,5,4,1,Completed,Booking Platform,6783.99,33919.95
B000191,C000085,R126,RT002,2026-05-15,2026-05-16,1,2,0,Confirmed,Website,3015.57,3015.57
B000192,C004674,R233,RT005,2026-11-09,2026-11-11,2,4,1,Completed,Mobile App,5770.13,11540.26
B000193,C006514,R158,RT003,2026-03-06,2026-03-16,10,2,0,Completed,Website,3372.66,33726.6
B000194,C007095,R113,RT001,2026-11-16,2026-11-19,3,1,0,Confirmed,Website,2075.0,6225.0
B000195,C006036,R193,RT004,2025-10-18,2025-10-21,3,1,0,Confirmed,Mobile App,3243.44,9730.32
B000196,C001675,R122,RT002,2027-05-29,2027-06-09,11,1,1,Confirmed,Website,2776.24,30538.64
B000197,C005599,R243,RT006,2026-09-23,2026-09-29,6,2,0,Completed,Phone,6186.53,37119.18
B000198,C009312,R212,RT004,2026-06-23,2026-06-25,2,3,0,Completed,Website,4048.7,8097.4
B000199,C005002,R156,RT003,2026-05-25,2026-05-27,2,2,0,Completed,Mobile App,2812.89,5625.78
B000200,C008657,R113,RT001,2026-12-09,2026-12-22,13,1,2,Completed,Website,1882.82,24476.66
B000201,C006470,R217,RT005,2026-05-02,2026-05-07,5,4,0,Completed,Booking Platform,3958.4,19792.0
B000202,C008310,R109,RT001,2026-06-03,2026-06-14,11,1,2,Completed,Mobile App,2271.62,24987.82
B000203,C009608,R122,RT002,2025-12-05,2025-12-06,1,2,0,Confirmed,Mobile App,3165.01,3165.01
B000204,C007948,R212,RT004,2025-09-08,2025-09-13,5,2,0,Completed,Booking Platform,3376.7,16883.5
B000205,C000184,R213,RT004,2026-11-15,2026-11-19,4,3,0,Confirmed,Phone,3912.0,15648.0
B000206,C007884,R114,RT001,2026-06-05,2026-06-11,6,1,1,Cancelled,Booking Platform,1621.74,9730.44
B000207,C003233,R139,RT002,2026-07-23,2026-07-28,5,2,0,Completed,Mobile App,3133.4,15667.0
B000208,C001307,R144,RT002,2026-04-23,2026-04-28,5,1,0,Confirmed,Booking Platform,2549.54,12747.7
B000209,C000828,R140,RT002,2026-10-07,2026-10-18,11,2,1,Completed,Mobile App,3236.35,35599.85
B000210,C007240,R223,RT005,2026-02-16,2026-02-28,12,4,0,Confirmed,Booking Platform,4412.44,52949.28
B000211,C005921,R243,RT006,2027-01-29,2027-02-08,10,4,0,Confirmed,Booking Platform,5879.77,58797.7
B000212,C001956,R214,RT004,2027-03-16,2027-03-26,10,1,0,Completed,Mobile App,4274.01,42740.1
B000213,C002163,R207,RT004,2026-10-05,2026-10-16,11,1,0,Cancelled,Mobile App,4855.87,53414.57
B000214,C000095,R117,RT001,2025-09-17,2025-09-18,1,1,1,Completed,Booking Platform,2328.39,2328.39
B000215,C002304,R157,RT003,2026-11-27,2026-12-11,14,2,0,Confirmed,Travel Agent,3217.96,45051.44
B000216,C008738,R229,RT005,2026-07-06,2026-07-20,14,4,0,Cancelled,Website,4995.5,69937.0
B000217,C009426,R154,RT002,2026-01-06,2026-01-15,9,1,0,Confirmed,Website,2206.38,19857.42
B000218,C004063,R243,RT006,2027-02-23,2027-02-24,1,4,0,Confirmed,Mobile App,8167.4,8167.4
B000219,C002067,R186,RT004,2027-07-31,2027-08-10,10,1,0,No-show,Booking Platform,4143.84,41438.4
B000220,C000069,R126,RT002,2025-11-20,2025-11-22,2,2,2,No-show,Travel Agent,2919.6,5839.2
B000221,C003517,R205,RT004,2026-02-20,2026-02-22,2,3,0,Confirmed,Website,4557.77,9115.54
B000222,C003469,R197,RT004,2025-12-06,2025-12-10,4,1,0,Completed,Website,3378.02,13512.08
B000223,C009611,R199,RT004,2025-12-04,2025-12-07,3,2,0,Confirmed,Mobile App,4044.2,12132.6
B000224,C000049,R108,RT001,2026-04-29,2026-04-30,1,1,0,Confirmed,Website,1551.29,1551.29
B000225,C009146,R113,RT001,2025-09-16,2025-09-18,2,1,2,Cancelled,Booking Platform,2101.45,4202.9
B000226,C001784,R146,RT002,2026-09-16,2026-09-25,9,2,1,Confirmed,Mobile App,2414.72,21732.48
B000227,C002140,R131,RT002,2027-07-18,2027-08-01,14,1,0,Completed,Travel Agent,2400.99,33613.86
B000228,C008339,R178,RT003,2026-08-16,2026-08-23,7,2,0,Cancelled,Website,3087.12,21609.84
B000229,C002929,R114,RT001,2027-01-26,2027-02-07,12,1,2,Confirmed,Phone,2126.45,25517.4
B000230,C004943,R203,RT004,2027-04-22,2027-04-26,4,2,0,Completed,Booking Platform,4293.95,17175.8
B000231,C008651,R190,RT004,2026-10-25,2026-10-30,5,2,0,Completed,Booking Platform,4002.84,20014.2
B000232,C008506,R245,RT006,2025-10-08,2025-10-19,11,4,0,Completed,Phone,5800.7,63807.7
B000233,C000366,R146,RT002,2025-12-06,2025-12-19,13,1,0,Completed,Booking Platform,2929.17,38079.21
B000234,C007829,R143,RT002,2026-02-09,2026-02-12,3,2,0,Cancelled,Booking Platform,2430.52,7291.56
B000235,C004872,R128,RT002,2025-12-26,2026-01-05,10,2,0,Confirmed,Website,2851.38,28513.8
B000236,C007899,R199,RT004,2027-01-07,2027-01-11,4,2,0,Cancelled,Phone,4672.47,18689.88
B000237,C009607,R157,RT003,2027-07-10,2027-07-17,7,1,0,Confirmed,Booking Platform,3046.34,21324.38
B000238,C000177,R116,RT001,2026-01-15,2026-01-23,8,1,1,Cancelled,Travel Agent,2100.81,16806.48
B000239,C000790,R119,RT001,2026-10-04,2026-10-09,5,1,1,Cancelled,Website,1604.12,8020.6
B000240,C001955,R236,RT006,2026-02-24,2026-03-10,14,4,0,Confirmed,Mobile App,6007.7,84107.8
B000241,C009973,R243,RT006,2027-03-18,2027-03-25,7,2,0,Cancelled,Mobile App,6868.29,48078.03
B000242,C002939,R172,RT003,2027-01-21,2027-01-23,2,1,1,Completed,Mobile App,3331.48,6662.96
B000243,C008182,R156,RT003,2027-07-17,2027-07-31,14,2,0,No-show,Website,3390.12,47461.68
B000244,C006116,R229,RT005,2025-12-05,2025-12-16,11,4,1,Completed,Travel Agent,4802.26,52824.86
B000245,C004083,R230,RT005,2025-09-21,2025-10-04,13,1,0,Cancelled,Website,5616.21,73010.73
B000246,C005972,R180,RT003,2027-04-22,2027-04-26,4,1,0,Completed,Booking Platform,3205.88,12823.52
B000247,C005757,R124,RT002,2027-07-18,2027-07-21,3,1,0,Confirmed,Booking Platform,2682.82,8048.46
B000248,C006998,R133,RT002,2026-08-19,2026-09-01,13,1,0,Completed,Travel Agent,2943.49,38265.37
B000249,C000914,R199,RT004,2025-08-28,2025-08-30,2,2,0,Cancelled,Mobile App,4425.91,8851.82
B000250,C001280,R119,RT001,2025-09-13,2025-09-26,13,1,0,Confirmed,Mobile App,2233.24,29032.12
B000251,C004300,R131,RT002,2027-04-25,2027-05-02,7,1,0,Completed,Travel Agent,3049.51,21346.57
