payment_id,booking_id,payment_method,amount_paid,payment_status,refund_amount,transaction_reference
P000028,B000028,Credit Card,52331.72,Paid,0.0,e9386f7e-51b8-482d-a53c-2c4938d09c84
P000029,B000029,Credit Card,29515.1,Paid,0.0,e2c00094-37dd-49b0-a844-e6a5a9087aec
P000030,B000030,Digital Wallet,31731.77,Paid,0.0,570a68a4-59ee-4cb0-b9ef-2d39b5c62112
P000031,B000031,Digital Wallet,59254.2,Paid,0.0,1a8a9370-4d56-4c7b-b0b1-f01d4025bc39
P000032,B000032,Debit Card,13824.05,Refunded,13824.05,727898e0-9379-4009-becd-4b1f42b3e2aa
P000033,B000033,Debit Card,32511.85,Paid,0.0,aa45feb2-7e50-4934-959d-e9acfaccedb7
P000034,B000034,Debit Card,39885.06,Paid,0.0,2a5a4fa7-f686-4c18-9407-3f9dd63fdcec
P000035,B000035,Digital Wallet,21268.62,Paid,0.0,ba7c7441-f797-4f6b-9adc-553b372c62a6
P000036,B000036,Bank Transfer,24075.48,Paid,0.0,ad96b39f-5f62-4f16-b9c7-4c07fee4bfaf
P000037,B000037,Cash,14161.32,Paid,0.0,7cf0f516-af21-4d7d-abe6-eb31bf6e07cd
P000038,B000038,Credit Card,68851.72,Refunded,68851.72,2d3ae6a3-36bf-419e-8fc7-a606d35ca59a
P000039,B000039,Credit Card,14957.36,Paid,0.0,67cf1127-f52f-4568-be90-809cceb1ac98
P000040,B000040,Cash,26369.75,Paid,0.0,69991f83-8155-4d87-aaaf-f384d138b149
P000041,B000041,Cash,23960.32,Paid,0.0,998f6fdf-7e5a-4c02-b531-99b8dcb06b68
P000042,B000042,Cash,34931.3,Paid,0.0,70f39ac9-ed6f-4578-bb8a-08a9f07113ab
P000043,B000043,Debit Card,89594.04,Paid,0.0,b2bb5f08-d92a-4aa6-8908-f61dc4bd4dbf
P000044,B000044,Debit Card,58104.48,Paid,0.0,329b5eda-0d92-48a1-977c-3f29241a6cbb
P000045,B000045,Bank Transfer,10869.56,Paid,0.0,fa038689-dc96-4b0f-8512-23b685487690
P000046,B000046,Credit Card,24759.96,Paid,0.0,70b2cbca-0117-47d9-8b25-4653ee4b7f68
P000047,B000047,Debit Card,25043.0,Paid,0.0,86fc7a39-adf6-47df-8366-ee1f9567132d
P000048,B000048,Debit Card,14061.36,Paid,0.0,b54c7615-ccc6-4d15-ab65-ec2352b9debb
P000049,B000049,Credit Card,40178.25,Refunded,40178.25,5b038496-5bcb-42f4-b8f0-123abe22df6e
P000050,B000050,Credit Card,10037.55,Refunded,10037.55,b99d3ca5-e46c-4168-a477-c0d4215e0b0f
P000051,B000051,Bank Transfer,37332.72,Paid,0.0,60e0ed76-0f32-422b-9aa1-c4b9652318da
P000052,B000052,Credit Card,52061.24,Paid,0.0,6cf771c7-e922-4101-9cde-776809619648
P000053,B000053,Debit Card,31643.4,Paid,0.0,5765cc8b-4fe0-4791-974d-71a4c881a2f3
P000054,B000054,Credit Card,26441.04,Paid,0.0,d2a75030-b735-405b-b36f-9f4ebb1858b1
P000055,B000055,Debit Card,0.0,Pending,0.0,81e74bb8-b729-4b87-bf15-4795ac0697c5
P000056,B000056,Cash,23855.76,Paid,0.0,a2fe8566-fd22-43f6-899c-fcd4dee69f14
P000057,B000057,Credit Card,9193.68,Paid,0.0,caa3b595-48de-4a1a-be24-a92ab51f9725
P000058,B000058,Debit Card,18216.12,Paid,0.0,8b8ba003-4984-4ea3-8fca-226ea5e7048d
P000059,B000059,Cash,84584.89,Paid,0.0,c4413055-478d-43c3-9b69-33311eb7c1ad
P000060,B000060,Credit Card,0.0,Failed,0.0,fa7aa029-d4dc-4270-93c3-2a5ae1c2dadd
P000061,B000061,Bank Transfer,9726.15,Paid,0.0,8532cd74-cc08-48ad-a3e2-79dab8effd42
P000062,B000062,Digital Wallet,106241.59,Paid,0.0,9ba48c86-38d3-44d2-89bc-3b36de8d9238
P000063,B000063,Credit Card,48333.45,Refunded,48333.45,213782e6-927a-4c81-9b9f-e277262cb651
P000064,B000064,Credit Card,0.0,Pending,0.0,b24139cb-f6d9-48ce-b701-bd0afccf74f1
P000065,B000065,Bank Transfer,0.0,Pending,0.0,946336ed-99b5-4bcd-9e9b-b4d0097851ef
P000066,B000066,Debit Card,33661.44,Paid,0.0,35ccb4be-21cc-4163-ae61-e321ee0f157e
P000067,B000067,Digital Wallet,31496.96,Paid,0.0,3b17da83-61b8-4047-93bc-eb4901b6ed3b
P000068,B000068,Debit Card,0.0,Failed,0.0,954b5a08-7eb9-4a36-8f34-df571d06c22b
P000069,B000069,Digital Wallet,2188.78,Paid,0.0,eef549de-29a2-4d01-a713-82789c11c041
P000070,B000070,Credit Card,50010.18,Paid,0.0,31270248-759e-4b74-8bc2-bf1aba7be6bd
P000071,B000071,Bank Transfer,32758.66,Refunded,32758.66,5cc2c4c3-00e3-46a7-9a2a-bad779bd6069
P000072,B000072,Credit Card,33112.3,Partially Refunded,20851.7,a82b9619-04ce-4080-aa9f-12db42013c54
P000073,B000073,Credit Card,3378.8,Paid,0.0,2e2fbd71-74dc-477c-9713-fe283fbb16c8
P000074,B000074,Credit Card,0.0,Pending,0.0,d59ccad5-8b52-4735-b4b7-4c3e2dc08392
P000075,B000075,Digital Wallet,17600.56,Paid,0.0,666cafd8-fe7a-4262-a308-7cb1af141cb4
P000076,B000076,Digital Wallet,0.0,Pending,0.0,b6aa621e-4498-4982-9f52-704ed9f25a44
P000077,B000077,Debit Card,34479.76,Paid,0.0,76c2909c-a954-4d40-8477-d1f87c49ee81
P000078,B000078,Credit Card,24078.0,Paid,0.0,cf8cd8be-15f2-432d-b54c-b5f31a02da76
P000079,B000079,Credit Card,0.0,Pending,0.0,f93bc050-bacf-4ae7-9cbd-a795134f5d6a
P000080,B000080,Bank Transfer,34754.72,Paid,0.0,9b71cad3-fd51-49ee-ad06-564453c462e4
P000081,B000081,Debit Card,0.0,Pending,0.0,b73bec93-2f7a-4740-bd90-c120550b2a35
P000082,B000082,Bank Transfer,32764.14,Paid,0.0,04d01282-035d-4784-823d-d89a4c69371b
P000083,B000083,Credit Card,16718.94,Partially Refunded,6495.95,3aff939b-88f5-4856-aea2-d2f72c11de43
P000084,B000084,Credit Card,47336.24,Paid,0.0,79fcb811-9db0-4d9f-8282-9008203a4156
P000085,B000085,Credit Card,0.0,Failed,0.0,42dc77a8-fa69-4a3a-b1cf-2da59de10108
P000086,B000086,Credit Card,18707.64,Paid,0.0,56e9b0f2-a02a-4c61-8219-29ea81bc1765
P000087,B000087,Bank Transfer,16159.1,Paid,0.0,7ab6005f-b6b3-42b2-bb95-2b64250fd685
P000088,B000088,Credit Card,15285.95,Paid,0.0,2d13a1a7-12e7-45f9-819c-2d7240a8f4a6
P000089,B000089,Debit Card,38928.84,Paid,0.0,b9d387fd-5d61-4cc6-9fa2-440933f06b57
P000090,B000090,Cash,26818.68,Refunded,26818.68,d39974d1-88e9-474d-887a-42e6d9e7626f
P000091,B000091,Credit Card,42970.8,Paid,0.0,66cfec02-a4fe-409b-90a5-bfa80b53fd81
P000092,B000092,Debit Card,30849.84,Paid,0.0,8800cc45-ff2a-4c35-85c0-8825cd9ffb71
P000093,B000093,Credit Card,0.0,Pending,0.0,62a89b95-b981-4a27-8741-5fe6016f3056
P000094,B000094,Cash,40016.86,Paid,0.0,071ea4fd-1b78-44e8-a8da-cf556a46e3d5
P000095,B000095,Credit Card,4688.01,Paid,0.0,914d90f9-d32f-49cf-9acb-5d1a62c176dd
P000096,B000096,Debit Card,0.0,Pending,0.0,49b7c8cf-c03c-4059-9989-bf27304800ad
P000097,B000097,Debit Card,0.0,Failed,0.0,fe756da0-b33d-4ac9-a108-1adb17f023cb
P000098,B000098,Cash,8552.68,Paid,0.0,092d5978-0c12-4ef5-bb8e-de0cef38d029
P000099,B000099,Cash,15866.37,Paid,0.0,9048b950-78d5-41ec-ae61-3f2a8a508eba
P000100,B000100,Cash,12931.12,Paid,0.0,d9513d10-ae56-4622-b5c1-74ffb125e4c7
P000101,B000101,Credit Card,8989.9,Paid,0.0,91a38544-8625-47d0-96e2-214a9eba0eae
P000102,B000102,Debit Card,6979.67,Paid,0.0,2657b577-b6bd-4995-bb0f-35a2bb5e4038
P000103,B000103,Credit Card,61740.25,Paid,0.0,7d590f0f-6377-4fbe-b91c-d31409b49fa7
P000104,B000104,Credit Card,4896.54,Partially Refunded,3314.58,aacabf40-dfbf-4315-a74d-b3b06dac64e3
P000105,B000105,Credit Card,95138.29,Refunded,95138.29,08b8482d-537e-4262-9efd-7601fffccb3f
P000106,B000106,Credit Card,1853.81,Paid,0.0,546151c7-2c01-4141-9c17-936e94c37916
P000107,B000107,Digital Wallet,0.0,Pending,0.0,26149928-24ca-4cc4-ac89-2458b863ea3e
P000108,B000108,Credit Card,6469.96,Paid,0.0,525e3350-7d3d-4749-a8a6-6a4f42b7e8c2
P000109,B000109,Debit Card,4813.6,Paid,0.0,bbc9c096-9fc5-4985-a93c-789c249b650a
P000110,B000110,Credit Card,0.0,Failed,0.0,25954414-19db-49e0-8021-62bf38f2c5bd
P000111,B000111,Bank Transfer,4834.38,Refunded,4834.38,4a8509bc-ccaf-47ac-b72a-9e30838fb82f
P000112,B000112,Bank Transfer,26094.4,Refunded,26094.4,43659819-5999-4324-b6f4-367657eb891a
P000113,B000113,Cash,44747.7,Partially Refunded,21404.12,bb8205ed-c88f-47c1-9692-66dcf10164b4
P000114,B000114,Credit Card,27820.0,Paid,0.0,2a978c48-4543-42eb-bfe4-b7dade9f2a29
P000115,B000115,Bank Transfer,23438.5,Paid,0.0,73e43fc6-e966-461d-b39f-862aa32baabb
P000116,B000116,Credit Card,14198.05,Refunded,14198.05,5195929a-4859-421f-895f-7718220fff77
P000117,B000117,Credit Card,0.0,Pending,0.0,37678ab7-3f20-4018-9168-5c460aa07fb0
P000118,B000118,Digital Wallet,14239.2,Paid,0.0,a707b9d4-97e8-4c88-b20d-e64bb5a063f8
P000119,B000119,Credit Card,37635.96,Paid,0.0,ec944b79-4559-4a34-8861-deedae32ff80
P000120,B000120,Digital Wallet,23020.56,Paid,0.0,622a52f1-fba3-4284-a78f-c9ec1f93455f
P000121,B000121,Bank Transfer,0.0,Pending,0.0,5cd2118a-76a7-4038-9c60-35c57f7d2434
P000122,B000122,Digital Wallet,6100.78,Paid,0.0,7017c8e3-30f7-4003-898f-144e7968e367
P000123,B000123,Credit Card,31826.2,Paid,0.0,e8f69866-f8d7-4bb5-bbf8-94b6561cd9b3
P000124,B000124,Debit Card,8270.1,Paid,0.0,77a2dd1d-8c7a-4537-bb4c-19cc6f150a12
P000125,B000125,Credit Card,30788.45,Paid,0.0,96b7c1b2-a5e8-484c-83ba-7df6d6e9a1b9
P000126,B000126,Credit Card,0.0,Failed,0.0,b7e8acbc-a045-4fe7-b144-9771932ebb5e
P000127,B000127,Debit Card,12367.68,Paid,0.0,a5e54776-9252-444c-a1c8-916baebdea06
P000128,B000128,Credit Card,18436.88,Paid,0.0,837cf49b-b870-44da-8f63-ca494864658b
P000129,B000129,Credit Card,6937.23,Paid,0.0,3b73c6b3-12a8-49fe-a811-79d1ada53124
P000130,B000130,Cash,8390.91,Paid,0.0,a3f46593-fb4b-49ba-91af-182e3539dfa4
P000131,B000131,Credit Card,3130.37,Paid,0.0,b4260bef-4664-4822-a255-622fd708894c
P000132,B000132,Credit Card,7280.67,Paid,0.0,b1b2bae8-ea4d-4f80-a5d2-58b9fb21aec9
P000133,B000133,Digital Wallet,6411.85,Paid,0.0,811cdf45-7b65-4d53-af8f-e47295b62a7b
P000134,B000134,Cash,23998.59,Paid,0.0,9d79c09c-e931-4b4e-9dda-ed8040a70386
P000135,B000135,Debit Card,35348.43,Paid,0.0,5f15fa35-8881-406c-b7c1-8379a0880f92
P000136,B000136,Bank Transfer,67528.96,Paid,0.0,7deec663-9a9e-41da-b70a-4ea6919fc5d9
P000137,B000137,Digital Wallet,20761.56,Partially Refunded,5827.86,615e3982-784b-400e-8101-34ca8f26664f
P000138,B000138,Debit Card,3340.15,Paid,0.0,d79dc403-46ce-4f6f-b2bf-ea66ec72b43b
P000139,B000139,Debit Card,0.0,Failed,0.0,6d9cda31-991f-42c0-9984-6c0995e80e78
P000140,B000140,Cash,31090.5,Paid,0.0,c7b96de8-9813-40c8-8ee1-f6710396ae04
P000141,B000141,Cash,13921.5,Paid,0.0,04c1c0ed-5936-4007-82ce-317741c974ed
P000142,B000142,Digital Wallet,6057.12,Paid,0.0,fe180226-91dc-4fc5-bb24-615e58ff245a
P000143,B000143,Credit Card,0.0,Pending,0.0,52547f98-f2c2-4301-ab5b-130d7f5dcbf5
P000144,B000144,Bank Transfer,0.0,Pending,0.0,94051834-541f-435e-8cc7-c040276d40a0
P000145,B000145,Digital Wallet,0.0,Pending,0.0,2ed1c18a-c7ee-4add-ae99-884c2bda2ed6
P000146,B000146,Credit Card,0.0,Pending,0.0,0c1a6c80-c530-4931-a745-674ce22e1270
P000147,B000147,Cash,19324.9,Paid,0.0,54b08aaa-e874-4f4c-8ed2-f5986f4e3fe6
P000148,B000148,Credit Card,10394.36,Paid,0.0,f3ef8351-a731-458e-bcfd-d68ccd07dfde
P000149,B000149,Bank Transfer,49282.53,Paid,0.0,ec167e39-9f33-495b-877d-f12aebbc2537
P000150,B000150,Digital Wallet,16708.7,Paid,0.0,0d5f757e-7e3a-4366-8210-1912767e90a7
P000151,B000151,Credit Card,29173.86,Refunded,29173.86,dcc431e8-0675-4d29-8b08-7e6cc5a6b655
P000152,B000152,Credit Card,7018.28,Paid,0.0,179a9ac8-e8c4-4008-b7c7-5b191e87bf13
P000153,B000153,Credit Card,31864.95,Paid,0.0,000ff56b-0734-404e-8b4f-d89595b86eb0
P000154,B000154,Credit Card,0.0,Pending,0.0,4de0c2fb-bae9-4c12-8c79-34bbad52116a
P000155,B000155,Bank Transfer,23908.17,Paid,0.0,28684e79-6d92-44db-a906-ce318ca2ba63
P000156,B000156,Debit Card,25506.72,Paid,0.0,b5974ebf-b238-40ce-8f51-a64f1071ca2d
P000157,B000157,Credit Card,25575.1,Paid,0.0,bc65325d-b18f-4da3-812d-19d758792527
P000158,B000158,Bank Transfer,22481.88,Paid,0.0,398714a3-c66c-44a0-8c94-745e8f6a4a0e
P000159,B000159,Credit Card,0.0,Pending,0.0,c6c7425b-81cf-4470-bdcc-ea63eec0b957
P000160,B000160,Digital Wallet,0.0,Failed,0.0,adf31436-386a-4d1d-9e59-602a6a1126e7
P000161,B000161,Credit Card,0.0,Failed,0.0,6b289ab7-305b-44cb-ac9d-403ff6b5f16a
P000162,B000162,Debit Card,0.0,Failed,0.0,76578ee2-8a20-4fea-a2d1-224e136de401
P000163,B000163,Digital Wallet,10039.52,Paid,0.0,97d2c6e7-d88b-47ed-943a-7ff8bec56351
P000164,B000164,Credit Card,34376.76,Paid,0.0,1e68cdb9-0600-4a09-a3a8-17ff55f6b816
P000165,B000165,Credit Card,32381.28,Paid,0.0,67640db9-c9a1-47f7-8825-d2f8cd9ab2be
P000166,B000166,Credit Card,12886.32,Paid,0.0,66a19909-6763-46bc-86d0-13c909b360bb
P000167,B000167,Debit Card,70057.65,Paid,0.0,4ca8e408-ba5a-4af0-9acf-2b0cb7f035a0
P000168,B000168,Digital Wallet,38593.53,Paid,0.0,642ff50b-8ce7-49ef-84ee-9afe065c0860
P000169,B000169,Debit Card,24132.2,Paid,0.0,1ccc3d45-ee24-4029-a5c8-b2799297b890
P000170,B000170,Debit Card,12890.6,Paid,0.0,1958888f-e821-45af-a493-dd8cab1ebe22
P000171,B000171,Digital Wallet,57267.0,Paid,0.0,8ef31dad-ec8b-42d3-b8b3-38b967005d9d
P000172,B000172,Digital Wallet,10258.11,Paid,0.0,af16e970-c3c3-4a0b-86ec-136147b3c36a
P000173,B000173,Credit Card,52634.75,Paid,0.0,e91c6098-f97c-4c86-8d09-3e16f9ae86f7
P000174,B000174,Cash,30303.12,Paid,0.0,cbdb8a1f-6d6f-499a-b0f3-671fbc7401e8
P000175,B000175,Digital Wallet,6977.72,Paid,0.0,421f097c-e299-4045-84b5-a8aba4bc0626
P000176,B000176,Debit Card,26154.96,Paid,0.0,106194dc-1c00-4718-a3f3-7f8e47d5bb3a
P000177,B000177,Debit Card,5801.38,Paid,0.0,709065e9-cf61-4655-a8a9-851c2a3b7224
P000178,B000178,Bank Transfer,5862.56,Paid,0.0,957d9e3f-d5be-4d12-853e-b6b7e138a17e
P000179,B000179,Digital Wallet,2616.02,Refunded,2616.02,3e4080f3-2ab5-4544-8b9e-42a6628c119a
P000180,B000180,Digital Wallet,38851.08,Paid,0.0,e5f02528-3432-4071-9d8e-cca20663fd0f
P000181,B000181,Credit Card,30386.64,Paid,0.0,b3ef1efc-b4dd-4b05-9b4a-04a1b803b072
P000182,B000182,Credit Card,11260.38,Paid,0.0,792a4013-3ff5-4dbb-9555-425d1fb5a125
P000183,B000183,Credit Card,31950.93,Paid,0.0,f4c199c1-9fb7-47c8-8504-48b46f39bc48
P000184,B000184,Credit Card,0.0,Pending,0.0,211eab4b-6165-40ce-a9e4-6c40d017ce1f
P000185,B000185,Credit Card,24565.05,Paid,0.0,530be537-eb1f-4b91-a0f7-4118dbd96974
P000186,B000186,Credit Card,0.0,Failed,0.0,6792c45f-99ba-4c7b-a9ad-d29a5fb17851
P000187,B000187,Debit Card,21395.25,Paid,0.0,68a05e25-eefa-4df0-aa23-f3f75ad9f8ab
P000188,B000188,Bank Transfer,38242.71,Paid,0.0,59e17bb2-e8e0-4628-bb0a-7d9b6912dba8
P000189,B000189,Credit Card,0.0,Pending,0.0,ce4bb0f5-a5f8-4d2b-9b7d-489c78d96417
P000190,B000190,Digital Wallet,0.0,Failed,0.0,ae3a76d7-36bd-4c75-a692-ceb29a3b5951
P000191,B000191,Cash,3015.57,Paid,0.0,3600baf2-61bf-420b-a2ac-1427689da817
P000192,B000192,Digital Wallet,11540.26,Paid,0.0,52efe48e-9608-488f-957c-37bdf268d3e1
P000193,B000193,Credit Card,33726.6,Paid,0.0,deb94bce-0dec-47f6-9d23-9e2fb071479c
P000194,B000194,Debit Card,6225.0,Paid,0.0,9692fd50-29c7-415b-ab82-e6a4d5b04b94
P000195,B000195,Credit Card,9730.32,Paid,0.0,659ac46e-d25a-4151-baab-34a7ff4e17cf
P000196,B000196,Digital Wallet,30538.64,Paid,0.0,8c42679a-6571-43b8-994c-85f47f38c0f1
P000197,B000197,Cash,37119.18,Paid,0.0,5096aaa1-ecd9-4eee-97bb-57e8d2f3fb46
P000198,B000198,Digital Wallet,8097.4,Paid,0.0,b08f840e-4aa2-4806-99f4-2aaf2244dff9
P000199,B000199,Debit Card,0.0,Failed,0.0,86e58a05-f333-4476-b1ea-58be525ac1a7
P000200,B000200,Cash,24476.66,Paid,0.0,99a13472-968c-4a90-ab07-a49b1205c8e8
P000201,B000201,Debit Card,19792.0,Paid,0.0,831b9a1b-e7b6-489c-9d31-32c986253248
P000202,B000202,Digital Wallet,0.0,Pending,0.0,858f58eb-04de-4c33-9f7f-3f7e71f0e412
P000203,B000203,Bank Transfer,3165.01,Paid,0.0,5735f1b2-8190-46e8-b5be-d68a88aacf1d
P000204,B000204,Credit Card,16883.5,Paid,0.0,ac405335-e645-4a34-9e9c-34e4ad2c3a9a
P000205,B000205,Bank Transfer,15648.0,Paid,0.0,fd00a07d-1283-47a1-a482-1ba87fc6d9c1
P000206,B000206,Bank Transfer,9730.44,Paid,0.0,4c84af19-1337-4d59-8fc4-78d6c6dc7de6
P000207,B000207,Debit Card,0.0,Pending,0.0,abadb696-a0c1-4077-937a-d105e7fb1069
P000208,B000208,Cash,12747.7,Paid,0.0,268b6db9-c5ce-4b1e-927e-fdcfa5aa702b
P000209,B000209,Digital Wallet,35599.85,Paid,0.0,e2eea0d7-9056-4312-883c-22429f24eeda
P000210,B000210,Credit Card,52949.28,Paid,0.0,69ca4f2e-e7e8-4a9e-b6c1-af7887e2927d
P000211,B000211,Debit Card,58797.7,Paid,0.0,6c5adf4b-fda9-4b49-8cc3-86b7ff7a5d1a
P000212,B000212,Credit Card,42740.1,Partially Refunded,9880.79,368bd36b-9899-40e9-85d4-1d15b90964e2
P000213,B000213,Debit Card,53414.57,Paid,0.0,10a209a2-0fec-4bb6-b55b-a909e10bfe48
P000214,B000214,Cash,2328.39,Paid,0.0,11818eb4-a520-4d3c-8737-7eeccd75570f
P000215,B000215,Cash,45051.44,Paid,0.0,7f2f3073-a3b6-43cd-b492-c10ffed757b2
P000216,B000216,Bank Transfer,0.0,Failed,0.0,9ac28f2f-ba35-4ffc-98d8-c056ee488c1e
P000217,B000217,Cash,0.0,Failed,0.0,e5b763a7-0d43-434f-848a-eb7b51e7e69d
P000218,B000218,Credit Card,0.0,Pending,0.0,372dc67c-6181-44ea-975e-4cb0a15533a1
P000219,B000219,Credit Card,0.0,Failed,0.0,84d76dfd-0b91-494f-bd6d-c6bf98053ffa
P000220,B000220,Digital Wallet,5839.2,Paid,0.0,9be93b40-f7a6-4097-a47c-6b25cc755c47
P000221,B000221,Credit Card,9115.54,Refunded,9115.54,13a5da46-c46b-4aca-acd8-fe6f4408ba2c
P000222,B000222,Credit Card,13512.08,Refunded,13512.08,410884f7-9881-4fe6-bd79-ca49ed0b1baf
P000223,B000223,Debit Card,12132.6,Paid,0.0,87830389-64d3-4236-8995-f955a34534ff
P000224,B000224,Cash,1551.29,Refunded,1551.29,c2e26ee4-64d3-453b-8cad-1cc8d41b7274
P000225,B000225,Credit Card,4202.9,Paid,0.0,74df989a-d61d-4876-9921-c22305f80a65
P000226,B000226,Cash,21732.48,Paid,0.0,310cf36c-00c5-4d07-b998-ff46d06c542c
P000227,B000227,Credit Card,0.0,Pending,0.0,953fc278-777a-4377-9d2a-db2b8939b588
P000228,B000228,Digital Wallet,21609.84,Paid,0.0,0532c390-9118-409e-a387-f84056e4675b
P000229,B000229,Digital Wallet,25517.4,Paid,0.0,5e8b0686-d24a-4493-9a60-94cf43e6bed5
P000230,B000230,Credit Card,17175.8,Paid,0.0,327590d9-2f9c-4261-a0e2-d5181e093bd6
P000231,B000231,Credit Card,20014.2,Paid,0.0,c4db2423-a995-496d-9a4a-5ae4a9ac9af8
P000232,B000232,Credit Card,63807.7,Paid,0.0,f932fdc3-3ae5-4d98-91ee-61ca7ef0d977
P000233,B000233,Debit Card,38079.21,Paid,0.0,28fd216e-1da3-483a-bbbf-783dcece70ba
P000234,B000234,Debit Card,7291.56,Paid,0.0,99215fe4-2271-41bf-9704-b724a48a1f0d
P000235,B000235,Credit Card,28513.8,Paid,0.0,c66b26e9-8d88-47c4-b5d3-ef6a27abb786
P000236,B000236,Credit Card,0.0,Failed,0.0,cd312da0-0504-4cac-9169-446e419e27e4
P000237,B000237,Debit Card,21324.38,Paid,0.0,042f2d39-b95f-42a4-99e7-ed82e8e25292
P000238,B000238,Credit Card,16806.48,Paid,0.0,8d4bcbb0-53fa-42a2-8c07-525ae27bdba7
P000239,B000239,Debit Card,8020.6,Paid,0.0,79251c2a-52f6-4d76-8272-9a6654e3635f
P000240,B000240,Cash,84107.8,Paid,0.0,b0748c76-62c1-43bf-b6b6-f1784142c4b8
P000241,B000241,Credit Card,48078.03,Partially Refunded,23773.59,77471956-a83d-4f4c-8471-83db1cfe846d
P000242,B000242,Cash,6662.96,Paid,0.0,e5f5c8a3-f1c8-4a6a-9e55-117fd16f7d81
P000243,B000243,Digital Wallet,47461.68,Paid,0.0,8b1b4ad4-8037-4e4f-9cb3-727fa7471ba0
P000244,B000244,Credit Card,52824.86,Paid,0.0,b10543f1-5774-4928-b6a6-c60e28fa888b
P000245,B000245,Credit Card,73010.73,Paid,0.0,6f601b3b-ad82-422e-9cb8-b6385e630d71
P000246,B000246,Cash,12823.52,Paid,0.0,04a22154-0b5d-4922-91d9-87586ee47186
P000247,B000247,Credit Card,8048.46,Paid,0.0,e43abffc-da5e-481f-a2f6-01fc8c55b4ca
P000248,B000248,Debit Card,38265.37,Paid,0.0,ee4e6dae-632b-49da-a3cf-56a8ade4e356
P000249,B000249,Credit Card,8851.82,Paid,0.0,27e94fd8-ba59-47b5-b02e-b7ac1d8bb71b
P000250,B000250,Credit Card,0.0,Pending,0.0,d84413d6-37d2-4f89-a8a2-177761a68b7f
P000251,B000251,Credit Card,21346.57,Partially Refunded,8578.91,a10d0bc0-106c-4e3a-9a6c-a77a00d2d4ed
P000252,B000252,Credit Card,6248.4,Paid,0.0,ec95dac1-8583-49b9-bd29-c7261754b23a
P000253,B000253,Debit Card,9945.4,Paid,0.0,3ea33928-b175-4c89-adbe-8b08f0e48a92
P000254,B000254,Digital Wallet,14748.79,Paid,0.0,fd0fb7bc-6046-47cc-a7c1-4bd9eea51018
