feedback_id,customer_id,booking_id,feedback_category,rating,sentiment,feedback_text,feedback_channel,would_recommend
FB000118,C003655,B010719,Location,2,Negative,The room was not clean enough.,Website,No
FB000119,C007433,B007572,Location,5,Positive,Very good service and friendly staff.,Mobile App,Yes
FB000120,C009431,B003571,Payment,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000121,C007455,B008603,Overall Experience,3,Neutral,The stay was okay but there is room for improvement.,Email,Maybe
FB000122,C003048,B003560,Overall Experience,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000123,C003178,B004992,Staff,5,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000124,C002734,B007440,Location,5,Positive,The room was clean and comfortable.,In-Hotel,Yes
FB000125,C009101,B009326,Room,5,Positive,The room was clean and comfortable.,Website,Yes
FB000126,C005866,B002301,Food,5,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000127,C002817,B007667,Food,4,Positive,"Great experience, I would definitely stay again.",Mobile App,Yes
FB000128,C005520,B005805,Service,4,Positive,Excellent experience and very helpful staff.,Website,Yes
FB000129,C003736,B012023,Location,5,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000130,C002127,B015538,Location,4,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000131,C008364,B009758,Food,4,Positive,"Great experience, I would definitely stay again.",Mobile App,Yes
FB000132,C007733,B012015,Location,3,Neutral,"Everything was fine, but nothing exceptional.",Mobile App,Maybe
FB000133,C009789,B005212,Staff,5,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000134,C003596,B011549,Facilities,2,Negative,The overall experience was disappointing.,In-Hotel,No
FB000135,C006814,B012367,Cleanliness,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000136,C000330,B009271,Overall Experience,4,Positive,Very good service and friendly staff.,Survey,Yes
FB000137,C008528,B003976,Payment,2,Negative,The room was not clean enough.,Mobile App,No
FB000138,C002560,B016091,Service,4,Positive,Very good service and friendly staff.,Email,Yes
FB000139,C001952,B017233,Facilities,1,Negative,There were some issues during the stay.,Survey,No
FB000140,C003813,B017444,Food,5,Positive,Very good service and friendly staff.,Email,Yes
FB000141,C007831,B013657,Overall Experience,5,Positive,Very good service and friendly staff.,Survey,Yes
FB000142,C005898,B015646,Location,5,Positive,Everything was well organized and enjoyable.,Website,Yes
FB000143,C000914,B002731,Payment,2,Negative,The service was slower than expected.,Survey,No
FB000144,C002503,B003299,Location,2,Negative,The overall experience was disappointing.,Survey,No
FB000145,C002795,B008957,Room,5,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000146,C005439,B017411,Room,5,Positive,"Great experience, I would definitely stay again.",Email,Yes
FB000147,C009212,B015156,Payment,4,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000148,C003468,B017277,Payment,4,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000149,C003570,B006704,Food,4,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000150,C008059,B001969,Payment,5,Positive,The room was clean and comfortable.,Website,Yes
FB000151,C005839,B004937,Staff,4,Positive,Very good service and friendly staff.,Website,Yes
FB000152,C006194,B002113,Location,3,Neutral,The stay was okay but there is room for improvement.,Mobile App,Maybe
FB000153,C001839,B000879,Facilities,3,Neutral,"Everything was fine, but nothing exceptional.",Survey,Maybe
FB000154,C009935,B019076,Booking,5,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000155,C006377,B012990,Payment,1,Negative,The room was not clean enough.,Survey,No
FB000156,C001907,B007278,Service,4,Positive,Everything was well organized and enjoyable.,Survey,Yes
FB000157,C003361,B005710,Room,4,Positive,"Great experience, I would definitely stay again.",Website,Yes
FB000158,C002194,B012079,Staff,3,Neutral,"Everything was fine, but nothing exceptional.",Email,Maybe
FB000159,C006619,B006688,Overall Experience,2,Negative,There were some issues during the stay.,In-Hotel,No
FB000160,C003173,B006419,Booking,5,Positive,The room was clean and comfortable.,Email,Yes
FB000161,C001389,B010432,Facilities,5,Positive,Everything was well organized and enjoyable.,Email,Yes
FB000162,C000918,B009983,Booking,5,Positive,Excellent experience and very helpful staff.,Website,Yes
FB000163,C000671,B019074,Payment,5,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000164,C006861,B004630,Food,4,Positive,The room was clean and comfortable.,Survey,Yes
FB000165,C007448,B008863,Room,5,Positive,The room was clean and comfortable.,Website,Yes
FB000166,C003610,B004668,Room,4,Positive,"Great experience, I would definitely stay again.",Website,Yes
FB000167,C002268,B014164,Overall Experience,5,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000168,C003331,B000386,Food,5,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000169,C009435,B004187,Location,3,Neutral,"Everything was fine, but nothing exceptional.",Website,Maybe
FB000170,C008354,B005346,Cleanliness,4,Positive,The room was clean and comfortable.,Email,Yes
FB000171,C005994,B002196,Staff,4,Positive,The room was clean and comfortable.,Email,Yes
FB000172,C000755,B014991,Room,3,Neutral,The stay was okay but there is room for improvement.,Survey,Maybe
FB000173,C002144,B012635,Service,2,Negative,The overall experience was disappointing.,Website,No
FB000174,C006004,B001078,Room,5,Positive,The room was clean and comfortable.,Survey,Yes
FB000175,C005785,B006287,Booking,5,Positive,The room was clean and comfortable.,Website,Yes
FB000176,C004867,B005934,Room,4,Positive,"Great experience, I would definitely stay again.",In-Hotel,Yes
FB000177,C006880,B018513,Room,2,Negative,The staff could have been more helpful.,Website,No
FB000178,C009118,B019718,Cleanliness,2,Negative,The room was not clean enough.,Mobile App,No
FB000179,C000297,B013364,Cleanliness,5,Positive,"Great experience, I would definitely stay again.",Email,Yes
FB000180,C002413,B008073,Facilities,4,Positive,"Great experience, I would definitely stay again.",In-Hotel,Yes
FB000181,C007675,B017021,Location,4,Positive,The room was clean and comfortable.,Email,Yes
FB000182,C006740,B009544,Service,4,Positive,The room was clean and comfortable.,Survey,Yes
FB000183,C005689,B019095,Room,4,Positive,Excellent experience and very helpful staff.,In-Hotel,Yes
FB000184,C007020,B013356,Room,4,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000185,C002890,B018632,Staff,5,Positive,Everything was well organized and enjoyable.,Email,Yes
FB000186,C007954,B002849,Cleanliness,4,Positive,The room was clean and comfortable.,Website,Yes
FB000187,C002777,B012792,Service,5,Positive,The room was clean and comfortable.,Website,Yes
FB000188,C000210,B007723,Overall Experience,4,Positive,Everything was well organized and enjoyable.,Website,Yes
FB000189,C002899,B000813,Facilities,5,Positive,Excellent experience and very helpful staff.,In-Hotel,Yes
FB000190,C006778,B011194,Location,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000191,C001988,B005136,Food,2,Negative,The overall experience was disappointing.,Mobile App,No
FB000192,C004773,B008511,Location,4,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000193,C004853,B007435,Booking,3,Neutral,The service was average.,Email,Maybe
FB000194,C003508,B016477,Room,5,Positive,"Great experience, I would definitely stay again.",In-Hotel,Yes
FB000195,C002128,B000937,Facilities,4,Positive,The room was clean and comfortable.,Website,Yes
FB000196,C006805,B011966,Booking,5,Positive,"Great experience, I would definitely stay again.",Email,Yes
FB000197,C006457,B001693,Service,2,Negative,The room was not clean enough.,Mobile App,No
FB000198,C003291,B006217,Food,5,Positive,Excellent experience and very helpful staff.,Website,Yes
FB000199,C004790,B009460,Cleanliness,5,Positive,Everything was well organized and enjoyable.,In-Hotel,Yes
FB000200,C003921,B012528,Facilities,5,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000201,C006235,B015485,Facilities,4,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000202,C003642,B005793,Room,4,Positive,Excellent experience and very helpful staff.,Mobile App,Yes
FB000203,C003818,B012267,Payment,5,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000204,C008340,B002222,Facilities,3,Neutral,The service was average.,Mobile App,Maybe
FB000205,C001571,B015758,Staff,3,Neutral,The experience was acceptable overall.,Website,Maybe
FB000206,C008098,B004694,Food,4,Positive,Everything was well organized and enjoyable.,In-Hotel,Yes
FB000207,C001175,B010109,Food,4,Positive,Very good service and friendly staff.,Email,Yes
FB000208,C004527,B005108,Staff,3,Neutral,Overall experience was satisfactory.,Website,Maybe
FB000209,C007412,B013481,Overall Experience,3,Neutral,The stay was okay but there is room for improvement.,In-Hotel,Maybe
FB000210,C007146,B004746,Staff,3,Neutral,The experience was acceptable overall.,Email,Maybe
FB000211,C002494,B001605,Staff,5,Positive,Very good service and friendly staff.,Mobile App,Yes
FB000212,C001910,B017396,Food,5,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000213,C009425,B016864,Location,5,Positive,Excellent experience and very helpful staff.,Mobile App,Yes
FB000214,C008198,B008214,Food,5,Positive,"Great experience, I would definitely stay again.",In-Hotel,Yes
FB000215,C007114,B001093,Payment,4,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000216,C000303,B013885,Room,2,Negative,There were some issues during the stay.,Mobile App,No
FB000217,C007369,B006312,Booking,1,Negative,The overall experience was disappointing.,Mobile App,No
FB000218,C006630,B009013,Location,3,Neutral,"Everything was fine, but nothing exceptional.",Mobile App,Maybe
FB000219,C000622,B000352,Cleanliness,5,Positive,Very good service and friendly staff.,Website,Yes
FB000220,C005717,B014783,Booking,4,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000221,C004853,B001531,Room,3,Neutral,Overall experience was satisfactory.,Mobile App,Maybe
FB000222,C002164,B013592,Payment,4,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000223,C005875,B015216,Payment,4,Positive,Very good service and friendly staff.,Website,Yes
FB000224,C009044,B011541,Cleanliness,5,Positive,"Great experience, I would definitely stay again.",Website,Yes
FB000225,C002067,B000219,Location,3,Neutral,The stay was okay but there is room for improvement.,Survey,Maybe
FB000226,C008605,B006814,Overall Experience,5,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000227,C009347,B005358,Staff,4,Positive,"Great experience, I would definitely stay again.",Mobile App,Yes
FB000228,C004964,B015730,Location,3,Neutral,The service was average.,In-Hotel,Maybe
FB000229,C006948,B013044,Overall Experience,5,Positive,Excellent experience and very helpful staff.,Website,Yes
FB000230,C002223,B001454,Payment,2,Negative,The room was not clean enough.,Website,No
FB000231,C000449,B014933,Food,5,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000232,C006436,B004741,Room,5,Positive,The room was clean and comfortable.,Email,Yes
FB000233,C003207,B002815,Cleanliness,5,Positive,Excellent experience and very helpful staff.,Website,Yes
FB000234,C003182,B007887,Room,5,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000235,C001785,B004974,Service,4,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000236,C005750,B001183,Service,5,Positive,Very good service and friendly staff.,Email,Yes
FB000237,C000391,B010036,Location,4,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000238,C002541,B003948,Payment,5,Positive,"Great experience, I would definitely stay again.",Website,Yes
FB000239,C001185,B003190,Payment,5,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000240,C002138,B014481,Staff,5,Positive,"Great experience, I would definitely stay again.",In-Hotel,Yes
FB000241,C003691,B019827,Staff,5,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000242,C001266,B009624,Staff,4,Positive,Excellent experience and very helpful staff.,Mobile App,Yes
FB000243,C000806,B001007,Food,5,Positive,Everything was well organized and enjoyable.,In-Hotel,Yes
FB000244,C002203,B002326,Booking,4,Positive,Everything was well organized and enjoyable.,In-Hotel,Yes
FB000245,C008241,B010646,Facilities,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000246,C000756,B019524,Booking,5,Positive,The room was clean and comfortable.,In-Hotel,Yes
FB000247,C007716,B017726,Room,4,Positive,Everything was well organized and enjoyable.,Website,Yes
FB000248,C000478,B005744,Booking,4,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000249,C009730,B012681,Food,4,Positive,Very good service and friendly staff.,Email,Yes
FB000250,C008121,B014584,Room,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000251,C002344,B019258,Booking,4,Positive,Everything was well organized and enjoyable.,Website,Yes
FB000252,C007917,B011882,Food,4,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000253,C004874,B001028,Facilities,4,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000254,C003073,B004070,Booking,5,Positive,The room was clean and comfortable.,Email,Yes
FB000255,C008572,B018573,Food,4,Positive,Everything was well organized and enjoyable.,Email,Yes
FB000256,C006696,B014653,Staff,2,Negative,The staff could have been more helpful.,Email,No
FB000257,C004845,B006651,Payment,3,Neutral,The experience was acceptable overall.,Survey,Maybe
FB000258,C003688,B015784,Staff,2,Negative,The overall experience was disappointing.,Mobile App,No
FB000259,C006837,B017649,Payment,4,Positive,The room was clean and comfortable.,In-Hotel,Yes
FB000260,C009971,B004623,Cleanliness,2,Negative,The staff could have been more helpful.,In-Hotel,No
FB000261,C006450,B010386,Cleanliness,2,Negative,The staff could have been more helpful.,Mobile App,No
FB000262,C006048,B013671,Cleanliness,5,Positive,Very good service and friendly staff.,Website,Yes
FB000263,C004522,B014047,Facilities,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000264,C008571,B001963,Staff,4,Positive,"Great experience, I would definitely stay again.",Email,Yes
FB000265,C009407,B019875,Payment,5,Positive,The room was clean and comfortable.,Email,Yes
FB000266,C000133,B001600,Food,1,Negative,The room was not clean enough.,Mobile App,No
FB000267,C001618,B009676,Room,4,Positive,Excellent experience and very helpful staff.,Mobile App,Yes
FB000268,C006429,B010953,Food,4,Positive,"Great experience, I would definitely stay again.",In-Hotel,Yes
FB000269,C003378,B004334,Room,4,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000270,C003154,B012100,Service,4,Positive,Very good service and friendly staff.,Survey,Yes
FB000271,C004452,B006956,Food,4,Positive,Very good service and friendly staff.,Survey,Yes
FB000272,C007276,B018822,Booking,4,Positive,Very good service and friendly staff.,Email,Yes
FB000273,C008644,B008546,Booking,5,Positive,Very good service and friendly staff.,Survey,Yes
FB000274,C005126,B015975,Location,3,Neutral,Overall experience was satisfactory.,Survey,Maybe
FB000275,C004314,B013723,Staff,3,Neutral,"Everything was fine, but nothing exceptional.",Website,Maybe
FB000276,C009091,B000696,Room,3,Neutral,The stay was okay but there is room for improvement.,Mobile App,Maybe
FB000277,C002788,B015631,Room,3,Neutral,The service was average.,In-Hotel,Maybe
FB000278,C008913,B013590,Staff,4,Positive,Everything was well organized and enjoyable.,Survey,Yes
FB000279,C009792,B014522,Facilities,2,Negative,The room was not clean enough.,In-Hotel,No
FB000280,C009607,B019918,Location,5,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000281,C007423,B009771,Facilities,3,Neutral,"Everything was fine, but nothing exceptional.",Survey,Maybe
FB000282,C004591,B013378,Facilities,3,Neutral,The service was average.,Email,Maybe
FB000283,C001706,B001035,Facilities,5,Positive,Very good service and friendly staff.,Website,Yes
FB000284,C007150,B010843,Staff,1,Negative,The staff could have been more helpful.,Mobile App,No
FB000285,C009155,B016593,Facilities,4,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000286,C005485,B010422,Booking,5,Positive,Very good service and friendly staff.,Email,Yes
FB000287,C007681,B010980,Cleanliness,3,Neutral,"Everything was fine, but nothing exceptional.",Email,Maybe
FB000288,C002297,B002128,Service,1,Negative,The staff could have been more helpful.,Mobile App,No
FB000289,C004214,B012188,Room,4,Positive,Excellent experience and very helpful staff.,Mobile App,Yes
FB000290,C006314,B005971,Room,2,Negative,The room was not clean enough.,Website,No
FB000291,C005436,B013226,Service,2,Negative,The service was slower than expected.,Survey,No
FB000292,C008467,B000994,Staff,3,Neutral,The service was average.,Website,Maybe
FB000293,C002991,B015085,Food,3,Neutral,The service was average.,Mobile App,Maybe
FB000294,C004769,B014846,Staff,4,Positive,Everything was well organized and enjoyable.,Survey,Yes
FB000295,C005126,B014946,Room,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000296,C007301,B000448,Room,4,Positive,Very good service and friendly staff.,Website,Yes
FB000297,C006015,B017278,Service,3,Neutral,The stay was okay but there is room for improvement.,Website,Maybe
FB000298,C001353,B005454,Facilities,3,Neutral,The service was average.,Website,Maybe
FB000299,C001840,B003212,Staff,5,Positive,Everything was well organized and enjoyable.,Survey,Yes
FB000300,C003013,B005562,Payment,4,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000301,C007912,B018912,Service,5,Positive,Everything was well organized and enjoyable.,In-Hotel,Yes
FB000302,C003146,B003211,Booking,4,Positive,Very good service and friendly staff.,Mobile App,Yes
FB000303,C003285,B013814,Room,4,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000304,C001573,B008967,Service,4,Positive,Everything was well organized and enjoyable.,Email,Yes
FB000305,C007010,B017654,Staff,4,Positive,The room was clean and comfortable.,In-Hotel,Yes
FB000306,C008852,B010650,Room,4,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000307,C009788,B019715,Food,4,Positive,Very good service and friendly staff.,Survey,Yes
