request_id,customer_id,booking_id,request_type,request_text,request_status,created_at
REQ000053,C007487,B018381,Extra Bed,I need an additional bed in my room.,In Progress,2026-06-04 15:08:40
REQ000054,C002994,B005786,Extra Bed,Is it possible to add an extra bed?,Closed,2026-03-04 14:13:51
REQ000055,C006094,,Cancellation Request,Can I cancel my reservation?,Resolved,2025-09-09 05:54:11
REQ000056,C001518,B006402,Housekeeping,I need housekeeping service.,Closed,2025-10-17 21:12:34
REQ000057,C007703,,Late Checkout,I want to check out later.,Resolved,2026-01-12 11:12:45
REQ000058,C008722,B018424,Room Service,Can I order food to my room?,Resolved,2025-10-13 19:50:42
REQ000059,C002409,B006541,Cancellation Request,I need to cancel my hotel reservation.,Open,2026-05-02 09:55:45
REQ000060,C007093,B005163,Late Checkout,I want to check out later.,Resolved,2026-04-07 21:04:09
REQ000061,C007636,B007264,Complaint,I have a problem with my room.,Resolved,2025-10-19 09:13:55
REQ000062,C009583,,Late Checkout,Can I have a late checkout?,Open,2026-01-30 17:44:28
REQ000063,C006280,B016167,Booking Inquiry,Do you have any rooms available for my dates?,Resolved,2026-04-25 04:18:47
REQ000064,C004218,B018736,Housekeeping,My room needs cleaning.,Closed,2026-02-22 09:24:45
REQ000065,C004622,,General Inquiry,I have a question about the hotel.,Closed,2026-06-04 03:59:23
REQ000066,C001146,,Booking Inquiry,Do you have any rooms available for my dates?,Closed,2026-07-27 07:23:38
REQ000067,C008812,B009228,Early Check-in,I would like to arrive before the check-in time.,Resolved,2025-08-25 07:00:26
REQ000068,C005651,,Booking Inquiry,I want to know if you have available rooms.,Resolved,2025-12-06 22:51:14
REQ000069,C000873,B005156,Booking Inquiry,I want to know if you have available rooms.,Closed,2025-08-19 20:36:46
REQ000070,C007684,,Extra Bed,Is it possible to add an extra bed?,In Progress,2026-01-28 13:53:50
REQ000071,C002931,B013347,Early Check-in,Is early check-in available?,Open,2025-10-09 10:10:29
REQ000072,C009628,,Extra Bed,Can I request an extra bed?,Resolved,2025-11-20 09:52:36
REQ000073,C009095,,Airport Transfer,Do you provide airport transportation?,Resolved,2025-08-27 09:08:25
REQ000074,C006544,B006744,Room Service,Can I order food to my room?,Resolved,2025-10-04 19:26:24
REQ000075,C007526,B015299,Cancellation Request,I want to cancel my booking.,In Progress,2026-07-08 07:13:38
REQ000076,C004665,,Housekeeping,Can someone clean my room?,Resolved,2026-01-12 17:56:49
REQ000077,C009587,,Booking Inquiry,I would like information about room availability.,In Progress,2026-05-29 00:15:53
REQ000078,C005071,B012672,Complaint,I want to make a complaint.,Closed,2025-08-26 04:58:44
REQ000079,C001797,B004949,Late Checkout,Is late checkout available?,Resolved,2025-09-18 04:10:24
REQ000080,C002164,B013592,Modification Request,I want to change my check-in date.,Resolved,2026-06-21 14:14:11
REQ000081,C006210,,Payment Inquiry,I want to know my payment status.,In Progress,2025-12-01 04:41:52
REQ000082,C007998,B009433,Early Check-in,Is early check-in available?,Resolved,2026-03-31 09:43:18
REQ000083,C003511,,Late Checkout,Is late checkout available?,Resolved,2025-08-16 15:03:01
REQ000084,C006515,,Late Checkout,Is late checkout available?,Resolved,2025-11-10 01:47:21
REQ000085,C006772,B016953,Modification Request,I want to change my check-in date.,Resolved,2025-11-02 15:47:12
REQ000086,C009049,B019858,General Inquiry,Can you provide more information?,Closed,2025-10-10 01:32:12
REQ000087,C006524,B008321,Early Check-in,Can I check in early?,In Progress,2026-03-25 08:00:53
REQ000088,C000356,B012257,Airport Transfer,Can you arrange airport pickup?,Closed,2026-03-03 00:06:00
REQ000089,C006729,B005569,Early Check-in,Can I check in early?,Closed,2026-03-31 21:43:57
REQ000090,C009772,,Booking Inquiry,I would like information about room availability.,Resolved,2026-06-11 15:35:23
REQ000091,C005149,,Late Checkout,I want to check out later.,Closed,2026-06-19 22:12:15
REQ000092,C008078,B007953,Booking Inquiry,I would like information about room availability.,Closed,2026-05-05 03:28:29
REQ000093,C005527,B006684,Payment Inquiry,Can you check my payment?,Closed,2026-04-09 20:53:47
REQ000094,C000679,B006490,Housekeeping,My room needs cleaning.,Closed,2025-09-13 08:07:29
REQ000095,C005509,,Early Check-in,Can I check in early?,Resolved,2025-10-04 03:55:36
REQ000096,C003726,B002096,Airport Transfer,Can you arrange airport pickup?,Closed,2026-02-05 21:45:46
REQ000097,C002115,,Cancellation Request,I want to cancel my booking.,In Progress,2026-07-06 10:18:22
REQ000098,C007117,,Room Service,I would like to order room service.,Resolved,2026-05-04 10:45:13
REQ000099,C004650,B004943,Extra Bed,Is it possible to add an extra bed?,Closed,2026-02-06 15:03:25
REQ000100,C005387,B009282,Modification Request,Can I modify my booking?,Open,2026-06-13 06:44:25
REQ000101,C008926,,Extra Bed,I need an additional bed in my room.,Closed,2025-10-09 10:36:20
REQ000102,C000348,B004922,Room Service,I would like to order room service.,Resolved,2025-10-26 16:59:35
REQ000103,C000001,,Extra Bed,Can I request an extra bed?,Closed,2026-01-28 00:45:07
REQ000104,C009302,B013583,Modification Request,Can I modify my booking?,Resolved,2026-03-23 00:55:13
REQ000105,C000951,B005402,Modification Request,I need to change the number of guests.,Resolved,2025-08-19 09:51:06
REQ000106,C004097,,General Inquiry,I have a question about the hotel.,Closed,2025-11-28 15:14:27
REQ000107,C008682,B001001,Room Service,Can I order food to my room?,Closed,2026-07-14 02:36:03
REQ000108,C009455,B013834,Airport Transfer,Do you provide airport transportation?,In Progress,2026-04-05 15:19:21
REQ000109,C008964,,Cancellation Request,I need to cancel my hotel reservation.,Open,2025-10-19 18:52:50
REQ000110,C006968,B004525,Late Checkout,Can I have a late checkout?,Closed,2025-10-11 03:05:21
REQ000111,C005597,,General Inquiry,I have a question about the hotel.,Resolved,2026-06-20 15:18:39
REQ000112,C008815,,Early Check-in,I would like to arrive before the check-in time.,Resolved,2026-04-04 20:07:02
REQ000113,C005376,B005914,Booking Inquiry,I would like information about room availability.,Resolved,2025-09-24 08:39:03
REQ000114,C002214,,Extra Bed,I need an additional bed in my room.,Closed,2026-06-28 02:16:36
REQ000115,C006157,,Booking Inquiry,I want to know if you have available rooms.,Closed,2026-06-11 12:44:30
REQ000116,C004873,B011402,Room Service,I would like to order room service.,Closed,2025-09-25 18:52:38
REQ000117,C003672,B007460,Cancellation Request,I need to cancel my hotel reservation.,Resolved,2026-06-12 23:47:45
REQ000118,C009264,,Room Service,I need room service.,Resolved,2026-05-12 11:27:41
REQ000119,C001556,,Cancellation Request,Can I cancel my reservation?,Resolved,2026-05-22 23:20:20
REQ000120,C005519,B019186,Housekeeping,Can someone clean my room?,Closed,2026-05-24 19:28:51
REQ000121,C001861,B010903,Late Checkout,Is late checkout available?,In Progress,2025-12-21 20:27:41
REQ000122,C004814,B001768,Airport Transfer,Do you provide airport transportation?,Resolved,2026-06-09 08:16:03
REQ000123,C004170,B012115,Complaint,I have a problem with my room.,Closed,2026-01-23 11:55:28
REQ000124,C007763,B009286,Booking Inquiry,Do you have any rooms available for my dates?,Closed,2026-04-15 17:21:53
REQ000125,C008811,,Modification Request,Can I modify my booking?,Resolved,2025-10-25 16:07:32
REQ000126,C004034,,Booking Inquiry,Do you have any rooms available for my dates?,In Progress,2026-07-21 01:42:40
REQ000127,C001850,B008424,Complaint,I am not satisfied with the service.,Closed,2026-04-05 23:34:35
REQ000128,C000753,B013415,Booking Inquiry,I would like information about room availability.,In Progress,2026-07-20 14:44:35
REQ000129,C009209,B000776,Payment Inquiry,I want to know my payment status.,Closed,2026-08-07 21:08:48
REQ000130,C005368,B004480,Housekeeping,My room needs cleaning.,Resolved,2026-02-13 07:22:31
REQ000131,C002351,B018437,General Inquiry,I have a question about the hotel.,Open,2026-04-25 08:12:48
REQ000132,C008761,B009321,Airport Transfer,Can you arrange airport pickup?,In Progress,2026-08-07 05:30:38
REQ000133,C007581,B008294,Early Check-in,Can I check in early?,Closed,2026-08-10 09:52:31
REQ000134,C009013,,General Inquiry,I need some information about the hotel.,In Progress,2026-06-27 09:20:52
REQ000135,C005482,B004121,Complaint,I am not satisfied with the service.,Open,2026-04-25 17:45:36
REQ000136,C009139,B019679,Payment Inquiry,I want to know my payment status.,In Progress,2025-11-20 19:50:03
REQ000137,C005752,B013540,Modification Request,I need to change the number of guests.,Closed,2026-08-13 08:32:28
REQ000138,C001765,,Booking Inquiry,I would like information about room availability.,Resolved,2025-12-05 21:53:25
REQ000139,C002920,,General Inquiry,I need some information about the hotel.,Open,2025-12-06 03:00:08
REQ000140,C002101,B001088,General Inquiry,I have a question about the hotel.,Resolved,2025-11-09 20:16:22
REQ000141,C007238,B004245,Modification Request,I want to change my check-in date.,Resolved,2026-03-23 18:15:53
REQ000142,C002784,B007080,Extra Bed,Can I request an extra bed?,Resolved,2026-04-25 14:28:31
REQ000143,C004905,B003269,Late Checkout,I want to check out later.,In Progress,2026-04-04 07:44:00
REQ000144,C002470,,Booking Inquiry,I would like information about room availability.,Resolved,2026-02-05 19:39:34
REQ000145,C008768,,Extra Bed,I need an additional bed in my room.,Resolved,2026-06-20 04:07:50
REQ000146,C007400,,Early Check-in,I would like to arrive before the check-in time.,Open,2025-12-10 03:37:58
REQ000147,C001554,B004961,Room Service,I need room service.,Open,2025-09-01 10:19:43
REQ000148,C000359,B005135,General Inquiry,I need some information about the hotel.,Resolved,2026-05-17 09:11:53
REQ000149,C006291,B004556,Modification Request,I need to change the number of guests.,Closed,2026-01-11 16:09:07
REQ000150,C006290,B016504,Late Checkout,I want to check out later.,In Progress,2025-08-25 12:28:11
REQ000151,C007885,B011792,Modification Request,Can I modify my booking?,Open,2025-12-05 09:22:02
REQ000152,C002820,B014716,Modification Request,I need to change the number of guests.,Resolved,2026-02-14 02:44:25
REQ000153,C009130,B015712,Booking Inquiry,I would like information about room availability.,Resolved,2025-09-13 23:20:12
REQ000154,C004033,B004310,Cancellation Request,Can I cancel my reservation?,Resolved,2026-05-30 00:51:16
REQ000155,C003996,,Airport Transfer,Can you arrange airport pickup?,In Progress,2025-12-10 17:14:15
REQ000156,C007585,B010223,Extra Bed,Can I request an extra bed?,In Progress,2025-11-09 14:17:09
REQ000157,C009907,B017811,Late Checkout,Can I have a late checkout?,Resolved,2026-04-18 20:32:38
REQ000158,C001115,B002717,General Inquiry,I have a question about the hotel.,Resolved,2025-10-26 01:22:15
REQ000159,C001212,B004994,Extra Bed,Is it possible to add an extra bed?,Closed,2026-06-04 15:16:29
REQ000160,C001442,,Room Service,I would like to order room service.,Open,2026-05-03 01:03:18
REQ000161,C003434,B018530,Booking Inquiry,I want to know if you have available rooms.,Resolved,2026-06-23 10:51:35
REQ000162,C003852,B019613,Room Service,I would like to order room service.,Resolved,2026-02-17 09:12:08
REQ000163,C007776,B017032,Complaint,I am not satisfied with the service.,Resolved,2026-02-17 07:49:56
REQ000164,C008669,,Booking Inquiry,I would like information about room availability.,Resolved,2025-12-13 17:09:46
REQ000165,C000896,B012683,Cancellation Request,I want to cancel my booking.,Resolved,2026-01-22 18:05:45
REQ000166,C003421,,Cancellation Request,I need to cancel my hotel reservation.,Open,2025-12-31 12:11:16
REQ000167,C001518,B006402,Complaint,I have a problem with my room.,In Progress,2025-10-08 09:47:50
REQ000168,C006246,B015570,Booking Inquiry,I want to know if you have available rooms.,Resolved,2025-12-22 02:14:57
REQ000169,C008456,,Booking Inquiry,Do you have any rooms available for my dates?,In Progress,2025-09-17 17:28:05
REQ000170,C003990,,Complaint,I want to make a complaint.,Open,2025-10-16 09:07:59
REQ000171,C000494,,General Inquiry,I have a question about the hotel.,Resolved,2026-03-05 16:35:02
REQ000172,C008585,,Complaint,I want to make a complaint.,Closed,2026-03-15 05:29:44
REQ000173,C003871,B005855,Airport Transfer,Do you provide airport transportation?,Resolved,2026-07-26 15:28:27
REQ000174,C008517,B005086,Late Checkout,Is late checkout available?,In Progress,2026-08-06 00:45:26
REQ000175,C000382,B013305,Modification Request,I want to change my check-in date.,Resolved,2026-08-13 11:04:48
REQ000176,C007312,B006205,Late Checkout,Can I have a late checkout?,Resolved,2026-01-24 13:04:41
REQ000177,C007091,B001496,General Inquiry,I need some information about the hotel.,Resolved,2026-04-03 01:18:58
REQ000178,C005996,,Payment Inquiry,Can you check my payment?,Closed,2025-10-16 23:26:44
REQ000179,C003371,,Booking Inquiry,I would like information about room availability.,Resolved,2026-08-07 15:25:22
REQ000180,C003153,B013252,Late Checkout,Can I have a late checkout?,Resolved,2026-06-24 12:34:15
REQ000181,C002665,,Modification Request,I need to change the number of guests.,Closed,2026-04-09 15:11:03
REQ000182,C001631,B012975,Airport Transfer,Do you provide airport transportation?,Open,2025-11-26 18:14:18
REQ000183,C004054,,Housekeeping,I need housekeeping service.,Closed,2026-03-01 08:20:53
REQ000184,C000122,,General Inquiry,I need some information about the hotel.,Closed,2026-05-27 10:59:42
REQ000185,C000467,B002037,Early Check-in,Can I check in early?,Open,2026-04-17 01:51:59
REQ000186,C006835,B010373,Late Checkout,Is late checkout available?,Closed,2025-09-03 16:48:17
REQ000187,C008409,,Booking Inquiry,I want to know if you have available rooms.,Closed,2026-05-28 06:28:01
REQ000188,C009797,B009068,Cancellation Request,I want to cancel my booking.,Resolved,2026-01-27 19:22:17
REQ000189,C006433,,Early Check-in,I would like to arrive before the check-in time.,In Progress,2025-10-14 08:37:10
REQ000190,C002367,,Cancellation Request,Can I cancel my reservation?,Closed,2026-01-18 13:33:37
REQ000191,C004613,,Early Check-in,Is early check-in available?,Resolved,2026-06-20 13:16:13
REQ000192,C005816,,General Inquiry,I need some information about the hotel.,Closed,2026-07-15 02:10:35
REQ000193,C001262,B003089,Early Check-in,Can I check in early?,Closed,2026-03-25 16:59:15
REQ000194,C004679,B006909,Room Service,I need room service.,Resolved,2026-02-28 05:38:13
REQ000195,C005839,B002780,Airport Transfer,Can you arrange airport pickup?,Open,2025-11-03 17:11:17
REQ000196,C008086,B000067,Cancellation Request,I want to cancel my booking.,Resolved,2026-07-15 18:30:18
REQ000197,C006678,,Cancellation Request,Can I cancel my reservation?,Open,2026-06-30 22:51:20
REQ000198,C009689,B000153,Room Service,I would like to order room service.,Closed,2026-03-17 05:22:07
REQ000199,C002451,,Payment Inquiry,Can you check my payment?,Closed,2026-07-31 06:39:59
REQ000200,C002554,B003391,Housekeeping,I need housekeeping service.,In Progress,2026-03-05 08:36:20
REQ000201,C002065,B012279,Cancellation Request,I want to cancel my booking.,Closed,2025-11-20 14:55:08
REQ000202,C009543,B015064,Booking Inquiry,I would like information about room availability.,Resolved,2025-09-08 12:48:29
REQ000203,C007462,,Payment Inquiry,I want to know my payment status.,Closed,2026-03-29 03:21:57
REQ000204,C009465,B000947,Housekeeping,I need housekeeping service.,Closed,2026-05-29 07:47:25
REQ000205,C003553,B005434,Late Checkout,I want to check out later.,Resolved,2025-10-23 15:20:50
REQ000206,C008234,,Room Service,I need room service.,Closed,2026-07-27 16:15:06
REQ000207,C008817,B007031,Housekeeping,I need housekeeping service.,Resolved,2025-08-23 13:44:48
REQ000208,C004850,B013195,Cancellation Request,I want to cancel my booking.,Open,2026-03-21 04:22:17
REQ000209,C008613,,Airport Transfer,Can you arrange airport pickup?,Resolved,2026-01-10 04:00:19
REQ000210,C001094,B010121,Booking Inquiry,I would like information about room availability.,Resolved,2025-08-20 22:15:29
REQ000211,C003023,B008178,Airport Transfer,I need an airport transfer.,Resolved,2026-02-04 05:10:03
REQ000212,C009912,,Airport Transfer,I need an airport transfer.,Resolved,2026-03-19 20:14:01
REQ000213,C003630,,Airport Transfer,Do you provide airport transportation?,Resolved,2026-05-10 10:53:47
REQ000214,C005181,B008798,General Inquiry,I need some information about the hotel.,In Progress,2025-09-12 11:36:14
REQ000215,C006511,B012093,Airport Transfer,Can you arrange airport pickup?,Closed,2026-02-28 14:34:41
REQ000216,C002558,,Late Checkout,Is late checkout available?,Resolved,2026-03-09 10:36:04
REQ000217,C000279,,Housekeeping,Can someone clean my room?,Resolved,2025-08-29 21:41:52
REQ000218,C008016,B004871,Housekeeping,Can someone clean my room?,Closed,2026-02-13 08:16:21
REQ000219,C002864,,Airport Transfer,Do you provide airport transportation?,Resolved,2026-01-23 13:47:15
REQ000220,C006526,,Booking Inquiry,I want to know if you have available rooms.,Open,2025-10-04 19:39:05
REQ000221,C008358,B012532,Late Checkout,Is late checkout available?,In Progress,2026-02-15 09:56:31
REQ000222,C002889,B007218,Booking Inquiry,I want to know if you have available rooms.,Resolved,2026-08-02 13:05:40
REQ000223,C009524,,Modification Request,I need to change the number of guests.,Resolved,2026-07-08 05:21:57
REQ000224,C003673,B011289,Room Service,Can I order food to my room?,Resolved,2025-09-26 11:00:24
REQ000225,C003985,,Payment Inquiry,Can you check my payment?,Resolved,2025-12-10 01:20:51
REQ000226,C007589,,Extra Bed,Is it possible to add an extra bed?,Resolved,2026-03-09 17:22:48
REQ000227,C008215,B018793,Late Checkout,Is late checkout available?,Closed,2025-12-12 10:01:13
REQ000228,C008915,,General Inquiry,I need some information about the hotel.,In Progress,2026-05-03 22:53:57
REQ000229,C007405,B018828,Airport Transfer,Can you arrange airport pickup?,Resolved,2025-08-16 13:12:53
REQ000230,C005431,B006193,Airport Transfer,Can you arrange airport pickup?,Closed,2026-01-07 21:45:38
REQ000231,C009783,,Early Check-in,I would like to arrive before the check-in time.,Open,2025-09-01 00:36:10
REQ000232,C001639,B004141,General Inquiry,I have a question about the hotel.,Closed,2025-09-19 16:44:26
REQ000233,C007510,,Extra Bed,Can I request an extra bed?,In Progress,2026-07-11 21:40:06
REQ000234,C005345,,Housekeeping,Can someone clean my room?,Resolved,2026-05-02 10:21:37
REQ000235,C001763,,Extra Bed,Can I request an extra bed?,Resolved,2025-09-28 23:48:56
REQ000236,C008939,B018893,Extra Bed,Can I request an extra bed?,In Progress,2026-07-06 20:46:00
REQ000237,C002747,B001367,Payment Inquiry,Can you check my payment?,In Progress,2026-06-06 13:13:20
REQ000238,C002142,,Airport Transfer,Can you arrange airport pickup?,Open,2026-06-26 03:27:39
REQ000239,C003522,B010781,Payment Inquiry,Was my payment successful?,Closed,2026-03-10 23:15:24
REQ000240,C002452,B002461,Extra Bed,Can I request an extra bed?,Resolved,2026-08-08 05:58:32
REQ000241,C007900,B007817,Booking Inquiry,Do you have any rooms available for my dates?,Closed,2026-04-24 04:38:45
REQ000242,C004404,,Modification Request,I need to change the number of guests.,Closed,2025-10-24 16:08:48
REQ000243,C003823,B004762,Early Check-in,I would like to arrive before the check-in time.,Resolved,2026-05-12 08:15:54
REQ000244,C008737,B002958,General Inquiry,I need some information about the hotel.,Resolved,2026-03-02 06:38:38
REQ000245,C007785,B007916,Late Checkout,I want to check out later.,Closed,2025-08-31 16:47:17
REQ000246,C006832,B016055,Airport Transfer,I need an airport transfer.,Resolved,2026-08-08 01:33:48
REQ000247,C006342,,Housekeeping,I need housekeeping service.,Resolved,2026-06-02 06:25:13
REQ000248,C006018,,Room Service,I would like to order room service.,Open,2026-03-20 13:40:04
REQ000249,C002208,B009057,Housekeeping,I need housekeeping service.,Resolved,2026-04-16 12:08:54
REQ000250,C007289,B013325,Cancellation Request,Can I cancel my reservation?,Closed,2025-09-02 12:54:27
REQ000251,C003392,B011475,Booking Inquiry,I would like information about room availability.,Open,2026-03-22 23:56:36
REQ000252,C003864,B005377,Complaint,I am not satisfied with the service.,Resolved,2026-06-29 01:46:19
REQ000253,C004453,B007590,Modification Request,I want to change my check-in date.,In Progress,2026-06-18 11:03:20
REQ000254,C006040,B010380,Modification Request,I need to change the number of guests.,Resolved,2025-11-25 05:58:42
REQ000255,C003576,B013730,Complaint,I have a problem with my room.,Closed,2025-10-07 06:17:39
REQ000256,C004867,B015391,Airport Transfer,Do you provide airport transportation?,Closed,2026-03-28 18:59:50
REQ000257,C007320,B011308,Housekeeping,Can someone clean my room?,In Progress,2025-12-22 21:52:34
REQ000258,C003658,,General Inquiry,I have a question about the hotel.,Closed,2025-09-12 20:18:30
REQ000259,C003459,B016801,Complaint,I am not satisfied with the service.,Resolved,2026-04-14 14:55:28
REQ000260,C005341,B005503,Housekeeping,Can someone clean my room?,Closed,2026-06-05 17:15:58
REQ000261,C004472,B017706,Booking Inquiry,I want to know if you have available rooms.,Closed,2026-03-04 01:39:09
REQ000262,C009822,,General Inquiry,I need some information about the hotel.,Closed,2025-10-20 02:11:43
REQ000263,C001158,B014030,Booking Inquiry,I want to know if you have available rooms.,Closed,2025-09-18 18:47:36
REQ000264,C005847,B000536,Cancellation Request,Can I cancel my reservation?,Resolved,2026-02-03 04:08:38
REQ000265,C004416,,Modification Request,I want to change my check-in date.,Resolved,2025-11-29 18:25:43
REQ000266,C007245,B003837,Housekeeping,My room needs cleaning.,Closed,2026-02-11 13:07:20
REQ000267,C008971,B005787,Housekeeping,I need housekeeping service.,In Progress,2026-04-24 10:18:49
REQ000268,C004077,,Cancellation Request,Can I cancel my reservation?,Closed,2026-06-27 18:01:10
REQ000269,C004912,,Complaint,I am not satisfied with the service.,Resolved,2026-03-14 02:57:19
REQ000270,C000638,B013631,Booking Inquiry,I want to know if you have available rooms.,Open,2026-01-19 12:47:24
REQ000271,C008781,,General Inquiry,Can you provide more information?,Closed,2025-11-03 10:04:30
REQ000272,C002351,,Payment Inquiry,I want to know my payment status.,Resolved,2026-04-14 21:40:24
REQ000273,C004164,B012982,Airport Transfer,I need an airport transfer.,Open,2025-09-05 10:07:33
REQ000274,C008408,B002055,Cancellation Request,I want to cancel my booking.,Open,2026-07-29 21:49:11
REQ000275,C001358,,Cancellation Request,I need to cancel my hotel reservation.,Resolved,2026-07-02 09:53:10
REQ000276,C009265,,Room Service,I need room service.,Resolved,2026-01-30 17:51:59
REQ000277,C003537,B015886,Room Service,Can I order food to my room?,Resolved,2025-10-25 16:18:44
REQ000278,C002962,B005406,Housekeeping,My room needs cleaning.,Closed,2026-03-09 01:12:40
REQ000279,C008064,,Airport Transfer,Can you arrange airport pickup?,Resolved,2025-10-16 16:06:34
REQ000280,C004067,B017727,Early Check-in,Is early check-in available?,Closed,2026-08-13 22:07:03
REQ000281,C002848,B016121,Early Check-in,I would like to arrive before the check-in time.,Closed,2026-02-25 21:19:33
REQ000282,C001460,B003956,Extra Bed,Is it possible to add an extra bed?,Closed,2025-08-19 01:50:58
REQ000283,C005726,B005315,Payment Inquiry,Was my payment successful?,Resolved,2026-08-15 18:48:14
REQ000284,C009822,B019732,Early Check-in,Can I check in early?,Closed,2026-06-16 20:20:33
REQ000285,C008024,B010536,Early Check-in,Is early check-in available?,Closed,2026-03-13 17:03:24
REQ000286,C004394,B004873,Room Service,I need room service.,Resolved,2025-10-06 10:48:47
REQ000287,C001697,B006936,Housekeeping,My room needs cleaning.,Closed,2025-09-15 18:35:34
REQ000288,C005286,,General Inquiry,I need some information about the hotel.,Closed,2025-09-29 08:34:07
