issue,details,faq_id,intent_id,language,question,ground_truth,answer,source
INT007_ANSWER_AVAILABILITY,FAQ0204,FAQ0204,INT007,Arabic,هل يمكنني الحصول على تسجيل خروج متأخر في Nile Pearl Hotel، وما العوامل التي تحدد إمكانية ذلك؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0205,FAQ0205,INT007,Arabic,هل يمكنني الحصول على تسجيل خروج متأخر في Nile Pearl Hotel، وهل توجد رسوم إضافية؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0206,FAQ0206,INT007,Arabic,ما الشروط التي قد تحدد الموافقة على تسجيل الخروج المتأخر في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0207,FAQ0207,INT007,Arabic,إذا كانت لدي رحلة متأخرة في اليوم التالي، هل يمكنني طلب تسجيل خروج متأخر من Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنك طلب تسجيل خروج متأخر من Nile Pearl Hotel إذا كانت هناك متوفرية، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0208,FAQ0208,INT007,Arabic,إذا كانت رحلتي في وقت متأخر من اليوم، هل يمكنني الحصول على تسجيل خروج متأخر من Nile Pearl Hotel، وهل توجد رسوم إضافية؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنكم الحصول على تسجيل خروج متأخر إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0209,FAQ0209,INT007,French,"Est-il possible d'obtenir un départ tardif au Nile Pearl Hotel, et quelles sont les exigences?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_ADDITIONAL_FEE,FAQ0209,FAQ0209,INT007,French,"Est-il possible d'obtenir un départ tardif au Nile Pearl Hotel, et quelles sont les exigences?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_ADDITIONAL_FEE,FAQ0210,FAQ0210,INT007,French,Est-il possible de quitter la chambre plus tard que l'heure normale au Nile Pearl Hotel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_ADDITIONAL_FEE,FAQ0211,FAQ0211,INT007,French,Quelles conditions faut-il remplir pour bénéficier d'un départ tardif au Nile Pearl Hotel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_ADDITIONAL_FEE,FAQ0215,FAQ0215,INT007,French,"Si je souhaite prolonger mon séjour au Nile Pearl Hotel, puis-je bénéficier d'un départ tardif et quels frais supplémentaires dois-je prévoir?",Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer.",check_in_check_out.txt
INT007_ANSWER_ADDITIONAL_FEE,FAQ0216,FAQ0216,INT007,French,"Si je dois quitter le Nile Pearl Hotel plus tard que prévu, puis-je demander un départ tardif et quelles règles dois-je respecter?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0219,FAQ0219,INT007,Russian,Dans quelles situations un départ après l'heure normale peut-il être accordé ?,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0223,FAQ0223,INT007,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и если да, как это сделать и будут ли дополнительные расходы?",Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если имеется свободное место. Однако это может быть за дополнительную плату. Для бронирования позднего выезда свяжитесь с нашей ресепшн.",check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0224,FAQ0224,INT007,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и если это возможно, под какие условия и будут ли какие-либо дополнительные расходы?",Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",check_in_check_out.txt
INT008_ANSWER_IDENTIFICATION,FAQ0229,FAQ0229,INT008,English,Is identification necessary for guests when checking in at Nile Pearl Hotel?,Guests are required to provide valid identification documents during check-in.,Yes. Identification is required for guests during check-in at Nile Pearl Hotel.,identification_policy.txt
INT008_ANSWER_IDENTIFICATION,FAQ0237,FAQ0237,INT008,Arabic,هل يحتاج الضيوف إلى تقديم وثائق إثبات الهوية عند تسجيل الوصول في Nile Pearl Hotel?,Guests are required to provide valid identification documents during check-in.,نعم، يُطلب من الضيوف تقديم إثبات هوية عند تسجيل الوصول في Nile Pearl Hotel.,identification_policy.txt
INT008_ANSWER_IDENTIFICATION,FAQ0244,FAQ0244,INT008,French,"À mon arrivée au Nile Pearl Hotel, dois-je fournir un document d'identité valide avant de m'enregistrer?",Guests are required to provide valid identification documents during check-in.,Oui. Vous devez présenter un document d'identité valide lors de votre arrivée au Nile Pearl Hotel.,identification_policy.txt
INT006_ANSWER_AVAILABILITY,FAQ0343,FAQ0343,INT006,French,Puis-je demander un enregistrement avant l'heure habituelle ?,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,Generated Batch 04
INT006_ANSWER_APPROVAL,FAQ0344,FAQ0344,INT006,Russian,Можно ли подать запрос на заселение раньше обычного времени?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 04
INT007_ANSWER_AVAILABILITY,FAQ0345,FAQ0345,INT007,Arabic,هل توجد إمكانية للبقاء في الغرفة بعد موعد تسجيل المغادرة المعتاد؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 04
INT007_ANSWER_ADDITIONAL_FEE,FAQ0345,FAQ0345,INT007,Arabic,هل توجد إمكانية للبقاء في الغرفة بعد موعد تسجيل المغادرة المعتاد؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 04
INT007_ANSWER_ADDITIONAL_FEE,FAQ0347,FAQ0347,INT007,French,Est-il possible de rester dans la chambre après l'heure habituelle de départ ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 04
INT006_ANSWER_AVAILABILITY,FAQ0375,FAQ0375,INT006,French,"Si j'arrive avant l'heure d'enregistrement, puis-je demander à accéder à ma chambre plus tôt ?",Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,Generated Batch 05
INT006_ANSWER_APPROVAL,FAQ0376,FAQ0376,INT006,Russian,"Если я приеду раньше времени заезда, могу ли я попросить заселиться в номер раньше?",Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 05
INT007_ANSWER_AVAILABILITY,FAQ0377,FAQ0377,INT007,Arabic,هل يمكن تمديد إقامتي في الغرفة إلى ما بعد وقت المغادرة؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 05
INT007_ANSWER_ADDITIONAL_FEE,FAQ0377,FAQ0377,INT007,Arabic,هل يمكن تمديد إقامتي في الغرفة إلى ما بعد وقت المغادرة؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 05
INT007_ANSWER_ADDITIONAL_FEE,FAQ0379,FAQ0379,INT007,French,Puis-je prolonger mon séjour dans la chambre au-delà de l'heure normale de départ ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 05
INT006_ANSWER_AVAILABILITY,FAQ0407,FAQ0407,INT006,French,L'hôtel autorise-t-il l'enregistrement avant l'heure prévue si la chambre est prête ?,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,Generated Batch 06
INT006_ANSWER_APPROVAL,FAQ0408,FAQ0408,INT006,Russian,"Разрешает ли отель заселение раньше назначенного времени, если номер уже готов?",Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 06
INT007_ANSWER_AVAILABILITY,FAQ0409,FAQ0409,INT007,Arabic,إذا احتجت للبقاء لفترة أطول في يوم المغادرة، هل يمكنني طلب خروج متأخر؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 06
INT007_ANSWER_ADDITIONAL_FEE,FAQ0409,FAQ0409,INT007,Arabic,إذا احتجت للبقاء لفترة أطول في يوم المغادرة، هل يمكنني طلب خروج متأخر؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 06
INT007_ANSWER_ADDITIONAL_FEE,FAQ0411,FAQ0411,INT007,French,"Si j'ai besoin de rester plus longtemps le jour du départ, puis-je demander un départ tardif ?",Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 06
INT006_ANSWER_AVAILABILITY,FAQ0439,FAQ0439,INT006,French,L'arrivée anticipée est-elle disponible sur demande au Nile Pearl Hotel ?,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,Generated Batch 07
INT006_ANSWER_APPROVAL,FAQ0440,FAQ0440,INT006,Russian,Могу ли я запросить раннюю регистрацию до официального времени заезда?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 07
INT007_ANSWER_AVAILABILITY,FAQ0441,FAQ0441,INT007,Arabic,هل يمكنني تأخير وقت مغادرة الغرفة عن الموعد المعتاد؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 07
INT007_ANSWER_ADDITIONAL_FEE,FAQ0441,FAQ0441,INT007,Arabic,هل يمكنني تأخير وقت مغادرة الغرفة عن الموعد المعتاد؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 07
INT007_ANSWER_ADDITIONAL_FEE,FAQ0443,FAQ0443,INT007,French,Puis-je repousser l'heure de départ de ma chambre au-delà de l'horaire habituel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 07
